Plot Title: Hoh_Creek_4_2022,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 20386529, SEN S/N: 20386529)"
522,04/19/2022 10:15:00,2.182
523,04/19/2022 10:30:00,2.262
524,04/19/2022 10:45:00,2.396
525,04/19/2022 11:00:00,2.53
526,04/19/2022 11:15:00,2.69
527,04/19/2022 11:30:00,2.93
528,04/19/2022 11:45:00,3.221
529,04/19/2022 12:00:00,3.142
530,04/19/2022 12:15:00,3.248
531,04/19/2022 12:30:00,3.301
532,04/19/2022 12:45:00,3.591
533,04/19/2022 13:00:00,4.037
534,04/19/2022 13:15:00,4.194
535,04/19/2022 13:30:00,4.194
536,04/19/2022 13:45:00,4.584
537,04/19/2022 14:00:00,4.662
538,04/19/2022 14:15:00,4.584
539,04/19/2022 14:30:00,4.766
540,04/19/2022 14:45:00,4.869
541,04/19/2022 15:00:00,4.844
542,04/19/2022 15:15:00,4.714
543,04/19/2022 15:30:00,4.61
544,04/19/2022 15:45:00,4.61
545,04/19/2022 16:00:00,4.584
546,04/19/2022 16:15:00,4.584
547,04/19/2022 16:30:00,4.532
548,04/19/2022 16:45:00,4.454
549,04/19/2022 17:00:00,4.376
550,04/19/2022 17:15:00,4.246
551,04/19/2022 17:30:00,4.141
552,04/19/2022 17:45:00,3.958
553,04/19/2022 18:00:00,3.854
554,04/19/2022 18:15:00,3.775
555,04/19/2022 18:30:00,3.696
556,04/19/2022 18:45:00,3.643
557,04/19/2022 19:00:00,3.564
558,04/19/2022 19:15:00,3.485
559,04/19/2022 19:30:00,3.433
560,04/19/2022 19:45:00,3.38
561,04/19/2022 20:00:00,3.327
562,04/19/2022 20:15:00,3.274
563,04/19/2022 20:30:00,3.221
564,04/19/2022 20:45:00,3.195
565,04/19/2022 21:00:00,3.142
566,04/19/2022 21:15:00,3.116
567,04/19/2022 21:30:00,3.063
568,04/19/2022 21:45:00,3.036
569,04/19/2022 22:00:00,3.009
570,04/19/2022 22:15:00,2.983
571,04/19/2022 22:30:00,2.93
572,04/19/2022 22:45:00,2.903
573,04/19/2022 23:00:00,2.877
574,04/19/2022 23:15:00,2.85
575,04/19/2022 23:30:00,2.823
576,04/19/2022 23:45:00,2.797
577,04/20/2022 00:00:00,2.77
578,04/20/2022 00:15:00,2.744
579,04/20/2022 00:30:00,2.744
580,04/20/2022 00:45:00,2.69
581,04/20/2022 01:00:00,2.69
582,04/20/2022 01:15:00,2.664
583,04/20/2022 01:30:00,2.637
584,04/20/2022 01:45:00,2.61
585,04/20/2022 02:00:00,2.61
586,04/20/2022 02:15:00,2.584
587,04/20/2022 02:30:00,2.584
588,04/20/2022 02:45:00,2.557
589,04/20/2022 03:00:00,2.53
590,04/20/2022 03:15:00,2.53
591,04/20/2022 03:30:00,2.503
592,04/20/2022 03:45:00,2.503
593,04/20/2022 04:00:00,2.477
594,04/20/2022 04:15:00,2.45
595,04/20/2022 04:30:00,2.45
596,04/20/2022 04:45:00,2.423
597,04/20/2022 05:00:00,2.423
598,04/20/2022 05:15:00,2.396
599,04/20/2022 05:30:00,2.396
600,04/20/2022 05:45:00,2.37
601,04/20/2022 06:00:00,2.37
602,04/20/2022 06:15:00,2.37
603,04/20/2022 06:30:00,2.37
604,04/20/2022 06:45:00,2.37
605,04/20/2022 07:00:00,2.396
606,04/20/2022 07:15:00,2.423
607,04/20/2022 07:30:00,2.45
608,04/20/2022 07:45:00,2.503
609,04/20/2022 08:00:00,2.53
610,04/20/2022 08:15:00,2.557
611,04/20/2022 08:30:00,2.584
612,04/20/2022 08:45:00,2.61
613,04/20/2022 09:00:00,2.637
614,04/20/2022 09:15:00,2.69
615,04/20/2022 09:30:00,2.744
616,04/20/2022 09:45:00,2.797
617,04/20/2022 10:00:00,2.903
618,04/20/2022 10:15:00,3.009
619,04/20/2022 10:30:00,3.089
620,04/20/2022 10:45:00,3.195
621,04/20/2022 11:00:00,3.248
622,04/20/2022 11:15:00,3.301
623,04/20/2022 11:30:00,3.38
624,04/20/2022 11:45:00,3.485
625,04/20/2022 12:00:00,3.564
626,04/20/2022 12:15:00,3.591
627,04/20/2022 12:30:00,3.617
628,04/20/2022 12:45:00,3.643
629,04/20/2022 13:00:00,3.67
630,04/20/2022 13:15:00,3.696
631,04/20/2022 13:30:00,3.722
632,04/20/2022 13:45:00,3.722
633,04/20/2022 14:00:00,3.749
634,04/20/2022 14:15:00,3.749
635,04/20/2022 14:30:00,3.775
636,04/20/2022 14:45:00,3.801
637,04/20/2022 15:00:00,3.854
638,04/20/2022 15:15:00,3.854
639,04/20/2022 15:30:00,3.854
640,04/20/2022 15:45:00,3.827
641,04/20/2022 16:00:00,3.827
642,04/20/2022 16:15:00,3.801
643,04/20/2022 16:30:00,3.801
644,04/20/2022 16:45:00,3.801
645,04/20/2022 17:00:00,3.827
646,04/20/2022 17:15:00,3.827
647,04/20/2022 17:30:00,3.827
648,04/20/2022 17:45:00,3.827
649,04/20/2022 18:00:00,3.827
650,04/20/2022 18:15:00,3.827
651,04/20/2022 18:30:00,3.827
652,04/20/2022 18:45:00,3.801
653,04/20/2022 19:00:00,3.801
654,04/20/2022 19:15:00,3.775
655,04/20/2022 19:30:00,3.749
656,04/20/2022 19:45:00,3.749
657,04/20/2022 20:00:00,3.722
658,04/20/2022 20:15:00,3.696
659,04/20/2022 20:30:00,3.67
660,04/20/2022 20:45:00,3.643
661,04/20/2022 21:00:00,3.643
662,04/20/2022 21:15:00,3.617
663,04/20/2022 21:30:00,3.591
664,04/20/2022 21:45:00,3.591
665,04/20/2022 22:00:00,3.564
666,04/20/2022 22:15:00,3.538
667,04/20/2022 22:30:00,3.512
668,04/20/2022 22:45:00,3.459
669,04/20/2022 23:00:00,3.433
670,04/20/2022 23:15:00,3.38
671,04/20/2022 23:30:00,3.354
672,04/20/2022 23:45:00,3.301
673,04/21/2022 00:00:00,3.274
674,04/21/2022 00:15:00,3.221
675,04/21/2022 00:30:00,3.195
676,04/21/2022 00:45:00,3.168
677,04/21/2022 01:00:00,3.142
678,04/21/2022 01:15:00,3.116
679,04/21/2022 01:30:00,3.116
680,04/21/2022 01:45:00,3.089
681,04/21/2022 02:00:00,3.089
682,04/21/2022 02:15:00,3.089
683,04/21/2022 02:30:00,3.089
684,04/21/2022 02:45:00,3.116
685,04/21/2022 03:00:00,3.116
686,04/21/2022 03:15:00,3.116
687,04/21/2022 03:30:00,3.116
688,04/21/2022 03:45:00,3.116
689,04/21/2022 04:00:00,3.142
690,04/21/2022 04:15:00,3.142
691,04/21/2022 04:30:00,3.168
692,04/21/2022 04:45:00,3.168
693,04/21/2022 05:00:00,3.168
694,04/21/2022 05:15:00,3.195
695,04/21/2022 05:30:00,3.195
696,04/21/2022 05:45:00,3.195
697,04/21/2022 06:00:00,3.221
698,04/21/2022 06:15:00,3.221
699,04/21/2022 06:30:00,3.221
700,04/21/2022 06:45:00,3.221
701,04/21/2022 07:00:00,3.248
702,04/21/2022 07:15:00,3.274
703,04/21/2022 07:30:00,3.274
704,04/21/2022 07:45:00,3.327
705,04/21/2022 08:00:00,3.354
706,04/21/2022 08:15:00,3.38
707,04/21/2022 08:30:00,3.406
708,04/21/2022 08:45:00,3.433
709,04/21/2022 09:00:00,3.459
710,04/21/2022 09:15:00,3.512
711,04/21/2022 09:30:00,3.538
712,04/21/2022 09:45:00,3.564
713,04/21/2022 10:00:00,3.591
714,04/21/2022 10:15:00,3.643
715,04/21/2022 10:30:00,3.696
716,04/21/2022 10:45:00,3.801
717,04/21/2022 11:00:00,3.88
718,04/21/2022 11:15:00,3.958
719,04/21/2022 11:30:00,4.011
720,04/21/2022 11:45:00,3.958
721,04/21/2022 12:00:00,3.985
722,04/21/2022 12:15:00,4.011
723,04/21/2022 12:30:00,3.985
724,04/21/2022 12:45:00,4.037
725,04/21/2022 13:00:00,4.168
726,04/21/2022 13:15:00,4.402
727,04/21/2022 13:30:00,4.532
728,04/21/2022 13:45:00,4.688
729,04/21/2022 14:00:00,4.584
730,04/21/2022 14:15:00,4.532
731,04/21/2022 14:30:00,4.662
732,04/21/2022 14:45:00,4.818
733,04/21/2022 15:00:00,4.921
734,04/21/2022 15:15:00,4.844
735,04/21/2022 15:30:00,4.792
736,04/21/2022 15:45:00,4.818
737,04/21/2022 16:00:00,4.792
738,04/21/2022 16:15:00,4.74
739,04/21/2022 16:30:00,4.792
740,04/21/2022 16:45:00,4.844
741,04/21/2022 17:00:00,4.818
742,04/21/2022 17:15:00,4.766
743,04/21/2022 17:30:00,4.74
744,04/21/2022 17:45:00,4.714
745,04/21/2022 18:00:00,4.688
746,04/21/2022 18:15:00,4.61
747,04/21/2022 18:30:00,4.558
748,04/21/2022 18:45:00,4.506
749,04/21/2022 19:00:00,4.454
750,04/21/2022 19:15:00,4.428
751,04/21/2022 19:30:00,4.376
752,04/21/2022 19:45:00,4.324
753,04/21/2022 20:00:00,4.272
754,04/21/2022 20:15:00,4.22
755,04/21/2022 20:30:00,4.194
756,04/21/2022 20:45:00,4.168
757,04/21/2022 21:00:00,4.115
758,04/21/2022 21:15:00,4.063
759,04/21/2022 21:30:00,4.037
760,04/21/2022 21:45:00,4.011
761,04/21/2022 22:00:00,4.011
762,04/21/2022 22:15:00,3.985
763,04/21/2022 22:30:00,3.958
764,04/21/2022 22:45:00,3.958
765,04/21/2022 23:00:00,3.932
766,04/21/2022 23:15:00,3.906
767,04/21/2022 23:30:00,3.854
768,04/21/2022 23:45:00,3.801
769,04/22/2022 00:00:00,3.749
770,04/22/2022 00:15:00,3.722
771,04/22/2022 00:30:00,3.696
772,04/22/2022 00:45:00,3.67
773,04/22/2022 01:00:00,3.617
774,04/22/2022 01:15:00,3.591
775,04/22/2022 01:30:00,3.538
776,04/22/2022 01:45:00,3.485
777,04/22/2022 02:00:00,3.459
778,04/22/2022 02:15:00,3.433
779,04/22/2022 02:30:00,3.38
780,04/22/2022 02:45:00,3.354
781,04/22/2022 03:00:00,3.327
782,04/22/2022 03:15:00,3.301
783,04/22/2022 03:30:00,3.274
784,04/22/2022 03:45:00,3.248
785,04/22/2022 04:00:00,3.221
786,04/22/2022 04:15:00,3.195
