Plot Title: Hoh at ONP boundary_5_19_22,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 21337445, SEN S/N: 21337445)"
1,05/19/2022 17:00:00,9.41
2,05/19/2022 17:15:00,9.558
3,05/19/2022 17:30:00,9.682
4,05/19/2022 17:45:00,9.632
5,05/19/2022 18:00:00,9.583
6,05/19/2022 18:15:00,9.558
7,05/19/2022 18:30:00,9.534
8,05/19/2022 18:45:00,9.509
9,05/19/2022 19:00:00,9.435
10,05/19/2022 19:15:00,9.312
11,05/19/2022 19:30:00,9.163
12,05/19/2022 19:45:00,9.015
13,05/19/2022 20:00:00,8.866
14,05/19/2022 20:15:00,8.717
15,05/19/2022 20:30:00,8.593
16,05/19/2022 20:45:00,8.444
17,05/19/2022 21:00:00,8.319
18,05/19/2022 21:15:00,8.195
19,05/19/2022 21:30:00,8.07
20,05/19/2022 21:45:00,7.97
21,05/19/2022 22:00:00,7.845
22,05/19/2022 22:15:00,7.745
23,05/19/2022 22:30:00,7.645
24,05/19/2022 22:45:00,7.544
25,05/19/2022 23:00:00,7.444
26,05/19/2022 23:15:00,7.368
27,05/19/2022 23:30:00,7.293
28,05/19/2022 23:45:00,7.242
29,05/20/2022 00:00:00,7.192
30,05/20/2022 00:15:00,7.142
31,05/20/2022 00:30:00,7.091
32,05/20/2022 00:45:00,7.066
33,05/20/2022 01:00:00,7.041
34,05/20/2022 01:15:00,6.99
35,05/20/2022 01:30:00,6.965
36,05/20/2022 01:45:00,6.94
37,05/20/2022 02:00:00,6.914
38,05/20/2022 02:15:00,6.889
39,05/20/2022 02:30:00,6.864
40,05/20/2022 02:45:00,6.864
41,05/20/2022 03:00:00,6.839
42,05/20/2022 03:15:00,6.839
43,05/20/2022 03:30:00,6.813
44,05/20/2022 03:45:00,6.813
45,05/20/2022 04:00:00,6.788
46,05/20/2022 04:15:00,6.788
47,05/20/2022 04:30:00,6.788
48,05/20/2022 04:45:00,6.763
49,05/20/2022 05:00:00,6.763
50,05/20/2022 05:15:00,6.737
51,05/20/2022 05:30:00,6.737
52,05/20/2022 05:45:00,6.737
53,05/20/2022 06:00:00,6.687
54,05/20/2022 06:15:00,6.661
55,05/20/2022 06:30:00,6.611
56,05/20/2022 06:45:00,6.585
57,05/20/2022 07:00:00,6.56
58,05/20/2022 07:15:00,6.56
59,05/20/2022 07:30:00,6.585
60,05/20/2022 07:45:00,6.636
61,05/20/2022 08:00:00,6.687
62,05/20/2022 08:15:00,6.763
63,05/20/2022 08:30:00,6.839
64,05/20/2022 08:45:00,6.94
65,05/20/2022 09:00:00,7.041
66,05/20/2022 09:15:00,7.167
67,05/20/2022 09:30:00,7.293
68,05/20/2022 09:45:00,7.444
69,05/20/2022 10:00:00,7.619
70,05/20/2022 10:15:00,7.795
71,05/20/2022 10:30:00,7.995
72,05/20/2022 10:45:00,8.195
73,05/20/2022 11:00:00,8.394
74,05/20/2022 11:15:00,8.618
75,05/20/2022 11:30:00,8.841
76,05/20/2022 11:45:00,9.064
77,05/20/2022 12:00:00,9.287
78,05/20/2022 12:15:00,9.509
79,05/20/2022 12:30:00,9.731
80,05/20/2022 12:45:00,9.977
81,05/20/2022 13:00:00,10.247
82,05/20/2022 13:15:00,10.443
83,05/20/2022 13:30:00,10.663
84,05/20/2022 13:45:00,10.761
85,05/20/2022 14:00:00,10.785
86,05/20/2022 14:15:00,10.736
