Plot Title: MountTom_4_12_2022,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 20386552, SEN S/N: 20386552)"
94,04/13/2022 16:15:00,5.693
95,04/13/2022 16:30:00,5.693
96,04/13/2022 16:45:00,5.642
97,04/13/2022 17:00:00,5.616
98,04/13/2022 17:15:00,5.591
99,04/13/2022 17:30:00,5.591
100,04/13/2022 17:45:00,5.539
101,04/13/2022 18:00:00,5.488
102,04/13/2022 18:15:00,5.437
103,04/13/2022 18:30:00,5.385
104,04/13/2022 18:45:00,5.334
105,04/13/2022 19:00:00,5.308
106,04/13/2022 19:15:00,5.282
107,04/13/2022 19:30:00,5.257
108,04/13/2022 19:45:00,5.231
109,04/13/2022 20:00:00,5.205
110,04/13/2022 20:15:00,5.179
111,04/13/2022 20:30:00,5.154
112,04/13/2022 20:45:00,5.128
113,04/13/2022 21:00:00,5.102
114,04/13/2022 21:15:00,5.05
115,04/13/2022 21:30:00,5.024
116,04/13/2022 21:45:00,4.999
117,04/13/2022 22:00:00,4.973
118,04/13/2022 22:15:00,4.921
119,04/13/2022 22:30:00,4.921
120,04/13/2022 22:45:00,4.895
121,04/13/2022 23:00:00,4.895
122,04/13/2022 23:15:00,4.869
123,04/13/2022 23:30:00,4.869
124,04/13/2022 23:45:00,4.869
125,04/14/2022 00:00:00,4.844
126,04/14/2022 00:15:00,4.844
127,04/14/2022 00:30:00,4.818
128,04/14/2022 00:45:00,4.818
129,04/14/2022 01:00:00,4.818
130,04/14/2022 01:15:00,4.818
131,04/14/2022 01:30:00,4.792
132,04/14/2022 01:45:00,4.766
133,04/14/2022 02:00:00,4.766
134,04/14/2022 02:15:00,4.74
135,04/14/2022 02:30:00,4.714
136,04/14/2022 02:45:00,4.714
137,04/14/2022 03:00:00,4.688
138,04/14/2022 03:15:00,4.688
139,04/14/2022 03:30:00,4.662
140,04/14/2022 03:45:00,4.662
141,04/14/2022 04:00:00,4.662
142,04/14/2022 04:15:00,4.636
143,04/14/2022 04:30:00,4.61
144,04/14/2022 04:45:00,4.584
145,04/14/2022 05:00:00,4.558
146,04/14/2022 05:15:00,4.558
147,04/14/2022 05:30:00,4.532
148,04/14/2022 05:45:00,4.532
149,04/14/2022 06:00:00,4.506
150,04/14/2022 06:15:00,4.506
151,04/14/2022 06:30:00,4.48
152,04/14/2022 06:45:00,4.454
153,04/14/2022 07:00:00,4.454
154,04/14/2022 07:15:00,4.454
155,04/14/2022 07:30:00,4.454
156,04/14/2022 07:45:00,4.48
157,04/14/2022 08:00:00,4.506
158,04/14/2022 08:15:00,4.506
159,04/14/2022 08:30:00,4.558
160,04/14/2022 08:45:00,4.558
161,04/14/2022 09:00:00,4.61
162,04/14/2022 09:15:00,4.662
163,04/14/2022 09:30:00,4.714
164,04/14/2022 09:45:00,4.766
165,04/14/2022 10:00:00,4.921
166,04/14/2022 10:15:00,5.024
167,04/14/2022 10:30:00,5.128
168,04/14/2022 10:45:00,5.231
169,04/14/2022 11:00:00,5.411
170,04/14/2022 11:15:00,5.591
171,04/14/2022 11:30:00,5.591
172,04/14/2022 11:45:00,5.591
173,04/14/2022 12:00:00,5.514
174,04/14/2022 12:15:00,5.539
175,04/14/2022 12:30:00,5.539
176,04/14/2022 12:45:00,5.616
177,04/14/2022 13:00:00,5.847
178,04/14/2022 13:15:00,6.179
179,04/14/2022 13:30:00,6.484
180,04/14/2022 13:45:00,6.535
181,04/14/2022 14:00:00,6.788
182,04/14/2022 14:15:00,6.56
183,04/14/2022 14:30:00,6.458
184,04/14/2022 14:45:00,6.255
185,04/14/2022 15:00:00,6.153
186,04/14/2022 15:15:00,6.102
187,04/14/2022 15:30:00,6
188,04/14/2022 15:45:00,5.949
189,04/14/2022 16:00:00,5.898
190,04/14/2022 16:15:00,5.872
191,04/14/2022 16:30:00,5.796
192,04/14/2022 16:45:00,5.719
193,04/14/2022 17:00:00,5.693
194,04/14/2022 17:15:00,5.668
195,04/14/2022 17:30:00,5.668
196,04/14/2022 17:45:00,5.642
197,04/14/2022 18:00:00,5.616
198,04/14/2022 18:15:00,5.591
199,04/14/2022 18:30:00,5.514
200,04/14/2022 18:45:00,5.462
201,04/14/2022 19:00:00,5.411
202,04/14/2022 19:15:00,5.385
203,04/14/2022 19:30:00,5.334
204,04/14/2022 19:45:00,5.257
205,04/14/2022 20:00:00,5.231
206,04/14/2022 20:15:00,5.154
207,04/14/2022 20:30:00,5.128
208,04/14/2022 20:45:00,5.102
209,04/14/2022 21:00:00,5.076
210,04/14/2022 21:15:00,5.076
211,04/14/2022 21:30:00,5.024
212,04/14/2022 21:45:00,4.999
213,04/14/2022 22:00:00,4.973
214,04/14/2022 22:15:00,4.973
215,04/14/2022 22:30:00,4.947
216,04/14/2022 22:45:00,4.947
217,04/14/2022 23:00:00,4.921
218,04/14/2022 23:15:00,4.895
219,04/14/2022 23:30:00,4.895
220,04/14/2022 23:45:00,4.869
221,04/15/2022 00:00:00,4.869
222,04/15/2022 00:15:00,4.869
223,04/15/2022 00:30:00,4.844
224,04/15/2022 00:45:00,4.818
225,04/15/2022 01:00:00,4.818
226,04/15/2022 01:15:00,4.792
227,04/15/2022 01:30:00,4.792
228,04/15/2022 01:45:00,4.766
229,04/15/2022 02:00:00,4.766
230,04/15/2022 02:15:00,4.766
231,04/15/2022 02:30:00,4.714
232,04/15/2022 02:45:00,4.714
233,04/15/2022 03:00:00,4.688
234,04/15/2022 03:15:00,4.662
235,04/15/2022 03:30:00,4.662
236,04/15/2022 03:45:00,4.636
237,04/15/2022 04:00:00,4.61
238,04/15/2022 04:15:00,4.584
239,04/15/2022 04:30:00,4.558
240,04/15/2022 04:45:00,4.506
241,04/15/2022 05:00:00,4.506
242,04/15/2022 05:15:00,4.48
243,04/15/2022 05:30:00,4.454
244,04/15/2022 05:45:00,4.454
245,04/15/2022 06:00:00,4.428
246,04/15/2022 06:15:00,4.402
247,04/15/2022 06:30:00,4.402
248,04/15/2022 06:45:00,4.376
249,04/15/2022 07:00:00,4.376
250,04/15/2022 07:15:00,4.376
251,04/15/2022 07:30:00,4.376
252,04/15/2022 07:45:00,4.376
253,04/15/2022 08:00:00,4.376
254,04/15/2022 08:15:00,4.402
255,04/15/2022 08:30:00,4.428
256,04/15/2022 08:45:00,4.454
257,04/15/2022 09:00:00,4.48
258,04/15/2022 09:15:00,4.532
259,04/15/2022 09:30:00,4.61
260,04/15/2022 09:45:00,4.714
261,04/15/2022 10:00:00,4.818
262,04/15/2022 10:15:00,4.947
263,04/15/2022 10:30:00,4.973
264,04/15/2022 10:45:00,5.102
265,04/15/2022 11:00:00,5.102
266,04/15/2022 11:15:00,5.154
267,04/15/2022 11:30:00,5.308
268,04/15/2022 11:45:00,5.205
269,04/15/2022 12:00:00,5.231
270,04/15/2022 12:15:00,5.437
271,04/15/2022 12:30:00,5.693
272,04/15/2022 12:45:00,6
273,04/15/2022 13:00:00,6.077
274,04/15/2022 13:15:00,6.204
275,04/15/2022 13:30:00,6.331
276,04/15/2022 13:45:00,6.458
277,04/15/2022 14:00:00,6.56
278,04/15/2022 14:15:00,6.636
279,04/15/2022 14:30:00,6.636
280,04/15/2022 14:45:00,6.585
281,04/15/2022 15:00:00,6.56
282,04/15/2022 15:15:00,6.585
283,04/15/2022 15:30:00,6.611
284,04/15/2022 15:45:00,6.56
285,04/15/2022 16:00:00,6.458
286,04/15/2022 16:15:00,6.357
287,04/15/2022 16:30:00,6.281
288,04/15/2022 16:45:00,6.204
289,04/15/2022 17:00:00,6.102
290,04/15/2022 17:15:00,6
291,04/15/2022 17:30:00,5.898
292,04/15/2022 17:45:00,5.796
293,04/15/2022 18:00:00,5.745
294,04/15/2022 18:15:00,5.668
295,04/15/2022 18:30:00,5.616
296,04/15/2022 18:45:00,5.539
297,04/15/2022 19:00:00,5.488
298,04/15/2022 19:15:00,5.462
299,04/15/2022 19:30:00,5.437
300,04/15/2022 19:45:00,5.385
301,04/15/2022 20:00:00,5.334
302,04/15/2022 20:15:00,5.282
303,04/15/2022 20:30:00,5.231
304,04/15/2022 20:45:00,5.231
305,04/15/2022 21:00:00,5.179
306,04/15/2022 21:15:00,5.179
307,04/15/2022 21:30:00,5.128
308,04/15/2022 21:45:00,5.102
309,04/15/2022 22:00:00,5.076
310,04/15/2022 22:15:00,5.05
311,04/15/2022 22:30:00,5.024
312,04/15/2022 22:45:00,4.973
313,04/15/2022 23:00:00,4.921
314,04/15/2022 23:15:00,4.895
315,04/15/2022 23:30:00,4.869
316,04/15/2022 23:45:00,4.818
317,04/16/2022 00:00:00,4.792
318,04/16/2022 00:15:00,4.766
319,04/16/2022 00:30:00,4.74
320,04/16/2022 00:45:00,4.714
321,04/16/2022 01:00:00,4.662
322,04/16/2022 01:15:00,4.662
323,04/16/2022 01:30:00,4.636
324,04/16/2022 01:45:00,4.61
325,04/16/2022 02:00:00,4.584
326,04/16/2022 02:15:00,4.558
327,04/16/2022 02:30:00,4.558
328,04/16/2022 02:45:00,4.532
329,04/16/2022 03:00:00,4.506
330,04/16/2022 03:15:00,4.48
331,04/16/2022 03:30:00,4.48
332,04/16/2022 03:45:00,4.454
333,04/16/2022 04:00:00,4.454
334,04/16/2022 04:15:00,4.428
335,04/16/2022 04:30:00,4.428
336,04/16/2022 04:45:00,4.402
337,04/16/2022 05:00:00,4.402
338,04/16/2022 05:15:00,4.402
339,04/16/2022 05:30:00,4.376
340,04/16/2022 05:45:00,4.376
341,04/16/2022 06:00:00,4.376
342,04/16/2022 06:15:00,4.35
343,04/16/2022 06:30:00,4.35
344,04/16/2022 06:45:00,4.35
345,04/16/2022 07:00:00,4.35
346,04/16/2022 07:15:00,4.35
347,04/16/2022 07:30:00,4.35
348,04/16/2022 07:45:00,4.35
349,04/16/2022 08:00:00,4.35
350,04/16/2022 08:15:00,4.376
351,04/16/2022 08:30:00,4.376
352,04/16/2022 08:45:00,4.402
353,04/16/2022 09:00:00,4.454
354,04/16/2022 09:15:00,4.506
355,04/16/2022 09:30:00,4.584
356,04/16/2022 09:45:00,4.662
357,04/16/2022 10:00:00,4.792
358,04/16/2022 10:15:00,4.973
359,04/16/2022 10:30:00,5.154
360,04/16/2022 10:45:00,5.154
361,04/16/2022 11:00:00,5.231
362,04/16/2022 11:15:00,5.308
363,04/16/2022 11:30:00,5.488
364,04/16/2022 11:45:00,5.616
365,04/16/2022 12:00:00,5.821
366,04/16/2022 12:15:00,5.898
367,04/16/2022 12:30:00,5.949
368,04/16/2022 12:45:00,5.847
369,04/16/2022 13:00:00,5.745
370,04/16/2022 13:15:00,5.77
371,04/16/2022 13:30:00,5.77
372,04/16/2022 13:45:00,5.719
373,04/16/2022 14:00:00,5.36
374,04/16/2022 14:15:00,5.128
375,04/16/2022 14:30:00,5.128
376,04/16/2022 14:45:00,5.179
377,04/16/2022 15:00:00,5.282
378,04/16/2022 15:15:00,5.308
379,04/16/2022 15:30:00,5.334
380,04/16/2022 15:45:00,5.385
381,04/16/2022 16:00:00,5.488
382,04/16/2022 16:15:00,5.539
383,04/16/2022 16:30:00,5.514
384,04/16/2022 16:45:00,5.488
385,04/16/2022 17:00:00,5.514
386,04/16/2022 17:15:00,5.539
387,04/16/2022 17:30:00,5.539
388,04/16/2022 17:45:00,5.437
389,04/16/2022 18:00:00,5.385
390,04/16/2022 18:15:00,5.282
391,04/16/2022 18:30:00,5.205
392,04/16/2022 18:45:00,5.179
393,04/16/2022 19:00:00,5.179
394,04/16/2022 19:15:00,5.179
395,04/16/2022 19:30:00,5.154
396,04/16/2022 19:45:00,5.154
397,04/16/2022 20:00:00,5.102
398,04/16/2022 20:15:00,5.076
399,04/16/2022 20:30:00,5.05
400,04/16/2022 20:45:00,5.024
401,04/16/2022 21:00:00,4.999
402,04/16/2022 21:15:00,4.973
403,04/16/2022 21:30:00,4.973
404,04/16/2022 21:45:00,4.947
405,04/16/2022 22:00:00,4.921
406,04/16/2022 22:15:00,4.869
407,04/16/2022 22:30:00,4.818
408,04/16/2022 22:45:00,4.818
409,04/16/2022 23:00:00,4.818
410,04/16/2022 23:15:00,4.818
411,04/16/2022 23:30:00,4.818
412,04/16/2022 23:45:00,4.818
413,04/17/2022 00:00:00,4.818
414,04/17/2022 00:15:00,4.792
415,04/17/2022 00:30:00,4.766
416,04/17/2022 00:45:00,4.766
417,04/17/2022 01:00:00,4.766
418,04/17/2022 01:15:00,4.766
419,04/17/2022 01:30:00,4.74
420,04/17/2022 01:45:00,4.74
421,04/17/2022 02:00:00,4.714
422,04/17/2022 02:15:00,4.714
423,04/17/2022 02:30:00,4.714
424,04/17/2022 02:45:00,4.714
425,04/17/2022 03:00:00,4.714
426,04/17/2022 03:15:00,4.714
427,04/17/2022 03:30:00,4.688
428,04/17/2022 03:45:00,4.662
429,04/17/2022 04:00:00,4.662
430,04/17/2022 04:15:00,4.636
431,04/17/2022 04:30:00,4.636
432,04/17/2022 04:45:00,4.636
433,04/17/2022 05:00:00,4.61
434,04/17/2022 05:15:00,4.61
435,04/17/2022 05:30:00,4.584
436,04/17/2022 05:45:00,4.558
437,04/17/2022 06:00:00,4.532
438,04/17/2022 06:15:00,4.532
439,04/17/2022 06:30:00,4.506
440,04/17/2022 06:45:00,4.506
441,04/17/2022 07:00:00,4.506
442,04/17/2022 07:15:00,4.506
443,04/17/2022 07:30:00,4.506
444,04/17/2022 07:45:00,4.506
445,04/17/2022 08:00:00,4.506
446,04/17/2022 08:15:00,4.48
447,04/17/2022 08:30:00,4.454
448,04/17/2022 08:45:00,4.454
449,04/17/2022 09:00:00,4.506
450,04/17/2022 09:15:00,4.558
451,04/17/2022 09:30:00,4.662
452,04/17/2022 09:45:00,4.766
453,04/17/2022 10:00:00,4.869
454,04/17/2022 10:15:00,4.999
455,04/17/2022 10:30:00,5.128
456,04/17/2022 10:45:00,5.282
457,04/17/2022 11:00:00,5.411
458,04/17/2022 11:15:00,5.565
459,04/17/2022 11:30:00,5.719
460,04/17/2022 11:45:00,5.898
461,04/17/2022 12:00:00,6.102
462,04/17/2022 12:15:00,6.306
463,04/17/2022 12:30:00,6.509
464,04/17/2022 12:45:00,6.737
465,04/17/2022 13:00:00,6.94
466,04/17/2022 13:15:00,7.116
467,04/17/2022 13:30:00,7.268
468,04/17/2022 13:45:00,7.368
469,04/17/2022 14:00:00,7.444
470,04/17/2022 14:15:00,7.494
471,04/17/2022 14:30:00,7.544
472,04/17/2022 14:45:00,7.569
473,04/17/2022 15:00:00,7.569
474,04/17/2022 15:15:00,7.544
475,04/17/2022 15:30:00,7.519
476,04/17/2022 15:45:00,7.469
477,04/17/2022 16:00:00,7.393
478,04/17/2022 16:15:00,7.368
479,04/17/2022 16:30:00,7.318
480,04/17/2022 16:45:00,7.242
481,04/17/2022 17:00:00,7.142
482,04/17/2022 17:15:00,7.041
483,04/17/2022 17:30:00,6.914
484,04/17/2022 17:45:00,6.839
485,04/17/2022 18:00:00,6.737
486,04/17/2022 18:15:00,6.661
487,04/17/2022 18:30:00,6.585
488,04/17/2022 18:45:00,6.509
489,04/17/2022 19:00:00,6.408
490,04/17/2022 19:15:00,6.331
491,04/17/2022 19:30:00,6.255
492,04/17/2022 19:45:00,6.179
493,04/17/2022 20:00:00,6.102
494,04/17/2022 20:15:00,6.026
495,04/17/2022 20:30:00,5.975
496,04/17/2022 20:45:00,5.924
497,04/17/2022 21:00:00,5.847
498,04/17/2022 21:15:00,5.796
499,04/17/2022 21:30:00,5.77
500,04/17/2022 21:45:00,5.719
501,04/17/2022 22:00:00,5.668
502,04/17/2022 22:15:00,5.642
503,04/17/2022 22:30:00,5.616
504,04/17/2022 22:45:00,5.565
505,04/17/2022 23:00:00,5.539
506,04/17/2022 23:15:00,5.514
507,04/17/2022 23:30:00,5.488
508,04/17/2022 23:45:00,5.488
509,04/18/2022 00:00:00,5.462
510,04/18/2022 00:15:00,5.437
511,04/18/2022 00:30:00,5.437
512,04/18/2022 00:45:00,5.411
513,04/18/2022 01:00:00,5.411
514,04/18/2022 01:15:00,5.411
515,04/18/2022 01:30:00,5.385
516,04/18/2022 01:45:00,5.385
517,04/18/2022 02:00:00,5.385
518,04/18/2022 02:15:00,5.385
519,04/18/2022 02:30:00,5.385
520,04/18/2022 02:45:00,5.36
521,04/18/2022 03:00:00,5.36
522,04/18/2022 03:15:00,5.36
523,04/18/2022 03:30:00,5.36
524,04/18/2022 03:45:00,5.36
525,04/18/2022 04:00:00,5.36
526,04/18/2022 04:15:00,5.36
527,04/18/2022 04:30:00,5.334
528,04/18/2022 04:45:00,5.334
529,04/18/2022 05:00:00,5.334
530,04/18/2022 05:15:00,5.334
531,04/18/2022 05:30:00,5.334
532,04/18/2022 05:45:00,5.334
533,04/18/2022 06:00:00,5.334
534,04/18/2022 06:15:00,5.308
535,04/18/2022 06:30:00,5.308
536,04/18/2022 06:45:00,5.308
537,04/18/2022 07:00:00,5.308
538,04/18/2022 07:15:00,5.308
539,04/18/2022 07:30:00,5.308
540,04/18/2022 07:45:00,5.308
541,04/18/2022 08:00:00,5.334
542,04/18/2022 08:15:00,5.334
543,04/18/2022 08:30:00,5.334
544,04/18/2022 08:45:00,5.334
545,04/18/2022 09:00:00,5.334
546,04/18/2022 09:15:00,5.36
547,04/18/2022 09:30:00,5.36
548,04/18/2022 09:45:00,5.385
549,04/18/2022 10:00:00,5.385
550,04/18/2022 10:15:00,5.385
551,04/18/2022 10:30:00,5.385
552,04/18/2022 10:45:00,5.411
553,04/18/2022 11:00:00,5.411
554,04/18/2022 11:15:00,5.437
555,04/18/2022 11:30:00,5.437
556,04/18/2022 11:45:00,5.462
557,04/18/2022 12:00:00,5.488
558,04/18/2022 12:15:00,5.488
559,04/18/2022 12:30:00,5.488
560,04/18/2022 12:45:00,5.514
561,04/18/2022 13:00:00,5.514
562,04/18/2022 13:15:00,5.539
563,04/18/2022 13:30:00,5.539
564,04/18/2022 13:45:00,5.539
565,04/18/2022 14:00:00,5.539
566,04/18/2022 14:15:00,5.539
567,04/18/2022 14:30:00,5.565
568,04/18/2022 14:45:00,5.565
569,04/18/2022 15:00:00,5.565
570,04/18/2022 15:15:00,5.565
571,04/18/2022 15:30:00,5.565
572,04/18/2022 15:45:00,5.539
573,04/18/2022 16:00:00,5.514
574,04/18/2022 16:15:00,5.437
575,04/18/2022 16:30:00,5.385
576,04/18/2022 16:45:00,5.282
577,04/18/2022 17:00:00,5.179
578,04/18/2022 17:15:00,5.076
579,04/18/2022 17:30:00,4.921
580,04/18/2022 17:45:00,4.818
581,04/18/2022 18:00:00,4.714
582,04/18/2022 18:15:00,4.662
583,04/18/2022 18:30:00,4.558
584,04/18/2022 18:45:00,4.454
585,04/18/2022 19:00:00,4.402
586,04/18/2022 19:15:00,4.376
587,04/18/2022 19:30:00,4.324
588,04/18/2022 19:45:00,4.298
589,04/18/2022 20:00:00,4.298
590,04/18/2022 20:15:00,4.272
591,04/18/2022 20:30:00,4.272
592,04/18/2022 20:45:00,4.298
593,04/18/2022 21:00:00,4.324
594,04/18/2022 21:15:00,4.376
595,04/18/2022 21:30:00,4.402
596,04/18/2022 21:45:00,4.428
597,04/18/2022 22:00:00,4.454
598,04/18/2022 22:15:00,4.48
599,04/18/2022 22:30:00,4.48
600,04/18/2022 22:45:00,4.506
601,04/18/2022 23:00:00,4.506
602,04/18/2022 23:15:00,4.506
603,04/18/2022 23:30:00,4.506
604,04/18/2022 23:45:00,4.532
605,04/19/2022 00:00:00,4.506
606,04/19/2022 00:15:00,4.506
607,04/19/2022 00:30:00,4.506
608,04/19/2022 00:45:00,4.506
609,04/19/2022 01:00:00,4.48
610,04/19/2022 01:15:00,4.506
611,04/19/2022 01:30:00,4.506
612,04/19/2022 01:45:00,4.506
613,04/19/2022 02:00:00,4.48
614,04/19/2022 02:15:00,4.506
615,04/19/2022 02:30:00,4.48
616,04/19/2022 02:45:00,4.506
617,04/19/2022 03:00:00,4.48
618,04/19/2022 03:15:00,4.506
619,04/19/2022 03:30:00,4.506
620,04/19/2022 03:45:00,4.48
621,04/19/2022 04:00:00,4.454
622,04/19/2022 04:15:00,4.402
623,04/19/2022 04:30:00,4.194
624,04/19/2022 04:45:00,3.932
625,04/19/2022 05:00:00,3.827
626,04/19/2022 05:15:00,3.67
627,04/19/2022 05:30:00,3.406
628,04/19/2022 05:45:00,3.327
