Plot Title: Rock_5_19_22,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 21337446, SEN S/N: 21337446)"
1,05/19/2022 17:00:00,7.645
2,05/19/2022 17:15:00,7.645
3,05/19/2022 17:30:00,7.645
4,05/19/2022 17:45:00,7.594
5,05/19/2022 18:00:00,7.569
6,05/19/2022 18:15:00,7.519
7,05/19/2022 18:30:00,7.494
8,05/19/2022 18:45:00,7.444
9,05/19/2022 19:00:00,7.393
10,05/19/2022 19:15:00,7.343
11,05/19/2022 19:30:00,7.318
12,05/19/2022 19:45:00,7.268
13,05/19/2022 20:00:00,7.242
14,05/19/2022 20:15:00,7.217
15,05/19/2022 20:30:00,7.192
16,05/19/2022 20:45:00,7.142
17,05/19/2022 21:00:00,7.116
18,05/19/2022 21:15:00,7.091
19,05/19/2022 21:30:00,7.066
20,05/19/2022 21:45:00,7.041
21,05/19/2022 22:00:00,7.015
22,05/19/2022 22:15:00,6.99
23,05/19/2022 22:30:00,6.94
24,05/19/2022 22:45:00,6.914
25,05/19/2022 23:00:00,6.889
26,05/19/2022 23:15:00,6.864
27,05/19/2022 23:30:00,6.839
28,05/19/2022 23:45:00,6.813
29,05/20/2022 00:00:00,6.788
30,05/20/2022 00:15:00,6.763
31,05/20/2022 00:30:00,6.737
32,05/20/2022 00:45:00,6.712
33,05/20/2022 01:00:00,6.687
34,05/20/2022 01:15:00,6.661
35,05/20/2022 01:30:00,6.661
36,05/20/2022 01:45:00,6.636
37,05/20/2022 02:00:00,6.636
38,05/20/2022 02:15:00,6.611
39,05/20/2022 02:30:00,6.585
40,05/20/2022 02:45:00,6.585
41,05/20/2022 03:00:00,6.56
42,05/20/2022 03:15:00,6.535
43,05/20/2022 03:30:00,6.535
44,05/20/2022 03:45:00,6.509
45,05/20/2022 04:00:00,6.484
46,05/20/2022 04:15:00,6.458
47,05/20/2022 04:30:00,6.433
48,05/20/2022 04:45:00,6.433
49,05/20/2022 05:00:00,6.408
50,05/20/2022 05:15:00,6.382
51,05/20/2022 05:30:00,6.382
52,05/20/2022 05:45:00,6.382
53,05/20/2022 06:00:00,6.382
54,05/20/2022 06:15:00,6.382
55,05/20/2022 06:30:00,6.357
56,05/20/2022 06:45:00,6.357
57,05/20/2022 07:00:00,6.331
58,05/20/2022 07:15:00,6.357
59,05/20/2022 07:30:00,6.357
60,05/20/2022 07:45:00,6.382
61,05/20/2022 08:00:00,6.382
62,05/20/2022 08:15:00,6.408
63,05/20/2022 08:30:00,6.433
64,05/20/2022 08:45:00,6.433
65,05/20/2022 09:00:00,6.458
66,05/20/2022 09:15:00,6.484
67,05/20/2022 09:30:00,6.535
68,05/20/2022 09:45:00,6.56
69,05/20/2022 10:00:00,6.611
70,05/20/2022 10:15:00,6.687
71,05/20/2022 10:30:00,6.763
72,05/20/2022 10:45:00,6.839
73,05/20/2022 11:00:00,6.914
74,05/20/2022 11:15:00,7.015
75,05/20/2022 11:30:00,7.142
76,05/20/2022 11:45:00,7.242
77,05/20/2022 12:00:00,7.393
78,05/20/2022 12:15:00,7.494
79,05/20/2022 12:30:00,7.594
80,05/20/2022 12:45:00,7.77
