Plot Title: SF Hoh_05_06_2022,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 21337380, SEN S/N: 21337380)"
1,05/06/2022 17:00:00,8.568
2,05/06/2022 17:15:00,8.543
3,05/06/2022 17:30:00,8.519
4,05/06/2022 17:45:00,8.469
5,05/06/2022 18:00:00,8.444
6,05/06/2022 18:15:00,8.394
7,05/06/2022 18:30:00,8.369
8,05/06/2022 18:45:00,8.369
9,05/06/2022 19:00:00,8.344
10,05/06/2022 19:15:00,8.319
11,05/06/2022 19:30:00,8.27
12,05/06/2022 19:45:00,8.22
13,05/06/2022 20:00:00,8.17
14,05/06/2022 20:15:00,8.095
15,05/06/2022 20:30:00,8.045
16,05/06/2022 20:45:00,7.995
17,05/06/2022 21:00:00,7.945
18,05/06/2022 21:15:00,7.895
19,05/06/2022 21:30:00,7.845
20,05/06/2022 21:45:00,7.795
21,05/06/2022 22:00:00,7.745
22,05/06/2022 22:15:00,7.72
23,05/06/2022 22:30:00,7.67
24,05/06/2022 22:45:00,7.619
25,05/06/2022 23:00:00,7.569
26,05/06/2022 23:15:00,7.544
27,05/06/2022 23:30:00,7.494
28,05/06/2022 23:45:00,7.469
29,05/07/2022 00:00:00,7.444
30,05/07/2022 00:15:00,7.393
31,05/07/2022 00:30:00,7.393
32,05/07/2022 00:45:00,7.343
33,05/07/2022 01:00:00,7.343
34,05/07/2022 01:15:00,7.293
35,05/07/2022 01:30:00,7.268
36,05/07/2022 01:45:00,7.242
37,05/07/2022 02:00:00,7.217
38,05/07/2022 02:15:00,7.192
39,05/07/2022 02:30:00,7.167
40,05/07/2022 02:45:00,7.142
41,05/07/2022 03:00:00,7.116
42,05/07/2022 03:15:00,7.091
43,05/07/2022 03:30:00,7.066
44,05/07/2022 03:45:00,7.041
45,05/07/2022 04:00:00,7.015
46,05/07/2022 04:15:00,7.015
47,05/07/2022 04:30:00,7.015
48,05/07/2022 04:45:00,6.99
49,05/07/2022 05:00:00,6.99
50,05/07/2022 05:15:00,6.965
51,05/07/2022 05:30:00,6.94
52,05/07/2022 05:45:00,6.94
53,05/07/2022 06:00:00,6.94
54,05/07/2022 06:15:00,6.94
55,05/07/2022 06:30:00,6.914
56,05/07/2022 06:45:00,6.914
57,05/07/2022 07:00:00,6.914
58,05/07/2022 07:15:00,6.914
59,05/07/2022 07:30:00,6.94
60,05/07/2022 07:45:00,6.94
61,05/07/2022 08:00:00,6.965
62,05/07/2022 08:15:00,6.99
63,05/07/2022 08:30:00,6.99
64,05/07/2022 08:45:00,7.015
65,05/07/2022 09:00:00,7.041
66,05/07/2022 09:15:00,7.066
67,05/07/2022 09:30:00,7.142
68,05/07/2022 09:45:00,7.217
69,05/07/2022 10:00:00,7.242
70,05/07/2022 10:15:00,7.318
71,05/07/2022 10:30:00,7.343
72,05/07/2022 10:45:00,7.419
73,05/07/2022 11:00:00,7.544
74,05/07/2022 11:15:00,7.594
75,05/07/2022 11:30:00,7.594
76,05/07/2022 11:45:00,7.619
77,05/07/2022 12:00:00,7.695
78,05/07/2022 12:15:00,7.745
79,05/07/2022 12:30:00,7.87
80,05/07/2022 12:45:00,7.995
81,05/07/2022 13:00:00,8.095
82,05/07/2022 13:15:00,8.245
83,05/07/2022 13:30:00,8.344
84,05/07/2022 13:45:00,8.369
85,05/07/2022 14:00:00,8.444
86,05/07/2022 14:15:00,8.444
87,05/07/2022 14:30:00,8.444
88,05/07/2022 14:45:00,8.444
89,05/07/2022 15:00:00,8.444
90,05/07/2022 15:15:00,8.519
91,05/07/2022 15:30:00,8.543
92,05/07/2022 15:45:00,8.494
93,05/07/2022 16:00:00,8.494
94,05/07/2022 16:15:00,8.543
95,05/07/2022 16:30:00,8.568
96,05/07/2022 16:45:00,8.618
97,05/07/2022 17:00:00,8.568
98,05/07/2022 17:15:00,8.568
99,05/07/2022 17:30:00,8.593
100,05/07/2022 17:45:00,8.643
101,05/07/2022 18:00:00,8.593
102,05/07/2022 18:15:00,8.494
103,05/07/2022 18:30:00,8.344
104,05/07/2022 18:45:00,8.27
105,05/07/2022 19:00:00,8.195
106,05/07/2022 19:15:00,8.12
107,05/07/2022 19:30:00,8.02
108,05/07/2022 19:45:00,7.945
109,05/07/2022 20:00:00,7.845
110,05/07/2022 20:15:00,7.77
111,05/07/2022 20:30:00,7.67
112,05/07/2022 20:45:00,7.594
113,05/07/2022 21:00:00,7.494
114,05/07/2022 21:15:00,7.393
115,05/07/2022 21:30:00,7.293
116,05/07/2022 21:45:00,7.217
117,05/07/2022 22:00:00,7.142
118,05/07/2022 22:15:00,7.091
119,05/07/2022 22:30:00,7.041
120,05/07/2022 22:45:00,6.99
121,05/07/2022 23:00:00,6.94
122,05/07/2022 23:15:00,6.889
123,05/07/2022 23:30:00,6.839
124,05/07/2022 23:45:00,6.813
125,05/08/2022 00:00:00,6.763
126,05/08/2022 00:15:00,6.737
127,05/08/2022 00:30:00,6.712
128,05/08/2022 00:45:00,6.687
129,05/08/2022 01:00:00,6.661
130,05/08/2022 01:15:00,6.636
131,05/08/2022 01:30:00,6.611
132,05/08/2022 01:45:00,6.585
133,05/08/2022 02:00:00,6.56
134,05/08/2022 02:15:00,6.535
135,05/08/2022 02:30:00,6.535
136,05/08/2022 02:45:00,6.535
137,05/08/2022 03:00:00,6.509
138,05/08/2022 03:15:00,6.484
139,05/08/2022 03:30:00,6.484
140,05/08/2022 03:45:00,6.484
141,05/08/2022 04:00:00,6.458
