Plot Title: Taft_5_18_22,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 20386544, SEN S/N: 20386544)"
1,05/19/2022 17:00:00,7.015
2,05/19/2022 17:15:00,7.015
3,05/19/2022 17:30:00,7.015
4,05/19/2022 17:45:00,7.015
5,05/19/2022 18:00:00,7.015
6,05/19/2022 18:15:00,6.965
7,05/19/2022 18:30:00,6.94
8,05/19/2022 18:45:00,6.914
9,05/19/2022 19:00:00,6.889
10,05/19/2022 19:15:00,6.864
11,05/19/2022 19:30:00,6.839
12,05/19/2022 19:45:00,6.813
13,05/19/2022 20:00:00,6.788
14,05/19/2022 20:15:00,6.788
15,05/19/2022 20:30:00,6.763
16,05/19/2022 20:45:00,6.737
17,05/19/2022 21:00:00,6.712
18,05/19/2022 21:15:00,6.687
19,05/19/2022 21:30:00,6.687
20,05/19/2022 21:45:00,6.661
21,05/19/2022 22:00:00,6.636
22,05/19/2022 22:15:00,6.636
23,05/19/2022 22:30:00,6.611
24,05/19/2022 22:45:00,6.585
25,05/19/2022 23:00:00,6.585
26,05/19/2022 23:15:00,6.56
27,05/19/2022 23:30:00,6.56
28,05/19/2022 23:45:00,6.535
29,05/20/2022 00:00:00,6.535
30,05/20/2022 00:15:00,6.535
31,05/20/2022 00:30:00,6.509
32,05/20/2022 00:45:00,6.509
33,05/20/2022 01:00:00,6.509
34,05/20/2022 01:15:00,6.509
35,05/20/2022 01:30:00,6.509
36,05/20/2022 01:45:00,6.509
37,05/20/2022 02:00:00,6.509
38,05/20/2022 02:15:00,6.509
39,05/20/2022 02:30:00,6.509
40,05/20/2022 02:45:00,6.509
41,05/20/2022 03:00:00,6.535
42,05/20/2022 03:15:00,6.535
43,05/20/2022 03:30:00,6.509
44,05/20/2022 03:45:00,6.535
45,05/20/2022 04:00:00,6.509
46,05/20/2022 04:15:00,6.509
47,05/20/2022 04:30:00,6.509
48,05/20/2022 04:45:00,6.484
49,05/20/2022 05:00:00,6.458
50,05/20/2022 05:15:00,6.433
51,05/20/2022 05:30:00,6.433
52,05/20/2022 05:45:00,6.408
53,05/20/2022 06:00:00,6.382
54,05/20/2022 06:15:00,6.357
55,05/20/2022 06:30:00,6.331
56,05/20/2022 06:45:00,6.306
57,05/20/2022 07:00:00,6.306
58,05/20/2022 07:15:00,6.281
59,05/20/2022 07:30:00,6.306
60,05/20/2022 07:45:00,6.306
61,05/20/2022 08:00:00,6.306
62,05/20/2022 08:15:00,6.331
63,05/20/2022 08:30:00,6.357
64,05/20/2022 08:45:00,6.382
65,05/20/2022 09:00:00,6.433
66,05/20/2022 09:15:00,6.509
67,05/20/2022 09:30:00,6.585
68,05/20/2022 09:45:00,6.661
69,05/20/2022 10:00:00,6.737
70,05/20/2022 10:15:00,6.813
71,05/20/2022 10:30:00,6.889
72,05/20/2022 10:45:00,6.99
73,05/20/2022 11:00:00,7.091
74,05/20/2022 11:15:00,7.217
75,05/20/2022 11:30:00,7.343
76,05/20/2022 11:45:00,7.494
77,05/20/2022 12:00:00,7.645
78,05/20/2022 12:15:00,7.77
79,05/20/2022 12:30:00,7.82
80,05/20/2022 12:45:00,7.82
81,05/20/2022 13:00:00,7.745
82,05/20/2022 13:15:00,7.645
83,05/20/2022 13:30:00,7.569
84,05/20/2022 13:45:00,7.569
85,05/20/2022 14:00:00,7.544
86,05/20/2022 14:15:00,7.544
87,05/20/2022 14:30:00,7.544
88,05/20/2022 14:45:00,7.519
89,05/20/2022 15:00:00,7.469
90,05/20/2022 15:15:00,7.469
91,05/20/2022 15:30:00,7.469
92,05/20/2022 15:45:00,7.469
93,05/20/2022 16:00:00,7.469
94,05/20/2022 16:15:00,7.444
95,05/20/2022 16:30:00,7.419
96,05/20/2022 16:45:00,7.444
97,05/20/2022 17:00:00,7.444
98,05/20/2022 17:15:00,7.444
99,05/20/2022 17:30:00,7.444
100,05/20/2022 17:45:00,7.444
101,05/20/2022 18:00:00,7.419
