Plot Title: Tower_5_23_22,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 20386549, SEN S/N: 20386549)"
1,05/23/2022 17:00:00,9.089
2,05/23/2022 17:15:00,9.04
3,05/23/2022 17:30:00,9.015
4,05/23/2022 17:45:00,8.99
5,05/23/2022 18:00:00,8.99
6,05/23/2022 18:15:00,8.99
7,05/23/2022 18:30:00,8.965
8,05/23/2022 18:45:00,8.941
9,05/23/2022 19:00:00,8.916
10,05/23/2022 19:15:00,8.891
11,05/23/2022 19:30:00,8.841
12,05/23/2022 19:45:00,8.841
13,05/23/2022 20:00:00,8.792
14,05/23/2022 20:15:00,8.767
15,05/23/2022 20:30:00,8.742
16,05/23/2022 20:45:00,8.717
17,05/23/2022 21:00:00,8.693
18,05/23/2022 21:15:00,8.643
19,05/23/2022 21:30:00,8.618
20,05/23/2022 21:45:00,8.593
21,05/23/2022 22:00:00,8.568
22,05/23/2022 22:15:00,8.519
23,05/23/2022 22:30:00,8.494
24,05/23/2022 22:45:00,8.444
25,05/23/2022 23:00:00,8.419
26,05/23/2022 23:15:00,8.394
27,05/23/2022 23:30:00,8.394
28,05/23/2022 23:45:00,8.369
29,05/24/2022 00:00:00,8.369
30,05/24/2022 00:15:00,8.369
31,05/24/2022 00:30:00,8.369
32,05/24/2022 00:45:00,8.369
33,05/24/2022 01:00:00,8.344
34,05/24/2022 01:15:00,8.344
35,05/24/2022 01:30:00,8.344
36,05/24/2022 01:45:00,8.319
37,05/24/2022 02:00:00,8.319
38,05/24/2022 02:15:00,8.295
39,05/24/2022 02:30:00,8.295
40,05/24/2022 02:45:00,8.27
41,05/24/2022 03:00:00,8.245
42,05/24/2022 03:15:00,8.22
43,05/24/2022 03:30:00,8.195
44,05/24/2022 03:45:00,8.195
45,05/24/2022 04:00:00,8.17
46,05/24/2022 04:15:00,8.17
47,05/24/2022 04:30:00,8.145
48,05/24/2022 04:45:00,8.145
49,05/24/2022 05:00:00,8.145
50,05/24/2022 05:15:00,8.145
51,05/24/2022 05:30:00,8.12
52,05/24/2022 05:45:00,8.12
53,05/24/2022 06:00:00,8.12
54,05/24/2022 06:15:00,8.095
55,05/24/2022 06:30:00,8.095
56,05/24/2022 06:45:00,8.095
57,05/24/2022 07:00:00,8.095
58,05/24/2022 07:15:00,8.12
59,05/24/2022 07:30:00,8.12
60,05/24/2022 07:45:00,8.145
61,05/24/2022 08:00:00,8.17
62,05/24/2022 08:15:00,8.195
63,05/24/2022 08:30:00,8.195
64,05/24/2022 08:45:00,8.22
65,05/24/2022 09:00:00,8.245
66,05/24/2022 09:15:00,8.245
67,05/24/2022 09:30:00,8.245
68,05/24/2022 09:45:00,8.245
69,05/24/2022 10:00:00,8.245
70,05/24/2022 10:15:00,8.245
71,05/24/2022 10:30:00,8.27
72,05/24/2022 10:45:00,8.295
73,05/24/2022 11:00:00,8.319
74,05/24/2022 11:15:00,8.344
75,05/24/2022 11:30:00,8.394
76,05/24/2022 11:45:00,8.419
77,05/24/2022 12:00:00,8.469
78,05/24/2022 12:15:00,8.494
79,05/24/2022 12:30:00,8.519
80,05/24/2022 12:45:00,8.543
81,05/24/2022 13:00:00,8.543
82,05/24/2022 13:15:00,8.543
83,05/24/2022 13:30:00,8.543
84,05/24/2022 13:45:00,8.568
85,05/24/2022 14:00:00,8.568
86,05/24/2022 14:15:00,8.593
87,05/24/2022 14:30:00,8.618
88,05/24/2022 14:45:00,8.643
89,05/24/2022 15:00:00,8.643
90,05/24/2022 15:15:00,8.643
91,05/24/2022 15:30:00,8.668
92,05/24/2022 15:45:00,8.668
93,05/24/2022 16:00:00,8.693
94,05/24/2022 16:15:00,8.693
95,05/24/2022 16:30:00,8.693
96,05/24/2022 16:45:00,8.693
97,05/24/2022 17:00:00,8.693
98,05/24/2022 17:15:00,8.693
99,05/24/2022 17:30:00,8.693
100,05/24/2022 17:45:00,8.693
101,05/24/2022 18:00:00,8.693
102,05/24/2022 18:15:00,8.668
103,05/24/2022 18:30:00,8.668
104,05/24/2022 18:45:00,8.668
105,05/24/2022 19:00:00,8.643
106,05/24/2022 19:15:00,8.643
107,05/24/2022 19:30:00,8.618
108,05/24/2022 19:45:00,8.593
109,05/24/2022 20:00:00,8.593
110,05/24/2022 20:15:00,8.568
111,05/24/2022 20:30:00,8.543
112,05/24/2022 20:45:00,8.543
113,05/24/2022 21:00:00,8.519
114,05/24/2022 21:15:00,8.519
115,05/24/2022 21:30:00,8.494
116,05/24/2022 21:45:00,8.469
117,05/24/2022 22:00:00,8.469
118,05/24/2022 22:15:00,8.444
119,05/24/2022 22:30:00,8.444
120,05/24/2022 22:45:00,8.444
