"Plot Title: WF Kalaoch_5_20_22","",""
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21337440, SEN S/N: 21337440)"
"1","05/20/2022 17:00:00","8.668"
"2","05/20/2022 17:15:00","8.693"
"3","05/20/2022 17:30:00","8.717"
"4","05/20/2022 17:45:00","8.742"
"5","05/20/2022 18:00:00","8.742"
"6","05/20/2022 18:15:00","8.767"
"7","05/20/2022 18:30:00","8.767"
"8","05/20/2022 18:45:00","8.792"
"9","05/20/2022 19:00:00","8.792"
"10","05/20/2022 19:15:00","8.767"
"11","05/20/2022 19:30:00","8.767"
"12","05/20/2022 19:45:00","8.767"
"13","05/20/2022 20:00:00","8.767"
"14","05/20/2022 20:15:00","8.742"
"15","05/20/2022 20:30:00","8.742"
"16","05/20/2022 20:45:00","8.742"
"17","05/20/2022 21:00:00","8.742"
"18","05/20/2022 21:15:00","8.742"
"19","05/20/2022 21:30:00","8.742"
"20","05/20/2022 21:45:00","8.717"
"21","05/20/2022 22:00:00","8.717"
"22","05/20/2022 22:15:00","8.717"
"23","05/20/2022 22:30:00","8.693"
"24","05/20/2022 22:45:00","8.693"
"25","05/20/2022 23:00:00","8.693"
"26","05/20/2022 23:15:00","8.668"
"27","05/20/2022 23:30:00","8.668"
"28","05/20/2022 23:45:00","8.643"
"29","05/21/2022 00:00:00","8.643"
"30","05/21/2022 00:15:00","8.643"
"31","05/21/2022 00:30:00","8.618"
"32","05/21/2022 00:45:00","8.593"
"33","05/21/2022 01:00:00","8.593"
"34","05/21/2022 01:15:00","8.593"
"35","05/21/2022 01:30:00","8.568"
"36","05/21/2022 01:45:00","8.543"
"37","05/21/2022 02:00:00","8.543"
"38","05/21/2022 02:15:00","8.519"
"39","05/21/2022 02:30:00","8.519"
"40","05/21/2022 02:45:00","8.494"
"41","05/21/2022 03:00:00","8.494"
"42","05/21/2022 03:15:00","8.469"
"43","05/21/2022 03:30:00","8.444"
"44","05/21/2022 03:45:00","8.444"
"45","05/21/2022 04:00:00","8.444"
"46","05/21/2022 04:15:00","8.419"
"47","05/21/2022 04:30:00","8.394"
"48","05/21/2022 04:45:00","8.394"
"49","05/21/2022 05:00:00","8.369"
"50","05/21/2022 05:15:00","8.344"
"51","05/21/2022 05:30:00","8.344"
"52","05/21/2022 05:45:00","8.344"
"53","05/21/2022 06:00:00","8.319"
"54","05/21/2022 06:15:00","8.295"
"55","05/21/2022 06:30:00","8.295"
"56","05/21/2022 06:45:00","8.27"
"57","05/21/2022 07:00:00","8.27"
