Plot Title: Hoh Campground_5_19_22,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 21337443, SEN S/N: 21337443)"
1,05/19/2022 17:00:00,8.717
2,05/19/2022 17:15:00,8.693
3,05/19/2022 17:30:00,8.643
4,05/19/2022 17:45:00,8.593
5,05/19/2022 18:00:00,8.568
6,05/19/2022 18:15:00,8.593
7,05/19/2022 18:30:00,8.593
8,05/19/2022 18:45:00,8.593
9,05/19/2022 19:00:00,8.543
10,05/19/2022 19:15:00,8.444
11,05/19/2022 19:30:00,8.319
12,05/19/2022 19:45:00,8.195
13,05/19/2022 20:00:00,8.045
14,05/19/2022 20:15:00,7.87
15,05/19/2022 20:30:00,7.72
16,05/19/2022 20:45:00,7.594
17,05/19/2022 21:00:00,7.469
18,05/19/2022 21:15:00,7.368
19,05/19/2022 21:30:00,7.293
20,05/19/2022 21:45:00,7.217
21,05/19/2022 22:00:00,7.116
22,05/19/2022 22:15:00,7.041
23,05/19/2022 22:30:00,6.94
24,05/19/2022 22:45:00,6.889
25,05/19/2022 23:00:00,6.813
26,05/19/2022 23:15:00,6.763
27,05/19/2022 23:30:00,6.712
28,05/19/2022 23:45:00,6.687
29,05/20/2022 00:00:00,6.636
30,05/20/2022 00:15:00,6.611
31,05/20/2022 00:30:00,6.56
32,05/20/2022 00:45:00,6.535
33,05/20/2022 01:00:00,6.509
34,05/20/2022 01:15:00,6.484
35,05/20/2022 01:30:00,6.458
36,05/20/2022 01:45:00,6.458
37,05/20/2022 02:00:00,6.433
38,05/20/2022 02:15:00,6.433
39,05/20/2022 02:30:00,6.408
40,05/20/2022 02:45:00,6.382
41,05/20/2022 03:00:00,6.382
42,05/20/2022 03:15:00,6.382
43,05/20/2022 03:30:00,6.382
44,05/20/2022 03:45:00,6.357
45,05/20/2022 04:00:00,6.357
46,05/20/2022 04:15:00,6.331
47,05/20/2022 04:30:00,6.331
48,05/20/2022 04:45:00,6.306
49,05/20/2022 05:00:00,6.281
50,05/20/2022 05:15:00,6.255
51,05/20/2022 05:30:00,6.204
52,05/20/2022 05:45:00,6.179
53,05/20/2022 06:00:00,6.153
54,05/20/2022 06:15:00,6.102
55,05/20/2022 06:30:00,6.051
56,05/20/2022 06:45:00,6.026
57,05/20/2022 07:00:00,6
58,05/20/2022 07:15:00,5.975
59,05/20/2022 07:30:00,6
60,05/20/2022 07:45:00,6.026
61,05/20/2022 08:00:00,6.077
62,05/20/2022 08:15:00,6.128
63,05/20/2022 08:30:00,6.204
64,05/20/2022 08:45:00,6.306
65,05/20/2022 09:00:00,6.433
66,05/20/2022 09:15:00,6.56
67,05/20/2022 09:30:00,6.687
68,05/20/2022 09:45:00,6.839
69,05/20/2022 10:00:00,7.015
70,05/20/2022 10:15:00,7.192
71,05/20/2022 10:30:00,7.393
72,05/20/2022 10:45:00,7.594
73,05/20/2022 11:00:00,7.82
74,05/20/2022 11:15:00,8.045
75,05/20/2022 11:30:00,8.27
76,05/20/2022 11:45:00,8.519
77,05/20/2022 12:00:00,8.767
78,05/20/2022 12:15:00,9.04
79,05/20/2022 12:30:00,9.213
80,05/20/2022 12:45:00,9.287
81,05/20/2022 13:00:00,9.435
82,05/20/2022 13:15:00,9.336
83,05/20/2022 13:30:00,9.139
84,05/20/2022 13:45:00,9.163
85,05/20/2022 14:00:00,9.188
86,05/20/2022 14:15:00,9.089
87,05/20/2022 14:30:00,9.139
88,05/20/2022 14:45:00,9.213
89,05/20/2022 15:00:00,9.163
90,05/20/2022 15:15:00,9.287
91,05/20/2022 15:30:00,9.558
92,05/20/2022 15:45:00,9.632
93,05/20/2022 16:00:00,9.583
94,05/20/2022 16:15:00,9.485
95,05/20/2022 16:30:00,9.336
96,05/20/2022 16:45:00,9.188
97,05/20/2022 17:00:00,9.114
98,05/20/2022 17:15:00,9.015
99,05/20/2022 17:30:00,8.891
100,05/20/2022 17:45:00,8.792
101,05/20/2022 18:00:00,8.717
102,05/20/2022 18:15:00,8.668
103,05/20/2022 18:30:00,8.668
104,05/20/2022 18:45:00,8.643
105,05/20/2022 19:00:00,8.593
106,05/20/2022 19:15:00,8.568
107,05/20/2022 19:30:00,8.543
108,05/20/2022 19:45:00,8.494
109,05/20/2022 20:00:00,8.419
110,05/20/2022 20:15:00,8.344
111,05/20/2022 20:30:00,8.245
112,05/20/2022 20:45:00,8.145
113,05/20/2022 21:00:00,8.045
114,05/20/2022 21:15:00,7.945
115,05/20/2022 21:30:00,7.845
116,05/20/2022 21:45:00,7.745
