Plot Title: Maple Upper_5_20_22,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 20386531, SEN S/N: 20386531)"
1,05/20/2022 17:00:00,7.87
2,05/20/2022 17:15:00,7.845
3,05/20/2022 17:30:00,7.845
4,05/20/2022 17:45:00,7.845
5,05/20/2022 18:00:00,7.82
6,05/20/2022 18:15:00,7.82
7,05/20/2022 18:30:00,7.82
8,05/20/2022 18:45:00,7.82
9,05/20/2022 19:00:00,7.82
10,05/20/2022 19:15:00,7.82
11,05/20/2022 19:30:00,7.795
12,05/20/2022 19:45:00,7.77
13,05/20/2022 20:00:00,7.77
14,05/20/2022 20:15:00,7.72
15,05/20/2022 20:30:00,7.695
16,05/20/2022 20:45:00,7.67
17,05/20/2022 21:00:00,7.645
18,05/20/2022 21:15:00,7.619
19,05/20/2022 21:30:00,7.569
20,05/20/2022 21:45:00,7.544
21,05/20/2022 22:00:00,7.519
22,05/20/2022 22:15:00,7.494
23,05/20/2022 22:30:00,7.469
24,05/20/2022 22:45:00,7.444
25,05/20/2022 23:00:00,7.419
26,05/20/2022 23:15:00,7.393
27,05/20/2022 23:30:00,7.393
28,05/20/2022 23:45:00,7.368
29,05/21/2022 00:00:00,7.368
30,05/21/2022 00:15:00,7.343
31,05/21/2022 00:30:00,7.343
32,05/21/2022 00:45:00,7.318
33,05/21/2022 01:00:00,7.293
34,05/21/2022 01:15:00,7.293
35,05/21/2022 01:30:00,7.268
36,05/21/2022 01:45:00,7.242
37,05/21/2022 02:00:00,7.217
38,05/21/2022 02:15:00,7.217
39,05/21/2022 02:30:00,7.192
40,05/21/2022 02:45:00,7.167
41,05/21/2022 03:00:00,7.167
42,05/21/2022 03:15:00,7.142
43,05/21/2022 03:30:00,7.116
44,05/21/2022 03:45:00,7.116
45,05/21/2022 04:00:00,7.091
46,05/21/2022 04:15:00,7.066
47,05/21/2022 04:30:00,7.041
48,05/21/2022 04:45:00,7.015
49,05/21/2022 05:00:00,6.99
50,05/21/2022 05:15:00,6.94
51,05/21/2022 05:30:00,6.914
52,05/21/2022 05:45:00,6.889
53,05/21/2022 06:00:00,6.889
54,05/21/2022 06:15:00,6.889
55,05/21/2022 06:30:00,6.889
56,05/21/2022 06:45:00,6.889
57,05/21/2022 07:00:00,6.889
58,05/21/2022 07:15:00,6.914
59,05/21/2022 07:30:00,6.914
60,05/21/2022 07:45:00,6.94
61,05/21/2022 08:00:00,6.965
62,05/21/2022 08:15:00,6.965
63,05/21/2022 08:30:00,6.99
64,05/21/2022 08:45:00,7.015
65,05/21/2022 09:00:00,7.041
66,05/21/2022 09:15:00,7.066
67,05/21/2022 09:30:00,7.091
68,05/21/2022 09:45:00,7.142
69,05/21/2022 10:00:00,7.192
70,05/21/2022 10:15:00,7.268
71,05/21/2022 10:30:00,7.343
72,05/21/2022 10:45:00,7.444
73,05/21/2022 11:00:00,7.544
74,05/21/2022 11:15:00,7.645
75,05/21/2022 11:30:00,7.77
76,05/21/2022 11:45:00,7.845
77,05/21/2022 12:00:00,7.92
78,05/21/2022 12:15:00,8.095
79,05/21/2022 12:30:00,8.145
80,05/21/2022 12:45:00,8.22
81,05/21/2022 13:00:00,8.319
82,05/21/2022 13:15:00,8.369
83,05/21/2022 13:30:00,8.319
84,05/21/2022 13:45:00,8.444
85,05/21/2022 14:00:00,8.444
86,05/21/2022 14:15:00,8.394
87,05/21/2022 14:30:00,8.369
88,05/21/2022 14:45:00,8.469
89,05/21/2022 15:00:00,8.494
90,05/21/2022 15:15:00,8.394
91,05/21/2022 15:30:00,8.369
92,05/21/2022 15:45:00,8.319
93,05/21/2022 16:00:00,8.344
94,05/21/2022 16:15:00,8.344
95,05/21/2022 16:30:00,8.369
96,05/21/2022 16:45:00,8.394
97,05/21/2022 17:00:00,8.394
98,05/21/2022 17:15:00,8.419
99,05/21/2022 17:30:00,8.419
100,05/21/2022 17:45:00,8.419
101,05/21/2022 18:00:00,8.394
102,05/21/2022 18:15:00,8.369
103,05/21/2022 18:30:00,8.344
104,05/21/2022 18:45:00,8.319
105,05/21/2022 19:00:00,8.295
106,05/21/2022 19:15:00,8.27
107,05/21/2022 19:30:00,8.245
108,05/21/2022 19:45:00,8.195
109,05/21/2022 20:00:00,8.17
110,05/21/2022 20:15:00,8.145
111,05/21/2022 20:30:00,8.12
112,05/21/2022 20:45:00,8.07
113,05/21/2022 21:00:00,8.02
114,05/21/2022 21:15:00,7.995
115,05/21/2022 21:30:00,7.97
116,05/21/2022 21:45:00,7.945
117,05/21/2022 22:00:00,7.92
118,05/21/2022 22:15:00,7.92
