Plot Title: NolanLower_5_11_22,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 10694014, SEN S/N: 10694014)"
1,05/11/2022 17:00:00,8.618
2,05/11/2022 17:15:00,8.593
3,05/11/2022 17:30:00,8.568
4,05/11/2022 17:45:00,8.568
5,05/11/2022 18:00:00,8.568
6,05/11/2022 18:15:00,8.543
7,05/11/2022 18:30:00,8.494
8,05/11/2022 18:45:00,8.444
9,05/11/2022 19:00:00,8.394
10,05/11/2022 19:15:00,8.344
11,05/11/2022 19:30:00,8.319
12,05/11/2022 19:45:00,8.27
13,05/11/2022 20:00:00,8.245
14,05/11/2022 20:15:00,8.195
15,05/11/2022 20:30:00,8.17
16,05/11/2022 20:45:00,8.12
17,05/11/2022 21:00:00,8.07
18,05/11/2022 21:15:00,8.045
19,05/11/2022 21:30:00,7.995
20,05/11/2022 21:45:00,7.97
21,05/11/2022 22:00:00,7.92
22,05/11/2022 22:15:00,7.895
23,05/11/2022 22:30:00,7.845
24,05/11/2022 22:45:00,7.82
25,05/11/2022 23:00:00,7.795
26,05/11/2022 23:15:00,7.77
27,05/11/2022 23:30:00,7.745
28,05/11/2022 23:45:00,7.695
29,05/12/2022 00:00:00,7.67
30,05/12/2022 00:15:00,7.645
31,05/12/2022 00:30:00,7.619
32,05/12/2022 00:45:00,7.594
33,05/12/2022 01:00:00,7.569
34,05/12/2022 01:15:00,7.544
35,05/12/2022 01:30:00,7.544
36,05/12/2022 01:45:00,7.519
37,05/12/2022 02:00:00,7.494
38,05/12/2022 02:15:00,7.469
39,05/12/2022 02:30:00,7.444
40,05/12/2022 02:45:00,7.419
41,05/12/2022 03:00:00,7.393
42,05/12/2022 03:15:00,7.368
43,05/12/2022 03:30:00,7.368
44,05/12/2022 03:45:00,7.343
45,05/12/2022 04:00:00,7.343
46,05/12/2022 04:15:00,7.343
47,05/12/2022 04:30:00,7.318
48,05/12/2022 04:45:00,7.318
49,05/12/2022 05:00:00,7.318
50,05/12/2022 05:15:00,7.318
51,05/12/2022 05:30:00,7.293
52,05/12/2022 05:45:00,7.293
53,05/12/2022 06:00:00,7.293
54,05/12/2022 06:15:00,7.293
55,05/12/2022 06:30:00,7.293
56,05/12/2022 06:45:00,7.293
57,05/12/2022 07:00:00,7.293
58,05/12/2022 07:15:00,7.293
59,05/12/2022 07:30:00,7.293
60,05/12/2022 07:45:00,7.293
61,05/12/2022 08:00:00,7.293
62,05/12/2022 08:15:00,7.293
