"Plot Title: WFIronMaiden_5_6_2022","",""
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20386528, SEN S/N: 20386528)"
"1","05/06/2022 17:00:00","7.494"
"2","05/06/2022 17:15:00","7.494"
"3","05/06/2022 17:30:00","7.494"
"4","05/06/2022 17:45:00","7.469"
"5","05/06/2022 18:00:00","7.444"
"6","05/06/2022 18:15:00","7.444"
"7","05/06/2022 18:30:00","7.444"
"8","05/06/2022 18:45:00","7.444"
"9","05/06/2022 19:00:00","7.444"
"10","05/06/2022 19:15:00","7.444"
"11","05/06/2022 19:30:00","7.444"
"12","05/06/2022 19:45:00","7.419"
"13","05/06/2022 20:00:00","7.419"
"14","05/06/2022 20:15:00","7.393"
"15","05/06/2022 20:30:00","7.393"
"16","05/06/2022 20:45:00","7.368"
"17","05/06/2022 21:00:00","7.343"
"18","05/06/2022 21:15:00","7.343"
"19","05/06/2022 21:30:00","7.343"
"20","05/06/2022 21:45:00","7.318"
"21","05/06/2022 22:00:00","7.318"
"22","05/06/2022 22:15:00","7.293"
"23","05/06/2022 22:30:00","7.293"
"24","05/06/2022 22:45:00","7.268"
"25","05/06/2022 23:00:00","7.242"
"26","05/06/2022 23:15:00","7.242"
"27","05/06/2022 23:30:00","7.217"
"28","05/06/2022 23:45:00","7.192"
"29","05/07/2022 00:00:00","7.192"
"30","05/07/2022 00:15:00","7.167"
"31","05/07/2022 00:30:00","7.167"
"32","05/07/2022 00:45:00","7.142"
"33","05/07/2022 01:00:00","7.142"
"34","05/07/2022 01:15:00","7.116"
"35","05/07/2022 01:30:00","7.091"
"36","05/07/2022 01:45:00","7.066"
"37","05/07/2022 02:00:00","7.041"
"38","05/07/2022 02:15:00","7.015"
"39","05/07/2022 02:30:00","6.99"
"40","05/07/2022 02:45:00","6.965"
"41","05/07/2022 03:00:00","6.914"
"42","05/07/2022 03:15:00","6.889"
"43","05/07/2022 03:30:00","6.839"
"44","05/07/2022 03:45:00","6.788"
"45","05/07/2022 04:00:00","6.763"
"46","05/07/2022 04:15:00","6.737"
"47","05/07/2022 04:30:00","6.712"
"48","05/07/2022 04:45:00","6.687"
"49","05/07/2022 05:00:00","6.661"
"50","05/07/2022 05:15:00","6.661"
"51","05/07/2022 05:30:00","6.661"
"52","05/07/2022 05:45:00","6.687"
"53","05/07/2022 06:00:00","6.687"
"54","05/07/2022 06:15:00","6.687"
"55","05/07/2022 06:30:00","6.687"
"56","05/07/2022 06:45:00","6.712"
"57","05/07/2022 07:00:00","6.712"
"58","05/07/2022 07:15:00","6.712"
"59","05/07/2022 07:30:00","6.737"
"60","05/07/2022 07:45:00","6.737"
"61","05/07/2022 08:00:00","6.737"
"62","05/07/2022 08:15:00","6.737"
"63","05/07/2022 08:30:00","6.763"
"64","05/07/2022 08:45:00","6.763"
"65","05/07/2022 09:00:00","6.763"
"66","05/07/2022 09:15:00","6.788"
"67","05/07/2022 09:30:00","6.788"
"68","05/07/2022 09:45:00","6.788"
"69","05/07/2022 10:00:00","6.813"
"70","05/07/2022 10:15:00","6.788"
"71","05/07/2022 10:30:00","6.813"
"72","05/07/2022 10:45:00","6.839"
"73","05/07/2022 11:00:00","6.839"
