row.num,datetime,temperature
2,2022-05-23T17:15:00Z,9.558
3,2022-05-23T17:30:00Z,9.583
4,2022-05-23T17:45:00Z,9.583
5,2022-05-23T18:00:00Z,9.583
6,2022-05-23T18:15:00Z,9.608
7,2022-05-23T18:30:00Z,9.608
8,2022-05-23T18:45:00Z,9.608
9,2022-05-23T19:00:00Z,9.583
10,2022-05-23T19:15:00Z,9.583
11,2022-05-23T19:30:00Z,9.558
12,2022-05-23T19:45:00Z,9.534
13,2022-05-23T20:00:00Z,9.534
14,2022-05-23T20:15:00Z,9.509
15,2022-05-23T20:30:00Z,9.485
16,2022-05-23T20:45:00Z,9.485
17,2022-05-23T21:00:00Z,9.46
18,2022-05-23T21:15:00Z,9.435
19,2022-05-23T21:30:00Z,9.435
20,2022-05-23T21:45:00Z,9.41
21,2022-05-23T22:00:00Z,9.386
22,2022-05-23T22:15:00Z,9.386
23,2022-05-23T22:30:00Z,9.361
24,2022-05-23T22:45:00Z,9.336
25,2022-05-23T23:00:00Z,9.336
26,2022-05-23T23:15:00Z,9.312
27,2022-05-23T23:30:00Z,9.287
28,2022-05-23T23:45:00Z,9.262
29,2022-05-24T00:00:00Z,9.238
30,2022-05-24T00:15:00Z,9.238
31,2022-05-24T00:30:00Z,9.213
32,2022-05-24T00:45:00Z,9.188
33,2022-05-24T01:00:00Z,9.188
34,2022-05-24T01:15:00Z,9.139
35,2022-05-24T01:30:00Z,9.139
36,2022-05-24T01:45:00Z,9.114
37,2022-05-24T02:00:00Z,9.089
38,2022-05-24T02:15:00Z,9.064
39,2022-05-24T02:30:00Z,9.04
40,2022-05-24T02:45:00Z,9.015
41,2022-05-24T03:00:00Z,9.015
42,2022-05-24T03:15:00Z,8.99
43,2022-05-24T03:30:00Z,8.965
44,2022-05-24T03:45:00Z,8.941
45,2022-05-24T04:00:00Z,8.941
46,2022-05-24T04:15:00Z,8.916
47,2022-05-24T04:30:00Z,8.916
48,2022-05-24T04:45:00Z,8.891
49,2022-05-24T05:00:00Z,8.891
50,2022-05-24T05:15:00Z,8.866
51,2022-05-24T05:30:00Z,8.866
52,2022-05-24T05:45:00Z,8.866
53,2022-05-24T06:00:00Z,8.841
54,2022-05-24T06:15:00Z,8.841
55,2022-05-24T06:30:00Z,8.841
56,2022-05-24T06:45:00Z,8.841
57,2022-05-24T07:00:00Z,8.841
58,2022-05-24T07:15:00Z,8.841
59,2022-05-24T07:30:00Z,8.841
60,2022-05-24T07:45:00Z,8.841
61,2022-05-24T08:00:00Z,8.866
62,2022-05-24T08:15:00Z,8.866
63,2022-05-24T08:30:00Z,8.891
64,2022-05-24T08:45:00Z,8.891
65,2022-05-24T09:00:00Z,8.891
66,2022-05-24T09:15:00Z,8.916
67,2022-05-24T09:30:00Z,8.916
68,2022-05-24T09:45:00Z,8.916
69,2022-05-24T10:00:00Z,8.941
70,2022-05-24T10:15:00Z,8.941
71,2022-05-24T10:30:00Z,8.965
72,2022-05-24T10:45:00Z,8.99
73,2022-05-24T11:00:00Z,9.015
74,2022-05-24T11:15:00Z,9.04
75,2022-05-24T11:30:00Z,9.064
76,2022-05-24T11:45:00Z,9.089
77,2022-05-24T12:00:00Z,9.114
78,2022-05-24T12:15:00Z,9.139
79,2022-05-24T12:30:00Z,9.163
80,2022-05-24T12:45:00Z,9.188
81,2022-05-24T13:00:00Z,9.213
82,2022-05-24T13:15:00Z,9.238
83,2022-05-24T13:30:00Z,9.238
84,2022-05-24T13:45:00Z,9.262
85,2022-05-24T14:00:00Z,9.287
86,2022-05-24T14:15:00Z,9.312
87,2022-05-24T14:30:00Z,9.312
88,2022-05-24T14:45:00Z,9.336
89,2022-05-24T15:00:00Z,9.336
90,2022-05-24T15:15:00Z,9.336
91,2022-05-24T15:30:00Z,9.336
92,2022-05-24T15:45:00Z,9.361
93,2022-05-24T16:00:00Z,9.361
94,2022-05-24T16:15:00Z,9.361
95,2022-05-24T16:30:00Z,9.361
96,2022-05-24T16:45:00Z,9.361
97,2022-05-24T17:00:00Z,9.361
98,2022-05-24T17:15:00Z,9.361
99,2022-05-24T17:30:00Z,9.361
100,2022-05-24T17:45:00Z,9.361
101,2022-05-24T18:00:00Z,9.361
102,2022-05-24T18:15:00Z,9.361
103,2022-05-24T18:30:00Z,9.336
104,2022-05-24T18:45:00Z,9.336
105,2022-05-24T19:00:00Z,9.336
106,2022-05-24T19:15:00Z,9.312
107,2022-05-24T19:30:00Z,9.312
108,2022-05-24T19:45:00Z,9.287
109,2022-05-24T20:00:00Z,9.287
110,2022-05-24T20:15:00Z,9.287
111,2022-05-24T20:30:00Z,9.262
112,2022-05-24T20:45:00Z,9.262
113,2022-05-24T21:00:00Z,9.262
114,2022-05-24T21:15:00Z,9.238
115,2022-05-24T21:30:00Z,9.238
116,2022-05-24T21:45:00Z,9.238
117,2022-05-24T22:00:00Z,9.238
118,2022-05-24T22:15:00Z,9.238
119,2022-05-24T22:30:00Z,9.213
120,2022-05-24T22:45:00Z,9.213
121,2022-05-24T23:00:00Z,9.213
122,2022-05-24T23:15:00Z,9.213
123,2022-05-24T23:30:00Z,9.188
124,2022-05-24T23:45:00Z,9.188
125,2022-05-25T00:00:00Z,9.188
126,2022-05-25T00:15:00Z,9.188
127,2022-05-25T00:30:00Z,9.188
128,2022-05-25T00:45:00Z,9.188
129,2022-05-25T01:00:00Z,9.188
130,2022-05-25T01:15:00Z,9.188
131,2022-05-25T01:30:00Z,9.163
132,2022-05-25T01:45:00Z,9.163
133,2022-05-25T02:00:00Z,9.163
134,2022-05-25T02:15:00Z,9.163
135,2022-05-25T02:30:00Z,9.163
136,2022-05-25T02:45:00Z,9.163
137,2022-05-25T03:00:00Z,9.163
138,2022-05-25T03:15:00Z,9.163
139,2022-05-25T03:30:00Z,9.163
140,2022-05-25T03:45:00Z,9.163
141,2022-05-25T04:00:00Z,9.163
142,2022-05-25T04:15:00Z,9.163
143,2022-05-25T04:30:00Z,9.163
144,2022-05-25T04:45:00Z,9.139
145,2022-05-25T05:00:00Z,9.139
146,2022-05-25T05:15:00Z,9.139
147,2022-05-25T05:30:00Z,9.139
148,2022-05-25T05:45:00Z,9.139
149,2022-05-25T06:00:00Z,9.139
150,2022-05-25T06:15:00Z,9.139
151,2022-05-25T06:30:00Z,9.139
152,2022-05-25T06:45:00Z,9.139
153,2022-05-25T07:00:00Z,9.163
154,2022-05-25T07:15:00Z,9.163
155,2022-05-25T07:30:00Z,9.163
156,2022-05-25T07:45:00Z,9.188
157,2022-05-25T08:00:00Z,9.188
158,2022-05-25T08:15:00Z,9.213
159,2022-05-25T08:30:00Z,9.213
160,2022-05-25T08:45:00Z,9.238
161,2022-05-25T09:00:00Z,9.238
162,2022-05-25T09:15:00Z,9.262
163,2022-05-25T09:30:00Z,9.287
164,2022-05-25T09:45:00Z,9.312
165,2022-05-25T10:00:00Z,9.336
166,2022-05-25T10:15:00Z,9.361
167,2022-05-25T10:30:00Z,9.386
168,2022-05-25T10:45:00Z,9.41
169,2022-05-25T11:00:00Z,9.46
170,2022-05-25T11:15:00Z,9.485
171,2022-05-25T11:30:00Z,9.534
172,2022-05-25T11:45:00Z,9.558
173,2022-05-25T12:00:00Z,9.583
174,2022-05-25T12:15:00Z,9.632
175,2022-05-25T12:30:00Z,9.632
176,2022-05-25T12:45:00Z,9.657
177,2022-05-25T13:00:00Z,9.682
178,2022-05-25T13:15:00Z,9.706
