row.num,datetime,temperature
1,2022-05-06T17:00:00Z,7.845
2,2022-05-06T17:15:00Z,7.845
3,2022-05-06T17:30:00Z,7.82
4,2022-05-06T17:45:00Z,7.795
5,2022-05-06T18:00:00Z,7.77
6,2022-05-06T18:15:00Z,7.745
7,2022-05-06T18:30:00Z,7.72
8,2022-05-06T18:45:00Z,7.695
9,2022-05-06T19:00:00Z,7.695
10,2022-05-06T19:15:00Z,7.695
11,2022-05-06T19:30:00Z,7.695
12,2022-05-06T19:45:00Z,7.67
13,2022-05-06T20:00:00Z,7.645
14,2022-05-06T20:15:00Z,7.594
15,2022-05-06T20:30:00Z,7.569
16,2022-05-06T20:45:00Z,7.519
17,2022-05-06T21:00:00Z,7.494
18,2022-05-06T21:15:00Z,7.444
19,2022-05-06T21:30:00Z,7.419
20,2022-05-06T21:45:00Z,7.393
21,2022-05-06T22:00:00Z,7.368
22,2022-05-06T22:15:00Z,7.343
23,2022-05-06T22:30:00Z,7.318
24,2022-05-06T22:45:00Z,7.293
25,2022-05-06T23:00:00Z,7.242
26,2022-05-06T23:15:00Z,7.217
27,2022-05-06T23:30:00Z,7.192
28,2022-05-06T23:45:00Z,7.167
29,2022-05-07T00:00:00Z,7.142
30,2022-05-07T00:15:00Z,7.142
31,2022-05-07T00:30:00Z,7.142
32,2022-05-07T00:45:00Z,7.116
33,2022-05-07T01:00:00Z,7.091
34,2022-05-07T01:15:00Z,7.066
35,2022-05-07T01:30:00Z,7.041
36,2022-05-07T01:45:00Z,6.99
37,2022-05-07T02:00:00Z,6.965
38,2022-05-07T02:15:00Z,6.914
39,2022-05-07T02:30:00Z,6.839
40,2022-05-07T02:45:00Z,6.788
41,2022-05-07T03:00:00Z,6.737
42,2022-05-07T03:15:00Z,6.687
43,2022-05-07T03:30:00Z,6.611
44,2022-05-07T03:45:00Z,6.56
45,2022-05-07T04:00:00Z,6.509
46,2022-05-07T04:15:00Z,6.458
47,2022-05-07T04:30:00Z,6.408
48,2022-05-07T04:45:00Z,6.357
49,2022-05-07T05:00:00Z,6.306
50,2022-05-07T05:15:00Z,6.281
51,2022-05-07T05:30:00Z,6.255
52,2022-05-07T05:45:00Z,6.23
53,2022-05-07T06:00:00Z,6.23
54,2022-05-07T06:15:00Z,6.23
55,2022-05-07T06:30:00Z,6.255
56,2022-05-07T06:45:00Z,6.281
57,2022-05-07T07:00:00Z,6.306
58,2022-05-07T07:15:00Z,6.331
59,2022-05-07T07:30:00Z,6.382
60,2022-05-07T07:45:00Z,6.408
61,2022-05-07T08:00:00Z,6.433
62,2022-05-07T08:15:00Z,6.458
63,2022-05-07T08:30:00Z,6.484
64,2022-05-07T08:45:00Z,6.484
65,2022-05-07T09:00:00Z,6.484
66,2022-05-07T09:15:00Z,6.509
67,2022-05-07T09:30:00Z,6.535
68,2022-05-07T09:45:00Z,6.535
69,2022-05-07T10:00:00Z,6.585
70,2022-05-07T10:15:00Z,6.611
71,2022-05-07T10:30:00Z,6.611
72,2022-05-07T10:45:00Z,6.611
73,2022-05-07T11:00:00Z,6.611
74,2022-05-07T11:15:00Z,6.535
75,2022-05-07T11:30:00Z,6.535
76,2022-05-07T11:45:00Z,6.56
77,2022-05-07T12:00:00Z,6.535
78,2022-05-07T12:15:00Z,6.585
79,2022-05-07T12:30:00Z,6.636
80,2022-05-07T12:45:00Z,6.661
81,2022-05-07T13:00:00Z,6.788
82,2022-05-07T13:15:00Z,6.965
83,2022-05-07T13:30:00Z,6.965
84,2022-05-07T13:45:00Z,7.015
85,2022-05-07T14:00:00Z,7.041
86,2022-05-07T14:15:00Z,6.99
87,2022-05-07T14:30:00Z,6.965
88,2022-05-07T14:45:00Z,6.914
89,2022-05-07T15:00:00Z,6.864
90,2022-05-07T15:15:00Z,6.839
91,2022-05-07T15:30:00Z,6.839
92,2022-05-07T15:45:00Z,6.839
93,2022-05-07T16:00:00Z,6.839
94,2022-05-07T16:15:00Z,6.839
95,2022-05-07T16:30:00Z,6.864
96,2022-05-07T16:45:00Z,6.889
97,2022-05-07T17:00:00Z,6.889
98,2022-05-07T17:15:00Z,6.864
99,2022-05-07T17:30:00Z,6.839
100,2022-05-07T17:45:00Z,6.813
101,2022-05-07T18:00:00Z,6.763
102,2022-05-07T18:15:00Z,6.687
103,2022-05-07T18:30:00Z,6.585
104,2022-05-07T18:45:00Z,6.535
105,2022-05-07T19:00:00Z,6.433
106,2022-05-07T19:15:00Z,6.382
107,2022-05-07T19:30:00Z,6.306
108,2022-05-07T19:45:00Z,6.23
109,2022-05-07T20:00:00Z,6.179
110,2022-05-07T20:15:00Z,6.128
111,2022-05-07T20:30:00Z,6.051
112,2022-05-07T20:45:00Z,5.975
113,2022-05-07T21:00:00Z,5.924
114,2022-05-07T21:15:00Z,5.821
115,2022-05-07T21:30:00Z,5.745
116,2022-05-07T21:45:00Z,5.668
117,2022-05-07T22:00:00Z,5.642
118,2022-05-07T22:15:00Z,5.591
119,2022-05-07T22:30:00Z,5.565
120,2022-05-07T22:45:00Z,5.514
121,2022-05-07T23:00:00Z,5.514
122,2022-05-07T23:15:00Z,5.462
123,2022-05-07T23:30:00Z,5.437
124,2022-05-07T23:45:00Z,5.437
125,2022-05-08T00:00:00Z,5.411
126,2022-05-08T00:15:00Z,5.385
127,2022-05-08T00:30:00Z,5.36
128,2022-05-08T00:45:00Z,5.36
129,2022-05-08T01:00:00Z,5.36
130,2022-05-08T01:15:00Z,5.334
131,2022-05-08T01:30:00Z,5.334
132,2022-05-08T01:45:00Z,5.334
133,2022-05-08T02:00:00Z,5.308
134,2022-05-08T02:15:00Z,5.308
135,2022-05-08T02:30:00Z,5.282
136,2022-05-08T02:45:00Z,5.231
137,2022-05-08T03:00:00Z,5.205
138,2022-05-08T03:15:00Z,5.205
139,2022-05-08T03:30:00Z,5.179
140,2022-05-08T03:45:00Z,5.179
141,2022-05-08T04:00:00Z,5.154
142,2022-05-08T04:15:00Z,5.154
143,2022-05-08T04:30:00Z,5.154
144,2022-05-08T04:45:00Z,5.154
145,2022-05-08T05:00:00Z,5.128
146,2022-05-08T05:15:00Z,5.128
147,2022-05-08T05:30:00Z,5.128
148,2022-05-08T05:45:00Z,5.128
149,2022-05-08T06:00:00Z,5.128
150,2022-05-08T06:15:00Z,5.102
151,2022-05-08T06:30:00Z,5.102
152,2022-05-08T06:45:00Z,5.076
153,2022-05-08T07:00:00Z,5.05
154,2022-05-08T07:15:00Z,5.024
155,2022-05-08T07:30:00Z,5.024
156,2022-05-08T07:45:00Z,5.024
157,2022-05-08T08:00:00Z,5.05
158,2022-05-08T08:15:00Z,5.076
159,2022-05-08T08:30:00Z,5.102
160,2022-05-08T08:45:00Z,5.128
161,2022-05-08T09:00:00Z,5.154
162,2022-05-08T09:15:00Z,5.205
163,2022-05-08T09:30:00Z,5.282
164,2022-05-08T09:45:00Z,5.36
165,2022-05-08T10:00:00Z,5.462
166,2022-05-08T10:15:00Z,5.539
167,2022-05-08T10:30:00Z,5.642
168,2022-05-08T10:45:00Z,5.745
169,2022-05-08T11:00:00Z,5.847
170,2022-05-08T11:15:00Z,5.924
171,2022-05-08T11:30:00Z,6
172,2022-05-08T11:45:00Z,6.026
173,2022-05-08T12:00:00Z,6.026
174,2022-05-08T12:15:00Z,6.128
175,2022-05-08T12:30:00Z,6.204
176,2022-05-08T12:45:00Z,6.306
177,2022-05-08T13:00:00Z,6.433
178,2022-05-08T13:15:00Z,6.585
179,2022-05-08T13:30:00Z,6.839
180,2022-05-08T13:45:00Z,7.041
181,2022-05-08T14:00:00Z,7.293
182,2022-05-08T14:15:00Z,7.293
183,2022-05-08T14:30:00Z,7.268
184,2022-05-08T14:45:00Z,7.192
185,2022-05-08T15:00:00Z,7.091
186,2022-05-08T15:15:00Z,6.99
187,2022-05-08T15:30:00Z,6.864
188,2022-05-08T15:45:00Z,6.788
189,2022-05-08T16:00:00Z,6.737
190,2022-05-08T16:15:00Z,6.737
191,2022-05-08T16:30:00Z,6.712
192,2022-05-08T16:45:00Z,6.661
193,2022-05-08T17:00:00Z,6.661
194,2022-05-08T17:15:00Z,6.611
195,2022-05-08T17:30:00Z,6.585
196,2022-05-08T17:45:00Z,6.585
197,2022-05-08T18:00:00Z,6.56
198,2022-05-08T18:15:00Z,6.535
199,2022-05-08T18:30:00Z,6.509
200,2022-05-08T18:45:00Z,6.484
201,2022-05-08T19:00:00Z,6.408
202,2022-05-08T19:15:00Z,6.331
203,2022-05-08T19:30:00Z,6.23
204,2022-05-08T19:45:00Z,6.153
205,2022-05-08T20:00:00Z,6.077
206,2022-05-08T20:15:00Z,6
207,2022-05-08T20:30:00Z,5.949
208,2022-05-08T20:45:00Z,5.924
209,2022-05-08T21:00:00Z,5.872
210,2022-05-08T21:15:00Z,5.821
211,2022-05-08T21:30:00Z,5.745
212,2022-05-08T21:45:00Z,5.693
213,2022-05-08T22:00:00Z,5.616
214,2022-05-08T22:15:00Z,5.565
215,2022-05-08T22:30:00Z,5.514
216,2022-05-08T22:45:00Z,5.462
217,2022-05-08T23:00:00Z,5.411
218,2022-05-08T23:15:00Z,5.385
219,2022-05-08T23:30:00Z,5.334
220,2022-05-08T23:45:00Z,5.308
221,2022-05-09T00:00:00Z,5.282
222,2022-05-09T00:15:00Z,5.257
223,2022-05-09T00:30:00Z,5.205
224,2022-05-09T00:45:00Z,5.179
225,2022-05-09T01:00:00Z,5.154
226,2022-05-09T01:15:00Z,5.102
227,2022-05-09T01:30:00Z,5.05
228,2022-05-09T01:45:00Z,5.024
229,2022-05-09T02:00:00Z,4.999
230,2022-05-09T02:15:00Z,4.973
231,2022-05-09T02:30:00Z,4.947
232,2022-05-09T02:45:00Z,4.947
233,2022-05-09T03:00:00Z,4.947
234,2022-05-09T03:15:00Z,4.947
235,2022-05-09T03:30:00Z,4.947
236,2022-05-09T03:45:00Z,4.973
237,2022-05-09T04:00:00Z,4.973
238,2022-05-09T04:15:00Z,4.973
239,2022-05-09T04:30:00Z,4.999
240,2022-05-09T04:45:00Z,4.999
241,2022-05-09T05:00:00Z,4.973
242,2022-05-09T05:15:00Z,4.947
243,2022-05-09T05:30:00Z,4.895
244,2022-05-09T05:45:00Z,4.844
245,2022-05-09T06:00:00Z,4.818
246,2022-05-09T06:15:00Z,4.792
247,2022-05-09T06:30:00Z,4.792
248,2022-05-09T06:45:00Z,4.792
249,2022-05-09T07:00:00Z,4.792
250,2022-05-09T07:15:00Z,4.818
251,2022-05-09T07:30:00Z,4.844
252,2022-05-09T07:45:00Z,4.869
253,2022-05-09T08:00:00Z,4.921
254,2022-05-09T08:15:00Z,4.973
255,2022-05-09T08:30:00Z,5.05
256,2022-05-09T08:45:00Z,5.128
257,2022-05-09T09:00:00Z,5.231
258,2022-05-09T09:15:00Z,5.308
259,2022-05-09T09:30:00Z,5.411
260,2022-05-09T09:45:00Z,5.488
261,2022-05-09T10:00:00Z,5.565
262,2022-05-09T10:15:00Z,5.693
263,2022-05-09T10:30:00Z,5.745
264,2022-05-09T10:45:00Z,5.796
265,2022-05-09T11:00:00Z,5.872
266,2022-05-09T11:15:00Z,5.949
267,2022-05-09T11:30:00Z,6
268,2022-05-09T11:45:00Z,6.051
269,2022-05-09T12:00:00Z,6.102
270,2022-05-09T12:15:00Z,6.128
271,2022-05-09T12:30:00Z,6.153
272,2022-05-09T12:45:00Z,6.179
273,2022-05-09T13:00:00Z,6.255
274,2022-05-09T13:15:00Z,6.382
275,2022-05-09T13:30:00Z,6.408
276,2022-05-09T13:45:00Z,6.433
277,2022-05-09T14:00:00Z,6.509
278,2022-05-09T14:15:00Z,6.535
279,2022-05-09T14:30:00Z,6.56
280,2022-05-09T14:45:00Z,6.535
281,2022-05-09T15:00:00Z,6.509
282,2022-05-09T15:15:00Z,6.484
283,2022-05-09T15:30:00Z,6.509
284,2022-05-09T15:45:00Z,6.484
285,2022-05-09T16:00:00Z,6.535
286,2022-05-09T16:15:00Z,6.56
287,2022-05-09T16:30:00Z,6.585
288,2022-05-09T16:45:00Z,6.585
289,2022-05-09T17:00:00Z,6.611
290,2022-05-09T17:15:00Z,6.585
291,2022-05-09T17:30:00Z,6.585
292,2022-05-09T17:45:00Z,6.611
293,2022-05-09T18:00:00Z,6.611
294,2022-05-09T18:15:00Z,6.636
295,2022-05-09T18:30:00Z,6.636
296,2022-05-09T18:45:00Z,6.611
297,2022-05-09T19:00:00Z,6.585
298,2022-05-09T19:15:00Z,6.56
299,2022-05-09T19:30:00Z,6.509
300,2022-05-09T19:45:00Z,6.484
301,2022-05-09T20:00:00Z,6.433
302,2022-05-09T20:15:00Z,6.433
303,2022-05-09T20:30:00Z,6.382
304,2022-05-09T20:45:00Z,6.357
305,2022-05-09T21:00:00Z,6.331
306,2022-05-09T21:15:00Z,6.281
307,2022-05-09T21:30:00Z,6.255
308,2022-05-09T21:45:00Z,6.23
309,2022-05-09T22:00:00Z,6.204
310,2022-05-09T22:15:00Z,6.179
311,2022-05-09T22:30:00Z,6.153
312,2022-05-09T22:45:00Z,6.128
313,2022-05-09T23:00:00Z,6.102
314,2022-05-09T23:15:00Z,6.077
315,2022-05-09T23:30:00Z,6.051
316,2022-05-09T23:45:00Z,6.026
317,2022-05-10T00:00:00Z,5.975
318,2022-05-10T00:15:00Z,5.924
319,2022-05-10T00:30:00Z,5.872
320,2022-05-10T00:45:00Z,5.847
321,2022-05-10T01:00:00Z,5.821
322,2022-05-10T01:15:00Z,5.77
323,2022-05-10T01:30:00Z,5.719
324,2022-05-10T01:45:00Z,5.668
325,2022-05-10T02:00:00Z,5.591
326,2022-05-10T02:15:00Z,5.539
327,2022-05-10T02:30:00Z,5.488
328,2022-05-10T02:45:00Z,5.462
329,2022-05-10T03:00:00Z,5.437
330,2022-05-10T03:15:00Z,5.411
331,2022-05-10T03:30:00Z,5.411
332,2022-05-10T03:45:00Z,5.385
333,2022-05-10T04:00:00Z,5.385
334,2022-05-10T04:15:00Z,5.36
335,2022-05-10T04:30:00Z,5.36
336,2022-05-10T04:45:00Z,5.334
337,2022-05-10T05:00:00Z,5.308
338,2022-05-10T05:15:00Z,5.282
339,2022-05-10T05:30:00Z,5.231
340,2022-05-10T05:45:00Z,5.205
341,2022-05-10T06:00:00Z,5.154
342,2022-05-10T06:15:00Z,5.102
343,2022-05-10T06:30:00Z,5.076
344,2022-05-10T06:45:00Z,5.076
345,2022-05-10T07:00:00Z,5.076
346,2022-05-10T07:15:00Z,5.102
347,2022-05-10T07:30:00Z,5.102
348,2022-05-10T07:45:00Z,5.154
349,2022-05-10T08:00:00Z,5.179
350,2022-05-10T08:15:00Z,5.257
351,2022-05-10T08:30:00Z,5.308
352,2022-05-10T08:45:00Z,5.385
353,2022-05-10T09:00:00Z,5.488
354,2022-05-10T09:15:00Z,5.591
355,2022-05-10T09:30:00Z,5.668
356,2022-05-10T09:45:00Z,5.77
357,2022-05-10T10:00:00Z,5.847
358,2022-05-10T10:15:00Z,5.949
359,2022-05-10T10:30:00Z,6.026
360,2022-05-10T10:45:00Z,6.077
