row.num,datetime,temperature
1,2022-05-19T17:00:00Z,7.015
2,2022-05-19T17:15:00Z,7.015
3,2022-05-19T17:30:00Z,7.015
4,2022-05-19T17:45:00Z,7.015
5,2022-05-19T18:00:00Z,7.015
6,2022-05-19T18:15:00Z,6.965
7,2022-05-19T18:30:00Z,6.94
8,2022-05-19T18:45:00Z,6.914
9,2022-05-19T19:00:00Z,6.889
10,2022-05-19T19:15:00Z,6.864
11,2022-05-19T19:30:00Z,6.839
12,2022-05-19T19:45:00Z,6.813
13,2022-05-19T20:00:00Z,6.788
14,2022-05-19T20:15:00Z,6.788
15,2022-05-19T20:30:00Z,6.763
16,2022-05-19T20:45:00Z,6.737
17,2022-05-19T21:00:00Z,6.712
18,2022-05-19T21:15:00Z,6.687
19,2022-05-19T21:30:00Z,6.687
20,2022-05-19T21:45:00Z,6.661
21,2022-05-19T22:00:00Z,6.636
22,2022-05-19T22:15:00Z,6.636
23,2022-05-19T22:30:00Z,6.611
24,2022-05-19T22:45:00Z,6.585
25,2022-05-19T23:00:00Z,6.585
26,2022-05-19T23:15:00Z,6.56
27,2022-05-19T23:30:00Z,6.56
28,2022-05-19T23:45:00Z,6.535
29,2022-05-20T00:00:00Z,6.535
30,2022-05-20T00:15:00Z,6.535
31,2022-05-20T00:30:00Z,6.509
32,2022-05-20T00:45:00Z,6.509
33,2022-05-20T01:00:00Z,6.509
34,2022-05-20T01:15:00Z,6.509
35,2022-05-20T01:30:00Z,6.509
36,2022-05-20T01:45:00Z,6.509
37,2022-05-20T02:00:00Z,6.509
38,2022-05-20T02:15:00Z,6.509
39,2022-05-20T02:30:00Z,6.509
40,2022-05-20T02:45:00Z,6.509
41,2022-05-20T03:00:00Z,6.535
42,2022-05-20T03:15:00Z,6.535
43,2022-05-20T03:30:00Z,6.509
44,2022-05-20T03:45:00Z,6.535
45,2022-05-20T04:00:00Z,6.509
46,2022-05-20T04:15:00Z,6.509
47,2022-05-20T04:30:00Z,6.509
48,2022-05-20T04:45:00Z,6.484
49,2022-05-20T05:00:00Z,6.458
50,2022-05-20T05:15:00Z,6.433
51,2022-05-20T05:30:00Z,6.433
52,2022-05-20T05:45:00Z,6.408
53,2022-05-20T06:00:00Z,6.382
54,2022-05-20T06:15:00Z,6.357
55,2022-05-20T06:30:00Z,6.331
56,2022-05-20T06:45:00Z,6.306
57,2022-05-20T07:00:00Z,6.306
58,2022-05-20T07:15:00Z,6.281
59,2022-05-20T07:30:00Z,6.306
60,2022-05-20T07:45:00Z,6.306
61,2022-05-20T08:00:00Z,6.306
62,2022-05-20T08:15:00Z,6.331
63,2022-05-20T08:30:00Z,6.357
64,2022-05-20T08:45:00Z,6.382
65,2022-05-20T09:00:00Z,6.433
66,2022-05-20T09:15:00Z,6.509
67,2022-05-20T09:30:00Z,6.585
68,2022-05-20T09:45:00Z,6.661
69,2022-05-20T10:00:00Z,6.737
70,2022-05-20T10:15:00Z,6.813
71,2022-05-20T10:30:00Z,6.889
72,2022-05-20T10:45:00Z,6.99
73,2022-05-20T11:00:00Z,7.091
74,2022-05-20T11:15:00Z,7.217
75,2022-05-20T11:30:00Z,7.343
76,2022-05-20T11:45:00Z,7.494
77,2022-05-20T12:00:00Z,7.645
78,2022-05-20T12:15:00Z,7.77
79,2022-05-20T12:30:00Z,7.82
80,2022-05-20T12:45:00Z,7.82
81,2022-05-20T13:00:00Z,7.745
82,2022-05-20T13:15:00Z,7.645
83,2022-05-20T13:30:00Z,7.569
84,2022-05-20T13:45:00Z,7.569
85,2022-05-20T14:00:00Z,7.544
86,2022-05-20T14:15:00Z,7.544
87,2022-05-20T14:30:00Z,7.544
88,2022-05-20T14:45:00Z,7.519
89,2022-05-20T15:00:00Z,7.469
90,2022-05-20T15:15:00Z,7.469
91,2022-05-20T15:30:00Z,7.469
92,2022-05-20T15:45:00Z,7.469
93,2022-05-20T16:00:00Z,7.469
94,2022-05-20T16:15:00Z,7.444
95,2022-05-20T16:30:00Z,7.419
96,2022-05-20T16:45:00Z,7.444
97,2022-05-20T17:00:00Z,7.444
98,2022-05-20T17:15:00Z,7.444
99,2022-05-20T17:30:00Z,7.444
100,2022-05-20T17:45:00Z,7.444
101,2022-05-20T18:00:00Z,7.419
102,2022-05-20T18:15:00Z,7.419
103,2022-05-20T18:30:00Z,7.419
104,2022-05-20T18:45:00Z,7.393
105,2022-05-20T19:00:00Z,7.393
106,2022-05-20T19:15:00Z,7.368
107,2022-05-20T19:30:00Z,7.343
108,2022-05-20T19:45:00Z,7.318
109,2022-05-20T20:00:00Z,7.293
110,2022-05-20T20:15:00Z,7.293
111,2022-05-20T20:30:00Z,7.268
112,2022-05-20T20:45:00Z,7.242
113,2022-05-20T21:00:00Z,7.242
114,2022-05-20T21:15:00Z,7.242
115,2022-05-20T21:30:00Z,7.217
116,2022-05-20T21:45:00Z,7.192
117,2022-05-20T22:00:00Z,7.192
118,2022-05-20T22:15:00Z,7.167
119,2022-05-20T22:30:00Z,7.167
120,2022-05-20T22:45:00Z,7.167
121,2022-05-20T23:00:00Z,7.167
122,2022-05-20T23:15:00Z,7.142
123,2022-05-20T23:30:00Z,7.142
124,2022-05-20T23:45:00Z,7.142
125,2022-05-21T00:00:00Z,7.142
126,2022-05-21T00:15:00Z,7.116
127,2022-05-21T00:30:00Z,7.116
128,2022-05-21T00:45:00Z,7.116
129,2022-05-21T01:00:00Z,7.091
130,2022-05-21T01:15:00Z,7.091
131,2022-05-21T01:30:00Z,7.066
132,2022-05-21T01:45:00Z,7.066
133,2022-05-21T02:00:00Z,7.041
134,2022-05-21T02:15:00Z,7.041
135,2022-05-21T02:30:00Z,7.015
136,2022-05-21T02:45:00Z,7.015
137,2022-05-21T03:00:00Z,6.99
138,2022-05-21T03:15:00Z,6.99
139,2022-05-21T03:30:00Z,6.965
140,2022-05-21T03:45:00Z,6.965
141,2022-05-21T04:00:00Z,6.94
142,2022-05-21T04:15:00Z,6.94
143,2022-05-21T04:30:00Z,6.914
144,2022-05-21T04:45:00Z,6.914
145,2022-05-21T05:00:00Z,6.889
146,2022-05-21T05:15:00Z,6.889
147,2022-05-21T05:30:00Z,6.889
148,2022-05-21T05:45:00Z,6.889
149,2022-05-21T06:00:00Z,6.864
150,2022-05-21T06:15:00Z,6.864
151,2022-05-21T06:30:00Z,6.864
152,2022-05-21T06:45:00Z,6.864
153,2022-05-21T07:00:00Z,6.864
154,2022-05-21T07:15:00Z,6.864
155,2022-05-21T07:30:00Z,6.864
156,2022-05-21T07:45:00Z,6.889
157,2022-05-21T08:00:00Z,6.889
158,2022-05-21T08:15:00Z,6.914
159,2022-05-21T08:30:00Z,6.914
160,2022-05-21T08:45:00Z,6.94
161,2022-05-21T09:00:00Z,6.99
162,2022-05-21T09:15:00Z,7.066
163,2022-05-21T09:30:00Z,7.142
164,2022-05-21T09:45:00Z,7.192
165,2022-05-21T10:00:00Z,7.268
166,2022-05-21T10:15:00Z,7.343
167,2022-05-21T10:30:00Z,7.368
168,2022-05-21T10:45:00Z,7.368
169,2022-05-21T11:00:00Z,7.419
170,2022-05-21T11:15:00Z,7.544
171,2022-05-21T11:30:00Z,7.695
172,2022-05-21T11:45:00Z,7.845
173,2022-05-21T12:00:00Z,7.895
174,2022-05-21T12:15:00Z,7.895
175,2022-05-21T12:30:00Z,7.895
176,2022-05-21T12:45:00Z,7.945
177,2022-05-21T13:00:00Z,7.995
178,2022-05-21T13:15:00Z,8.045
179,2022-05-21T13:30:00Z,8.095
180,2022-05-21T13:45:00Z,8.145
181,2022-05-21T14:00:00Z,8.195
182,2022-05-21T14:15:00Z,8.195
183,2022-05-21T14:30:00Z,8.095
184,2022-05-21T14:45:00Z,8.045
185,2022-05-21T15:00:00Z,8.045
186,2022-05-21T15:15:00Z,8.045
187,2022-05-21T15:30:00Z,8.02
188,2022-05-21T15:45:00Z,8.02
189,2022-05-21T16:00:00Z,7.995
190,2022-05-21T16:15:00Z,7.97
191,2022-05-21T16:30:00Z,7.97
192,2022-05-21T16:45:00Z,7.97
193,2022-05-21T17:00:00Z,7.97
194,2022-05-21T17:15:00Z,7.945
195,2022-05-21T17:30:00Z,7.895
196,2022-05-21T17:45:00Z,7.895
197,2022-05-21T18:00:00Z,7.87
198,2022-05-21T18:15:00Z,7.845
199,2022-05-21T18:30:00Z,7.795
200,2022-05-21T18:45:00Z,7.77
201,2022-05-21T19:00:00Z,7.745
202,2022-05-21T19:15:00Z,7.72
203,2022-05-21T19:30:00Z,7.695
204,2022-05-21T19:45:00Z,7.695
205,2022-05-21T20:00:00Z,7.67
206,2022-05-21T20:15:00Z,7.645
207,2022-05-21T20:30:00Z,7.619
208,2022-05-21T20:45:00Z,7.594
209,2022-05-21T21:00:00Z,7.594
210,2022-05-21T21:15:00Z,7.569
211,2022-05-21T21:30:00Z,7.544
212,2022-05-21T21:45:00Z,7.519
