row.num,datetime,temperature
1,2022-05-20T17:00:00Z,8.668
2,2022-05-20T17:15:00Z,8.693
3,2022-05-20T17:30:00Z,8.717
4,2022-05-20T17:45:00Z,8.742
5,2022-05-20T18:00:00Z,8.742
6,2022-05-20T18:15:00Z,8.767
7,2022-05-20T18:30:00Z,8.767
8,2022-05-20T18:45:00Z,8.792
9,2022-05-20T19:00:00Z,8.792
10,2022-05-20T19:15:00Z,8.767
11,2022-05-20T19:30:00Z,8.767
12,2022-05-20T19:45:00Z,8.767
13,2022-05-20T20:00:00Z,8.767
14,2022-05-20T20:15:00Z,8.742
15,2022-05-20T20:30:00Z,8.742
16,2022-05-20T20:45:00Z,8.742
17,2022-05-20T21:00:00Z,8.742
18,2022-05-20T21:15:00Z,8.742
19,2022-05-20T21:30:00Z,8.742
20,2022-05-20T21:45:00Z,8.717
21,2022-05-20T22:00:00Z,8.717
22,2022-05-20T22:15:00Z,8.717
23,2022-05-20T22:30:00Z,8.693
24,2022-05-20T22:45:00Z,8.693
25,2022-05-20T23:00:00Z,8.693
26,2022-05-20T23:15:00Z,8.668
27,2022-05-20T23:30:00Z,8.668
28,2022-05-20T23:45:00Z,8.643
29,2022-05-21T00:00:00Z,8.643
30,2022-05-21T00:15:00Z,8.643
31,2022-05-21T00:30:00Z,8.618
32,2022-05-21T00:45:00Z,8.593
33,2022-05-21T01:00:00Z,8.593
34,2022-05-21T01:15:00Z,8.593
35,2022-05-21T01:30:00Z,8.568
36,2022-05-21T01:45:00Z,8.543
37,2022-05-21T02:00:00Z,8.543
38,2022-05-21T02:15:00Z,8.519
39,2022-05-21T02:30:00Z,8.519
40,2022-05-21T02:45:00Z,8.494
41,2022-05-21T03:00:00Z,8.494
42,2022-05-21T03:15:00Z,8.469
43,2022-05-21T03:30:00Z,8.444
44,2022-05-21T03:45:00Z,8.444
45,2022-05-21T04:00:00Z,8.444
46,2022-05-21T04:15:00Z,8.419
47,2022-05-21T04:30:00Z,8.394
48,2022-05-21T04:45:00Z,8.394
49,2022-05-21T05:00:00Z,8.369
50,2022-05-21T05:15:00Z,8.344
51,2022-05-21T05:30:00Z,8.344
52,2022-05-21T05:45:00Z,8.344
53,2022-05-21T06:00:00Z,8.319
54,2022-05-21T06:15:00Z,8.295
55,2022-05-21T06:30:00Z,8.295
56,2022-05-21T06:45:00Z,8.27
57,2022-05-21T07:00:00Z,8.27
58,2022-05-21T07:15:00Z,8.245
59,2022-05-21T07:30:00Z,8.245
60,2022-05-21T07:45:00Z,8.22
61,2022-05-21T08:00:00Z,8.195
62,2022-05-21T08:15:00Z,8.195
