Plot Title: HohAnderson_5_27_22,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 21337447, SEN S/N: 21337447)"
1,05/27/2022 17:00:00,9.731
2,05/27/2022 17:15:00,9.805
3,05/27/2022 17:30:00,9.829
4,05/27/2022 17:45:00,9.879
5,05/27/2022 18:00:00,9.879
6,05/27/2022 18:15:00,9.829
7,05/27/2022 18:30:00,9.756
8,05/27/2022 18:45:00,9.731
9,05/27/2022 19:00:00,9.731
10,05/27/2022 19:15:00,9.756
11,05/27/2022 19:30:00,9.756
12,05/27/2022 19:45:00,9.756
13,05/27/2022 20:00:00,9.731
14,05/27/2022 20:15:00,9.731
15,05/27/2022 20:30:00,9.731
16,05/27/2022 20:45:00,9.731
17,05/27/2022 21:00:00,9.731
18,05/27/2022 21:15:00,9.731
19,05/27/2022 21:30:00,9.682
20,05/27/2022 21:45:00,9.632
21,05/27/2022 22:00:00,9.583
22,05/27/2022 22:15:00,9.534
23,05/27/2022 22:30:00,9.485
24,05/27/2022 22:45:00,9.435
25,05/27/2022 23:00:00,9.386
26,05/27/2022 23:15:00,9.336
27,05/27/2022 23:30:00,9.287
28,05/27/2022 23:45:00,9.238
29,05/28/2022 00:00:00,9.213
30,05/28/2022 00:15:00,9.163
31,05/28/2022 00:30:00,9.114
32,05/28/2022 00:45:00,9.064
33,05/28/2022 01:00:00,9.04
34,05/28/2022 01:15:00,8.99
35,05/28/2022 01:30:00,8.941
36,05/28/2022 01:45:00,8.916
37,05/28/2022 02:00:00,8.866
38,05/28/2022 02:15:00,8.841
39,05/28/2022 02:30:00,8.792
40,05/28/2022 02:45:00,8.742
41,05/28/2022 03:00:00,8.693
42,05/28/2022 03:15:00,8.643
43,05/28/2022 03:30:00,8.618
44,05/28/2022 03:45:00,8.568
45,05/28/2022 04:00:00,8.519
46,05/28/2022 04:15:00,8.469
47,05/28/2022 04:30:00,8.444
48,05/28/2022 04:45:00,8.394
49,05/28/2022 05:00:00,8.344
50,05/28/2022 05:15:00,8.319
51,05/28/2022 05:30:00,8.295
52,05/28/2022 05:45:00,8.245
53,05/28/2022 06:00:00,8.22
54,05/28/2022 06:15:00,8.195
55,05/28/2022 06:30:00,8.17
56,05/28/2022 06:45:00,8.145
57,05/28/2022 07:00:00,8.12
58,05/28/2022 07:15:00,8.095
59,05/28/2022 07:30:00,8.095
60,05/28/2022 07:45:00,8.07
61,05/28/2022 08:00:00,8.045
62,05/28/2022 08:15:00,8.045
63,05/28/2022 08:30:00,8.02
64,05/28/2022 08:45:00,8.02
