Plot Title: Hoot_5_6_2022,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 10699502, SEN S/N: 10699502)"
1,05/06/2022 17:00:00,7.368
2,05/06/2022 17:15:00,7.343
3,05/06/2022 17:30:00,7.343
4,05/06/2022 17:45:00,7.318
5,05/06/2022 18:00:00,7.318
6,05/06/2022 18:15:00,7.318
7,05/06/2022 18:30:00,7.318
8,05/06/2022 18:45:00,7.318
9,05/06/2022 19:00:00,7.318
10,05/06/2022 19:15:00,7.293
11,05/06/2022 19:30:00,7.293
12,05/06/2022 19:45:00,7.268
13,05/06/2022 20:00:00,7.268
14,05/06/2022 20:15:00,7.242
15,05/06/2022 20:30:00,7.217
16,05/06/2022 20:45:00,7.217
17,05/06/2022 21:00:00,7.217
18,05/06/2022 21:15:00,7.192
19,05/06/2022 21:30:00,7.192
20,05/06/2022 21:45:00,7.192
21,05/06/2022 22:00:00,7.167
22,05/06/2022 22:15:00,7.167
23,05/06/2022 22:30:00,7.167
24,05/06/2022 22:45:00,7.167
25,05/06/2022 23:00:00,7.142
26,05/06/2022 23:15:00,7.142
27,05/06/2022 23:30:00,7.142
28,05/06/2022 23:45:00,7.116
29,05/07/2022 00:00:00,7.116
30,05/07/2022 00:15:00,7.116
31,05/07/2022 00:30:00,7.116
32,05/07/2022 00:45:00,7.091
33,05/07/2022 01:00:00,7.091
34,05/07/2022 01:15:00,7.091
35,05/07/2022 01:30:00,7.091
36,05/07/2022 01:45:00,7.066
37,05/07/2022 02:00:00,7.066
38,05/07/2022 02:15:00,7.041
39,05/07/2022 02:30:00,7.015
40,05/07/2022 02:45:00,6.99
41,05/07/2022 03:00:00,6.965
42,05/07/2022 03:15:00,6.94
43,05/07/2022 03:30:00,6.914
44,05/07/2022 03:45:00,6.914
45,05/07/2022 04:00:00,6.889
46,05/07/2022 04:15:00,6.889
47,05/07/2022 04:30:00,6.864
48,05/07/2022 04:45:00,6.839
49,05/07/2022 05:00:00,6.813
50,05/07/2022 05:15:00,6.813
51,05/07/2022 05:30:00,6.813
52,05/07/2022 05:45:00,6.813
53,05/07/2022 06:00:00,6.813
54,05/07/2022 06:15:00,6.788
55,05/07/2022 06:30:00,6.813
56,05/07/2022 06:45:00,6.813
57,05/07/2022 07:00:00,6.813
58,05/07/2022 07:15:00,6.813
59,05/07/2022 07:30:00,6.813
60,05/07/2022 07:45:00,6.813
61,05/07/2022 08:00:00,6.839
62,05/07/2022 08:15:00,6.839
63,05/07/2022 08:30:00,6.839
64,05/07/2022 08:45:00,6.864
65,05/07/2022 09:00:00,6.864
66,05/07/2022 09:15:00,6.839
67,05/07/2022 09:30:00,6.864
68,05/07/2022 09:45:00,6.864
69,05/07/2022 10:00:00,6.889
70,05/07/2022 10:15:00,6.889
71,05/07/2022 10:30:00,6.864
72,05/07/2022 10:45:00,6.864
