Plot Title: Snider_5_26_22,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 20386526, SEN S/N: 20386526)"
1,05/26/2022 17:00:00,7.995
2,05/26/2022 17:15:00,7.995
3,05/26/2022 17:30:00,7.995
4,05/26/2022 17:45:00,7.995
5,05/26/2022 18:00:00,7.995
6,05/26/2022 18:15:00,7.995
7,05/26/2022 18:30:00,7.995
8,05/26/2022 18:45:00,8.02
9,05/26/2022 19:00:00,8.02
10,05/26/2022 19:15:00,8.045
11,05/26/2022 19:30:00,8.045
12,05/26/2022 19:45:00,8.045
13,05/26/2022 20:00:00,8.045
14,05/26/2022 20:15:00,8.045
15,05/26/2022 20:30:00,8.045
16,05/26/2022 20:45:00,8.045
17,05/26/2022 21:00:00,8.07
18,05/26/2022 21:15:00,8.07
19,05/26/2022 21:30:00,8.07
20,05/26/2022 21:45:00,8.07
21,05/26/2022 22:00:00,8.07
22,05/26/2022 22:15:00,8.07
23,05/26/2022 22:30:00,8.07
24,05/26/2022 22:45:00,8.07
25,05/26/2022 23:00:00,8.07
26,05/26/2022 23:15:00,8.07
27,05/26/2022 23:30:00,8.095
28,05/26/2022 23:45:00,8.095
29,05/27/2022 00:00:00,8.095
30,05/27/2022 00:15:00,8.12
31,05/27/2022 00:30:00,8.12
32,05/27/2022 00:45:00,8.12
33,05/27/2022 01:00:00,8.095
34,05/27/2022 01:15:00,8.095
35,05/27/2022 01:30:00,8.095
36,05/27/2022 01:45:00,8.095
37,05/27/2022 02:00:00,8.07
38,05/27/2022 02:15:00,8.07
39,05/27/2022 02:30:00,8.07
40,05/27/2022 02:45:00,8.045
41,05/27/2022 03:00:00,8.045
42,05/27/2022 03:15:00,8.045
43,05/27/2022 03:30:00,8.045
44,05/27/2022 03:45:00,8.02
45,05/27/2022 04:00:00,7.995
46,05/27/2022 04:15:00,7.97
47,05/27/2022 04:30:00,7.97
48,05/27/2022 04:45:00,7.945
49,05/27/2022 05:00:00,7.945
50,05/27/2022 05:15:00,7.92
51,05/27/2022 05:30:00,7.895
52,05/27/2022 05:45:00,7.895
53,05/27/2022 06:00:00,7.87
54,05/27/2022 06:15:00,7.87
55,05/27/2022 06:30:00,7.845
56,05/27/2022 06:45:00,7.845
57,05/27/2022 07:00:00,7.845
58,05/27/2022 07:15:00,7.845
59,05/27/2022 07:30:00,7.845
60,05/27/2022 07:45:00,7.845
61,05/27/2022 08:00:00,7.845
62,05/27/2022 08:15:00,7.845
63,05/27/2022 08:30:00,7.845
64,05/27/2022 08:45:00,7.845
65,05/27/2022 09:00:00,7.845
66,05/27/2022 09:15:00,7.845
67,05/27/2022 09:30:00,7.87
68,05/27/2022 09:45:00,7.895
69,05/27/2022 10:00:00,7.895
70,05/27/2022 10:15:00,7.895
71,05/27/2022 10:30:00,7.945
72,05/27/2022 10:45:00,7.945
73,05/27/2022 11:00:00,7.97
74,05/27/2022 11:15:00,7.995
75,05/27/2022 11:30:00,7.97
76,05/27/2022 11:45:00,7.995
77,05/27/2022 12:00:00,8.02
78,05/27/2022 12:15:00,7.995
79,05/27/2022 12:30:00,8.02
80,05/27/2022 12:45:00,8.045
81,05/27/2022 13:00:00,8.045
82,05/27/2022 13:15:00,8.045
83,05/27/2022 13:30:00,8.045
84,05/27/2022 13:45:00,8.045
85,05/27/2022 14:00:00,8.045
86,05/27/2022 14:15:00,8.045
87,05/27/2022 14:30:00,8.045
88,05/27/2022 14:45:00,8.02
89,05/27/2022 15:00:00,8.02
90,05/27/2022 15:15:00,8.02
91,05/27/2022 15:30:00,7.995
92,05/27/2022 15:45:00,7.995
93,05/27/2022 16:00:00,7.995
94,05/27/2022 16:15:00,7.995
95,05/27/2022 16:30:00,7.995
96,05/27/2022 16:45:00,7.995
97,05/27/2022 17:00:00,7.995
98,05/27/2022 17:15:00,7.995
99,05/27/2022 17:30:00,7.97
100,05/27/2022 17:45:00,7.97
101,05/27/2022 18:00:00,7.945
102,05/27/2022 18:15:00,7.945
103,05/27/2022 18:30:00,7.945
104,05/27/2022 18:45:00,7.945
105,05/27/2022 19:00:00,7.945
106,05/27/2022 19:15:00,7.92
107,05/27/2022 19:30:00,7.92
108,05/27/2022 19:45:00,7.92
109,05/27/2022 20:00:00,7.895
110,05/27/2022 20:15:00,7.895
111,05/27/2022 20:30:00,7.895
112,05/27/2022 20:45:00,7.895
113,05/27/2022 21:00:00,7.87
114,05/27/2022 21:15:00,7.845
115,05/27/2022 21:30:00,7.845
116,05/27/2022 21:45:00,7.845
117,05/27/2022 22:00:00,7.82
118,05/27/2022 22:15:00,7.82
119,05/27/2022 22:30:00,7.795
120,05/27/2022 22:45:00,7.795
121,05/27/2022 23:00:00,7.77
122,05/27/2022 23:15:00,7.77
123,05/27/2022 23:30:00,7.745
124,05/27/2022 23:45:00,7.745
125,05/28/2022 00:00:00,7.72
126,05/28/2022 00:15:00,7.72
127,05/28/2022 00:30:00,7.695
128,05/28/2022 00:45:00,7.695
129,05/28/2022 01:00:00,7.695
130,05/28/2022 01:15:00,7.695
131,05/28/2022 01:30:00,7.67
132,05/28/2022 01:45:00,7.67
133,05/28/2022 02:00:00,7.67
134,05/28/2022 02:15:00,7.645
135,05/28/2022 02:30:00,7.645
136,05/28/2022 02:45:00,7.645
137,05/28/2022 03:00:00,7.645
138,05/28/2022 03:15:00,7.645
139,05/28/2022 03:30:00,7.645
140,05/28/2022 03:45:00,7.619
141,05/28/2022 04:00:00,7.619
142,05/28/2022 04:15:00,7.619
143,05/28/2022 04:30:00,7.619
144,05/28/2022 04:45:00,7.619
145,05/28/2022 05:00:00,7.619
146,05/28/2022 05:15:00,7.619
147,05/28/2022 05:30:00,7.594
148,05/28/2022 05:45:00,7.594
149,05/28/2022 06:00:00,7.594
150,05/28/2022 06:15:00,7.594
151,05/28/2022 06:30:00,7.594
152,05/28/2022 06:45:00,7.594
153,05/28/2022 07:00:00,7.619
154,05/28/2022 07:15:00,7.619
155,05/28/2022 07:30:00,7.619
156,05/28/2022 07:45:00,7.619
157,05/28/2022 08:00:00,7.619
158,05/28/2022 08:15:00,7.645
159,05/28/2022 08:30:00,7.645
160,05/28/2022 08:45:00,7.645
161,05/28/2022 09:00:00,7.645
162,05/28/2022 09:15:00,7.67
163,05/28/2022 09:30:00,7.67
164,05/28/2022 09:45:00,7.67
165,05/28/2022 10:00:00,7.695
166,05/28/2022 10:15:00,7.695
167,05/28/2022 10:30:00,7.695
168,05/28/2022 10:45:00,7.72
169,05/28/2022 11:00:00,7.72
170,05/28/2022 11:15:00,7.72
171,05/28/2022 11:30:00,7.72
172,05/28/2022 11:45:00,7.745
173,05/28/2022 12:00:00,7.745
174,05/28/2022 12:15:00,7.745
175,05/28/2022 12:30:00,7.77
176,05/28/2022 12:45:00,7.795
177,05/28/2022 13:00:00,7.795
178,05/28/2022 13:15:00,7.82
179,05/28/2022 13:30:00,7.82
180,05/28/2022 13:45:00,7.82
181,05/28/2022 14:00:00,7.845
182,05/28/2022 14:15:00,7.845
183,05/28/2022 14:30:00,7.845
