row.num,datetime,temperature
1,2022-05-25T17:00:00Z,9.682
2,2022-05-25T17:15:00Z,9.706
3,2022-05-25T17:30:00Z,9.706
4,2022-05-25T17:45:00Z,9.706
5,2022-05-25T18:00:00Z,9.682
6,2022-05-25T18:15:00Z,9.682
7,2022-05-25T18:30:00Z,9.682
8,2022-05-25T18:45:00Z,9.682
9,2022-05-25T19:00:00Z,9.657
10,2022-05-25T19:15:00Z,9.657
11,2022-05-25T19:30:00Z,9.632
12,2022-05-25T19:45:00Z,9.632
13,2022-05-25T20:00:00Z,9.632
14,2022-05-25T20:15:00Z,9.608
15,2022-05-25T20:30:00Z,9.583
16,2022-05-25T20:45:00Z,9.583
17,2022-05-25T21:00:00Z,9.558
18,2022-05-25T21:15:00Z,9.558
19,2022-05-25T21:30:00Z,9.534
20,2022-05-25T21:45:00Z,9.534
21,2022-05-25T22:00:00Z,9.534
22,2022-05-25T22:15:00Z,9.509
23,2022-05-25T22:30:00Z,9.509
24,2022-05-25T22:45:00Z,9.485
25,2022-05-25T23:00:00Z,9.485
26,2022-05-25T23:15:00Z,9.485
27,2022-05-25T23:30:00Z,9.46
28,2022-05-25T23:45:00Z,9.46
29,2022-05-26T00:00:00Z,9.46
30,2022-05-26T00:15:00Z,9.46
31,2022-05-26T00:30:00Z,9.435
32,2022-05-26T00:45:00Z,9.435
33,2022-05-26T01:00:00Z,9.435
34,2022-05-26T01:15:00Z,9.435
35,2022-05-26T01:30:00Z,9.41
36,2022-05-26T01:45:00Z,9.41
37,2022-05-26T02:00:00Z,9.41
38,2022-05-26T02:15:00Z,9.386
39,2022-05-26T02:30:00Z,9.386
40,2022-05-26T02:45:00Z,9.386
41,2022-05-26T03:00:00Z,9.361
42,2022-05-26T03:15:00Z,9.361
43,2022-05-26T03:30:00Z,9.336
44,2022-05-26T03:45:00Z,9.336
45,2022-05-26T04:00:00Z,9.312
46,2022-05-26T04:15:00Z,9.312
47,2022-05-26T04:30:00Z,9.287
48,2022-05-26T04:45:00Z,9.287
49,2022-05-26T05:00:00Z,9.262
50,2022-05-26T05:15:00Z,9.262
51,2022-05-26T05:30:00Z,9.238
52,2022-05-26T05:45:00Z,9.238
53,2022-05-26T06:00:00Z,9.238
54,2022-05-26T06:15:00Z,9.238
55,2022-05-26T06:30:00Z,9.213
56,2022-05-26T06:45:00Z,9.213
57,2022-05-26T07:00:00Z,9.213
