row.num,datetime,temperature
1,2022-05-13T17:00:00Z,8.568
2,2022-05-13T17:15:00Z,8.593
3,2022-05-13T17:30:00Z,8.618
4,2022-05-13T17:45:00Z,8.643
5,2022-05-13T18:00:00Z,8.668
6,2022-05-13T18:15:00Z,8.693
7,2022-05-13T18:30:00Z,8.693
8,2022-05-13T18:45:00Z,8.693
9,2022-05-13T19:00:00Z,8.693
10,2022-05-13T19:15:00Z,8.717
11,2022-05-13T19:30:00Z,8.717
12,2022-05-13T19:45:00Z,8.717
13,2022-05-13T20:00:00Z,8.717
14,2022-05-13T20:15:00Z,8.742
15,2022-05-13T20:30:00Z,8.742
16,2022-05-13T20:45:00Z,8.742
17,2022-05-13T21:00:00Z,8.742
18,2022-05-13T21:15:00Z,8.742
19,2022-05-13T21:30:00Z,8.742
20,2022-05-13T21:45:00Z,8.717
21,2022-05-13T22:00:00Z,8.717
22,2022-05-13T22:15:00Z,8.717
23,2022-05-13T22:30:00Z,8.693
24,2022-05-13T22:45:00Z,8.693
25,2022-05-13T23:00:00Z,8.693
26,2022-05-13T23:15:00Z,8.668
27,2022-05-13T23:30:00Z,8.643
28,2022-05-13T23:45:00Z,8.643
29,2022-05-14T00:00:00Z,8.618
30,2022-05-14T00:15:00Z,8.618
31,2022-05-14T00:30:00Z,8.593
32,2022-05-14T00:45:00Z,8.593
33,2022-05-14T01:00:00Z,8.568
34,2022-05-14T01:15:00Z,8.543
35,2022-05-14T01:30:00Z,8.543
36,2022-05-14T01:45:00Z,8.519
37,2022-05-14T02:00:00Z,8.494
38,2022-05-14T02:15:00Z,8.469
39,2022-05-14T02:30:00Z,8.469
40,2022-05-14T02:45:00Z,8.444
41,2022-05-14T03:00:00Z,8.444
42,2022-05-14T03:15:00Z,8.419
43,2022-05-14T03:30:00Z,8.394
44,2022-05-14T03:45:00Z,8.394
45,2022-05-14T04:00:00Z,8.394
46,2022-05-14T04:15:00Z,8.394
47,2022-05-14T04:30:00Z,8.369
48,2022-05-14T04:45:00Z,8.369
49,2022-05-14T05:00:00Z,8.369
50,2022-05-14T05:15:00Z,8.369
51,2022-05-14T05:30:00Z,8.369
52,2022-05-14T05:45:00Z,8.369
53,2022-05-14T06:00:00Z,8.369
54,2022-05-14T06:15:00Z,8.369
55,2022-05-14T06:30:00Z,8.369
56,2022-05-14T06:45:00Z,8.369
57,2022-05-14T07:00:00Z,8.369
58,2022-05-14T07:15:00Z,8.369
59,2022-05-14T07:30:00Z,8.394
60,2022-05-14T07:45:00Z,8.394
61,2022-05-14T08:00:00Z,8.419
62,2022-05-14T08:15:00Z,8.444
63,2022-05-14T08:30:00Z,8.469
64,2022-05-14T08:45:00Z,8.494
65,2022-05-14T09:00:00Z,8.519
66,2022-05-14T09:15:00Z,8.519
67,2022-05-14T09:30:00Z,8.543
68,2022-05-14T09:45:00Z,8.568
69,2022-05-14T10:00:00Z,8.593
70,2022-05-14T10:15:00Z,8.643
71,2022-05-14T10:30:00Z,8.643
72,2022-05-14T10:45:00Z,8.668
73,2022-05-14T11:00:00Z,8.717
74,2022-05-14T11:15:00Z,8.742
75,2022-05-14T11:30:00Z,8.841
76,2022-05-14T11:45:00Z,8.866
77,2022-05-14T12:00:00Z,8.841
78,2022-05-14T12:15:00Z,8.841
79,2022-05-14T12:30:00Z,8.841
80,2022-05-14T12:45:00Z,8.866
81,2022-05-14T13:00:00Z,8.891
82,2022-05-14T13:15:00Z,8.941
83,2022-05-14T13:30:00Z,8.99
84,2022-05-14T13:45:00Z,9.015
85,2022-05-14T14:00:00Z,9.064
86,2022-05-14T14:15:00Z,9.089
87,2022-05-14T14:30:00Z,9.139
88,2022-05-14T14:45:00Z,9.213
89,2022-05-14T15:00:00Z,9.238
90,2022-05-14T15:15:00Z,9.238
91,2022-05-14T15:30:00Z,9.287
92,2022-05-14T15:45:00Z,9.312
93,2022-05-14T16:00:00Z,9.361
94,2022-05-14T16:15:00Z,9.386
95,2022-05-14T16:30:00Z,9.41
96,2022-05-14T16:45:00Z,9.435
97,2022-05-14T17:00:00Z,9.435
98,2022-05-14T17:15:00Z,9.485
99,2022-05-14T17:30:00Z,9.509
100,2022-05-14T17:45:00Z,9.534
101,2022-05-14T18:00:00Z,9.558
102,2022-05-14T18:15:00Z,9.583
103,2022-05-14T18:30:00Z,9.583
104,2022-05-14T18:45:00Z,9.632
105,2022-05-14T19:00:00Z,9.632
106,2022-05-14T19:15:00Z,9.657
107,2022-05-14T19:30:00Z,9.682
108,2022-05-14T19:45:00Z,9.706
109,2022-05-14T20:00:00Z,9.731
110,2022-05-14T20:15:00Z,9.731
111,2022-05-14T20:30:00Z,9.756
112,2022-05-14T20:45:00Z,9.78
113,2022-05-14T21:00:00Z,9.78
114,2022-05-14T21:15:00Z,9.805
115,2022-05-14T21:30:00Z,9.829
116,2022-05-14T21:45:00Z,9.829
117,2022-05-14T22:00:00Z,9.854
118,2022-05-14T22:15:00Z,9.854
119,2022-05-14T22:30:00Z,9.879
120,2022-05-14T22:45:00Z,9.879
121,2022-05-14T23:00:00Z,9.879
122,2022-05-14T23:15:00Z,9.879
123,2022-05-14T23:30:00Z,9.879
124,2022-05-14T23:45:00Z,9.879
125,2022-05-15T00:00:00Z,9.879
126,2022-05-15T00:15:00Z,9.879
127,2022-05-15T00:30:00Z,9.854
128,2022-05-15T00:45:00Z,9.854
129,2022-05-15T01:00:00Z,9.829
130,2022-05-15T01:15:00Z,9.829
131,2022-05-15T01:30:00Z,9.805
132,2022-05-15T01:45:00Z,9.78
