row.num,datetime,temperature
1,2022-05-13T17:00:00Z,8.519
2,2022-05-13T17:15:00Z,8.519
3,2022-05-13T17:30:00Z,8.494
4,2022-05-13T17:45:00Z,8.494
5,2022-05-13T18:00:00Z,8.469
6,2022-05-13T18:15:00Z,8.469
7,2022-05-13T18:30:00Z,8.444
8,2022-05-13T18:45:00Z,8.444
9,2022-05-13T19:00:00Z,8.394
10,2022-05-13T19:15:00Z,8.369
11,2022-05-13T19:30:00Z,8.344
12,2022-05-13T19:45:00Z,8.344
13,2022-05-13T20:00:00Z,8.319
14,2022-05-13T20:15:00Z,8.295
15,2022-05-13T20:30:00Z,8.27
16,2022-05-13T20:45:00Z,8.245
17,2022-05-13T21:00:00Z,8.195
18,2022-05-13T21:15:00Z,8.195
19,2022-05-13T21:30:00Z,8.17
20,2022-05-13T21:45:00Z,8.145
21,2022-05-13T22:00:00Z,8.12
22,2022-05-13T22:15:00Z,8.095
23,2022-05-13T22:30:00Z,8.07
24,2022-05-13T22:45:00Z,8.07
25,2022-05-13T23:00:00Z,8.045
26,2022-05-13T23:15:00Z,8.02
27,2022-05-13T23:30:00Z,7.995
28,2022-05-13T23:45:00Z,7.995
29,2022-05-14T00:00:00Z,7.995
30,2022-05-14T00:15:00Z,7.97
31,2022-05-14T00:30:00Z,7.945
32,2022-05-14T00:45:00Z,7.945
33,2022-05-14T01:00:00Z,7.945
34,2022-05-14T01:15:00Z,7.945
35,2022-05-14T01:30:00Z,7.92
36,2022-05-14T01:45:00Z,7.92
37,2022-05-14T02:00:00Z,7.92
38,2022-05-14T02:15:00Z,7.895
39,2022-05-14T02:30:00Z,7.895
40,2022-05-14T02:45:00Z,7.895
41,2022-05-14T03:00:00Z,7.895
42,2022-05-14T03:15:00Z,7.895
43,2022-05-14T03:30:00Z,7.895
44,2022-05-14T03:45:00Z,7.895
45,2022-05-14T04:00:00Z,7.895
46,2022-05-14T04:15:00Z,7.895
47,2022-05-14T04:30:00Z,7.895
48,2022-05-14T04:45:00Z,7.895
49,2022-05-14T05:00:00Z,7.895
50,2022-05-14T05:15:00Z,7.895
51,2022-05-14T05:30:00Z,7.895
52,2022-05-14T05:45:00Z,7.92
53,2022-05-14T06:00:00Z,7.92
54,2022-05-14T06:15:00Z,7.92
55,2022-05-14T06:30:00Z,7.92
56,2022-05-14T06:45:00Z,7.945
57,2022-05-14T07:00:00Z,7.945
58,2022-05-14T07:15:00Z,7.945
59,2022-05-14T07:30:00Z,7.945
60,2022-05-14T07:45:00Z,7.97
61,2022-05-14T08:00:00Z,7.97
62,2022-05-14T08:15:00Z,7.995
63,2022-05-14T08:30:00Z,7.995
64,2022-05-14T08:45:00Z,8.02
65,2022-05-14T09:00:00Z,8.045
66,2022-05-14T09:15:00Z,8.07
67,2022-05-14T09:30:00Z,8.095
68,2022-05-14T09:45:00Z,8.12
69,2022-05-14T10:00:00Z,8.145
70,2022-05-14T10:15:00Z,8.195
71,2022-05-14T10:30:00Z,8.245
72,2022-05-14T10:45:00Z,8.295
73,2022-05-14T11:00:00Z,8.369
74,2022-05-14T11:15:00Z,8.444
75,2022-05-14T11:30:00Z,8.494
76,2022-05-14T11:45:00Z,8.568
77,2022-05-14T12:00:00Z,8.643
78,2022-05-14T12:15:00Z,8.693
79,2022-05-14T12:30:00Z,8.742
80,2022-05-14T12:45:00Z,8.767
81,2022-05-14T13:00:00Z,8.792
82,2022-05-14T13:15:00Z,8.841
83,2022-05-14T13:30:00Z,8.841
84,2022-05-14T13:45:00Z,8.866
85,2022-05-14T14:00:00Z,8.891
86,2022-05-14T14:15:00Z,8.916
87,2022-05-14T14:30:00Z,8.941
88,2022-05-14T14:45:00Z,8.965
89,2022-05-14T15:00:00Z,8.99
90,2022-05-14T15:15:00Z,8.99
91,2022-05-14T15:30:00Z,8.99
92,2022-05-14T15:45:00Z,9.015
93,2022-05-14T16:00:00Z,9.015
94,2022-05-14T16:15:00Z,9.04
95,2022-05-14T16:30:00Z,9.04
96,2022-05-14T16:45:00Z,9.04
97,2022-05-14T17:00:00Z,9.04
98,2022-05-14T17:15:00Z,9.04
99,2022-05-14T17:30:00Z,9.04
100,2022-05-14T17:45:00Z,9.04
101,2022-05-14T18:00:00Z,9.04
102,2022-05-14T18:15:00Z,9.04
103,2022-05-14T18:30:00Z,9.04
104,2022-05-14T18:45:00Z,9.015
105,2022-05-14T19:00:00Z,9.015
106,2022-05-14T19:15:00Z,8.99
107,2022-05-14T19:30:00Z,8.99
108,2022-05-14T19:45:00Z,8.99
109,2022-05-14T20:00:00Z,8.965
110,2022-05-14T20:15:00Z,8.941
111,2022-05-14T20:30:00Z,8.941
112,2022-05-14T20:45:00Z,8.916
113,2022-05-14T21:00:00Z,8.891
114,2022-05-14T21:15:00Z,8.891
115,2022-05-14T21:30:00Z,8.866
116,2022-05-14T21:45:00Z,8.841
117,2022-05-14T22:00:00Z,8.841
118,2022-05-14T22:15:00Z,8.841
119,2022-05-14T22:30:00Z,8.817
120,2022-05-14T22:45:00Z,8.792
121,2022-05-14T23:00:00Z,8.792
122,2022-05-14T23:15:00Z,8.767
123,2022-05-14T23:30:00Z,8.767
124,2022-05-14T23:45:00Z,8.742
125,2022-05-15T00:00:00Z,8.742
126,2022-05-15T00:15:00Z,8.742
127,2022-05-15T00:30:00Z,8.717
128,2022-05-15T00:45:00Z,8.717
129,2022-05-15T01:00:00Z,8.693
130,2022-05-15T01:15:00Z,8.693
131,2022-05-15T01:30:00Z,8.693
132,2022-05-15T01:45:00Z,8.668
133,2022-05-15T02:00:00Z,8.668
134,2022-05-15T02:15:00Z,8.668
135,2022-05-15T02:30:00Z,8.643
136,2022-05-15T02:45:00Z,8.643
137,2022-05-15T03:00:00Z,8.643
138,2022-05-15T03:15:00Z,8.643
139,2022-05-15T03:30:00Z,8.618
140,2022-05-15T03:45:00Z,8.618
141,2022-05-15T04:00:00Z,8.618
142,2022-05-15T04:15:00Z,8.593
143,2022-05-15T04:30:00Z,8.593
144,2022-05-15T04:45:00Z,8.593
145,2022-05-15T05:00:00Z,8.593
146,2022-05-15T05:15:00Z,8.593
147,2022-05-15T05:30:00Z,8.593
148,2022-05-15T05:45:00Z,8.593
149,2022-05-15T06:00:00Z,8.593
150,2022-05-15T06:15:00Z,8.593
151,2022-05-15T06:30:00Z,8.593
152,2022-05-15T06:45:00Z,8.593
153,2022-05-15T07:00:00Z,8.593
154,2022-05-15T07:15:00Z,8.593
155,2022-05-15T07:30:00Z,8.593
156,2022-05-15T07:45:00Z,8.593
157,2022-05-15T08:00:00Z,8.593
158,2022-05-15T08:15:00Z,8.593
159,2022-05-15T08:30:00Z,8.593
160,2022-05-15T08:45:00Z,8.593
161,2022-05-15T09:00:00Z,8.618
162,2022-05-15T09:15:00Z,8.618
163,2022-05-15T09:30:00Z,8.643
164,2022-05-15T09:45:00Z,8.643
165,2022-05-15T10:00:00Z,8.668
166,2022-05-15T10:15:00Z,8.693
167,2022-05-15T10:30:00Z,8.693
168,2022-05-15T10:45:00Z,8.717
169,2022-05-15T11:00:00Z,8.742
170,2022-05-15T11:15:00Z,8.767
171,2022-05-15T11:30:00Z,8.792
172,2022-05-15T11:45:00Z,8.817
173,2022-05-15T12:00:00Z,8.841
174,2022-05-15T12:15:00Z,8.891
175,2022-05-15T12:30:00Z,8.941
176,2022-05-15T12:45:00Z,8.99
177,2022-05-15T13:00:00Z,9.04
178,2022-05-15T13:15:00Z,9.089
179,2022-05-15T13:30:00Z,9.114
180,2022-05-15T13:45:00Z,9.139
181,2022-05-15T14:00:00Z,9.139
182,2022-05-15T14:15:00Z,9.163
