row.num,datetime,temperature
1,2022-05-27T17:00:00Z,9.731
2,2022-05-27T17:15:00Z,9.805
3,2022-05-27T17:30:00Z,9.829
4,2022-05-27T17:45:00Z,9.879
5,2022-05-27T18:00:00Z,9.879
6,2022-05-27T18:15:00Z,9.829
7,2022-05-27T18:30:00Z,9.756
8,2022-05-27T18:45:00Z,9.731
9,2022-05-27T19:00:00Z,9.731
10,2022-05-27T19:15:00Z,9.756
11,2022-05-27T19:30:00Z,9.756
12,2022-05-27T19:45:00Z,9.756
13,2022-05-27T20:00:00Z,9.731
14,2022-05-27T20:15:00Z,9.731
15,2022-05-27T20:30:00Z,9.731
16,2022-05-27T20:45:00Z,9.731
17,2022-05-27T21:00:00Z,9.731
18,2022-05-27T21:15:00Z,9.731
19,2022-05-27T21:30:00Z,9.682
20,2022-05-27T21:45:00Z,9.632
21,2022-05-27T22:00:00Z,9.583
22,2022-05-27T22:15:00Z,9.534
23,2022-05-27T22:30:00Z,9.485
24,2022-05-27T22:45:00Z,9.435
25,2022-05-27T23:00:00Z,9.386
26,2022-05-27T23:15:00Z,9.336
27,2022-05-27T23:30:00Z,9.287
28,2022-05-27T23:45:00Z,9.238
29,2022-05-28T00:00:00Z,9.213
30,2022-05-28T00:15:00Z,9.163
31,2022-05-28T00:30:00Z,9.114
32,2022-05-28T00:45:00Z,9.064
33,2022-05-28T01:00:00Z,9.04
34,2022-05-28T01:15:00Z,8.99
35,2022-05-28T01:30:00Z,8.941
36,2022-05-28T01:45:00Z,8.916
37,2022-05-28T02:00:00Z,8.866
38,2022-05-28T02:15:00Z,8.841
39,2022-05-28T02:30:00Z,8.792
40,2022-05-28T02:45:00Z,8.742
41,2022-05-28T03:00:00Z,8.693
42,2022-05-28T03:15:00Z,8.643
43,2022-05-28T03:30:00Z,8.618
44,2022-05-28T03:45:00Z,8.568
45,2022-05-28T04:00:00Z,8.519
46,2022-05-28T04:15:00Z,8.469
47,2022-05-28T04:30:00Z,8.444
48,2022-05-28T04:45:00Z,8.394
49,2022-05-28T05:00:00Z,8.344
50,2022-05-28T05:15:00Z,8.319
51,2022-05-28T05:30:00Z,8.295
52,2022-05-28T05:45:00Z,8.245
53,2022-05-28T06:00:00Z,8.22
54,2022-05-28T06:15:00Z,8.195
55,2022-05-28T06:30:00Z,8.17
56,2022-05-28T06:45:00Z,8.145
57,2022-05-28T07:00:00Z,8.12
58,2022-05-28T07:15:00Z,8.095
59,2022-05-28T07:30:00Z,8.095
60,2022-05-28T07:45:00Z,8.07
61,2022-05-28T08:00:00Z,8.045
62,2022-05-28T08:15:00Z,8.045
63,2022-05-28T08:30:00Z,8.02
64,2022-05-28T08:45:00Z,8.02
65,2022-05-28T09:00:00Z,8.02
66,2022-05-28T09:15:00Z,8.02
67,2022-05-28T09:30:00Z,7.995
68,2022-05-28T09:45:00Z,7.995
69,2022-05-28T10:00:00Z,8.02
70,2022-05-28T10:15:00Z,8.02
71,2022-05-28T10:30:00Z,8.045
72,2022-05-28T10:45:00Z,8.045
73,2022-05-28T11:00:00Z,8.045
74,2022-05-28T11:15:00Z,8.07
75,2022-05-28T11:30:00Z,8.095
76,2022-05-28T11:45:00Z,8.12
77,2022-05-28T12:00:00Z,8.145
78,2022-05-28T12:15:00Z,8.17
79,2022-05-28T12:30:00Z,8.195
80,2022-05-28T12:45:00Z,8.22
81,2022-05-28T13:00:00Z,8.27
82,2022-05-28T13:15:00Z,8.295
83,2022-05-28T13:30:00Z,8.344
84,2022-05-28T13:45:00Z,8.394
85,2022-05-28T14:00:00Z,8.444
86,2022-05-28T14:15:00Z,8.469
87,2022-05-28T14:30:00Z,8.494
88,2022-05-28T14:45:00Z,8.543
89,2022-05-28T15:00:00Z,8.593
90,2022-05-28T15:15:00Z,8.643
91,2022-05-28T15:30:00Z,8.717
92,2022-05-28T15:45:00Z,8.742
93,2022-05-28T16:00:00Z,8.767
94,2022-05-28T16:15:00Z,8.817
95,2022-05-28T16:30:00Z,8.841
96,2022-05-28T16:45:00Z,8.891
97,2022-05-28T17:00:00Z,8.941
98,2022-05-28T17:15:00Z,9.015
99,2022-05-28T17:30:00Z,9.089
100,2022-05-28T17:45:00Z,9.114
101,2022-05-28T18:00:00Z,9.139
102,2022-05-28T18:15:00Z,9.139
103,2022-05-28T18:30:00Z,9.188
104,2022-05-28T18:45:00Z,9.213
105,2022-05-28T19:00:00Z,9.262
106,2022-05-28T19:15:00Z,9.287
107,2022-05-28T19:30:00Z,9.336
108,2022-05-28T19:45:00Z,9.336
109,2022-05-28T20:00:00Z,9.361
110,2022-05-28T20:15:00Z,9.361
111,2022-05-28T20:30:00Z,9.361
112,2022-05-28T20:45:00Z,9.336
113,2022-05-28T21:00:00Z,9.336
114,2022-05-28T21:15:00Z,9.336
115,2022-05-28T21:30:00Z,9.312
116,2022-05-28T21:45:00Z,9.312
117,2022-05-28T22:00:00Z,9.287
118,2022-05-28T22:15:00Z,9.287
119,2022-05-28T22:30:00Z,9.262
120,2022-05-28T22:45:00Z,9.262
121,2022-05-28T23:00:00Z,9.238
122,2022-05-28T23:15:00Z,9.238
123,2022-05-28T23:30:00Z,9.238
124,2022-05-28T23:45:00Z,9.213
125,2022-05-29T00:00:00Z,9.188
126,2022-05-29T00:15:00Z,9.188
127,2022-05-29T00:30:00Z,9.163
128,2022-05-29T00:45:00Z,9.139
129,2022-05-29T01:00:00Z,9.114
130,2022-05-29T01:15:00Z,9.089
131,2022-05-29T01:30:00Z,9.089
132,2022-05-29T01:45:00Z,9.064
133,2022-05-29T02:00:00Z,9.04
134,2022-05-29T02:15:00Z,9.04
135,2022-05-29T02:30:00Z,9.015
136,2022-05-29T02:45:00Z,8.99
137,2022-05-29T03:00:00Z,8.965
138,2022-05-29T03:15:00Z,8.941
139,2022-05-29T03:30:00Z,8.891
140,2022-05-29T03:45:00Z,8.866
141,2022-05-29T04:00:00Z,8.841
142,2022-05-29T04:15:00Z,8.817
143,2022-05-29T04:30:00Z,8.792
144,2022-05-29T04:45:00Z,8.742
145,2022-05-29T05:00:00Z,8.717
146,2022-05-29T05:15:00Z,8.693
147,2022-05-29T05:30:00Z,8.668
148,2022-05-29T05:45:00Z,8.643
149,2022-05-29T06:00:00Z,8.593
150,2022-05-29T06:15:00Z,8.568
151,2022-05-29T06:30:00Z,8.543
152,2022-05-29T06:45:00Z,8.519
153,2022-05-29T07:00:00Z,8.494
154,2022-05-29T07:15:00Z,8.469
155,2022-05-29T07:30:00Z,8.444
156,2022-05-29T07:45:00Z,8.419
157,2022-05-29T08:00:00Z,8.419
158,2022-05-29T08:15:00Z,8.394
159,2022-05-29T08:30:00Z,8.394
160,2022-05-29T08:45:00Z,8.369
161,2022-05-29T09:00:00Z,8.369
162,2022-05-29T09:15:00Z,8.369
163,2022-05-29T09:30:00Z,8.369
164,2022-05-29T09:45:00Z,8.369
165,2022-05-29T10:00:00Z,8.394
166,2022-05-29T10:15:00Z,8.394
167,2022-05-29T10:30:00Z,8.394
168,2022-05-29T10:45:00Z,8.444
169,2022-05-29T11:00:00Z,8.444
