row.num,datetime,temperature
1,2022-05-27T17:00:00Z,13.473
2,2022-05-27T17:15:00Z,13.522
3,2022-05-27T17:30:00Z,13.522
4,2022-05-27T17:45:00Z,13.546
5,2022-05-27T18:00:00Z,13.618
6,2022-05-27T18:15:00Z,13.618
7,2022-05-27T18:30:00Z,13.57
8,2022-05-27T18:45:00Z,13.497
9,2022-05-27T19:00:00Z,13.449
10,2022-05-27T19:15:00Z,13.377
11,2022-05-27T19:30:00Z,13.305
12,2022-05-27T19:45:00Z,13.233
13,2022-05-27T20:00:00Z,13.137
14,2022-05-27T20:15:00Z,13.088
15,2022-05-27T20:30:00Z,13.04
16,2022-05-27T20:45:00Z,12.968
17,2022-05-27T21:00:00Z,12.896
18,2022-05-27T21:15:00Z,12.799
19,2022-05-27T21:30:00Z,12.703
20,2022-05-27T21:45:00Z,12.606
21,2022-05-27T22:00:00Z,12.534
22,2022-05-27T22:15:00Z,12.461
23,2022-05-27T22:30:00Z,12.364
24,2022-05-27T22:45:00Z,12.268
25,2022-05-27T23:00:00Z,12.122
26,2022-05-27T23:15:00Z,12.05
27,2022-05-27T23:30:00Z,11.977
28,2022-05-27T23:45:00Z,11.929
29,2022-05-28T00:00:00Z,11.856
30,2022-05-28T00:15:00Z,11.807
31,2022-05-28T00:30:00Z,11.734
32,2022-05-28T00:45:00Z,11.686
33,2022-05-28T01:00:00Z,11.589
34,2022-05-28T01:15:00Z,11.516
35,2022-05-28T01:30:00Z,11.419
36,2022-05-28T01:45:00Z,11.321
37,2022-05-28T02:00:00Z,11.248
38,2022-05-28T02:15:00Z,11.2
39,2022-05-28T02:30:00Z,11.127
40,2022-05-28T02:45:00Z,11.078
41,2022-05-28T03:00:00Z,11.005
42,2022-05-28T03:15:00Z,10.956
43,2022-05-28T03:30:00Z,10.907
44,2022-05-28T03:45:00Z,10.883
45,2022-05-28T04:00:00Z,10.81
46,2022-05-28T04:15:00Z,10.761
47,2022-05-28T04:30:00Z,10.712
48,2022-05-28T04:45:00Z,10.614
49,2022-05-28T05:00:00Z,10.565
