row.num,datetime,temperature
1,2022-05-19T17:00:00Z,8.717
2,2022-05-19T17:15:00Z,8.693
3,2022-05-19T17:30:00Z,8.643
4,2022-05-19T17:45:00Z,8.593
5,2022-05-19T18:00:00Z,8.568
6,2022-05-19T18:15:00Z,8.593
7,2022-05-19T18:30:00Z,8.593
8,2022-05-19T18:45:00Z,8.593
9,2022-05-19T19:00:00Z,8.543
10,2022-05-19T19:15:00Z,8.444
11,2022-05-19T19:30:00Z,8.319
12,2022-05-19T19:45:00Z,8.195
13,2022-05-19T20:00:00Z,8.045
14,2022-05-19T20:15:00Z,7.87
15,2022-05-19T20:30:00Z,7.72
16,2022-05-19T20:45:00Z,7.594
17,2022-05-19T21:00:00Z,7.469
18,2022-05-19T21:15:00Z,7.368
19,2022-05-19T21:30:00Z,7.293
20,2022-05-19T21:45:00Z,7.217
21,2022-05-19T22:00:00Z,7.116
22,2022-05-19T22:15:00Z,7.041
23,2022-05-19T22:30:00Z,6.94
24,2022-05-19T22:45:00Z,6.889
25,2022-05-19T23:00:00Z,6.813
26,2022-05-19T23:15:00Z,6.763
27,2022-05-19T23:30:00Z,6.712
28,2022-05-19T23:45:00Z,6.687
29,2022-05-20T00:00:00Z,6.636
30,2022-05-20T00:15:00Z,6.611
31,2022-05-20T00:30:00Z,6.56
32,2022-05-20T00:45:00Z,6.535
33,2022-05-20T01:00:00Z,6.509
34,2022-05-20T01:15:00Z,6.484
35,2022-05-20T01:30:00Z,6.458
36,2022-05-20T01:45:00Z,6.458
37,2022-05-20T02:00:00Z,6.433
38,2022-05-20T02:15:00Z,6.433
39,2022-05-20T02:30:00Z,6.408
40,2022-05-20T02:45:00Z,6.382
41,2022-05-20T03:00:00Z,6.382
42,2022-05-20T03:15:00Z,6.382
43,2022-05-20T03:30:00Z,6.382
44,2022-05-20T03:45:00Z,6.357
45,2022-05-20T04:00:00Z,6.357
46,2022-05-20T04:15:00Z,6.331
47,2022-05-20T04:30:00Z,6.331
48,2022-05-20T04:45:00Z,6.306
49,2022-05-20T05:00:00Z,6.281
50,2022-05-20T05:15:00Z,6.255
51,2022-05-20T05:30:00Z,6.204
52,2022-05-20T05:45:00Z,6.179
53,2022-05-20T06:00:00Z,6.153
54,2022-05-20T06:15:00Z,6.102
55,2022-05-20T06:30:00Z,6.051
56,2022-05-20T06:45:00Z,6.026
57,2022-05-20T07:00:00Z,6
58,2022-05-20T07:15:00Z,5.975
59,2022-05-20T07:30:00Z,6
60,2022-05-20T07:45:00Z,6.026
61,2022-05-20T08:00:00Z,6.077
62,2022-05-20T08:15:00Z,6.128
63,2022-05-20T08:30:00Z,6.204
64,2022-05-20T08:45:00Z,6.306
65,2022-05-20T09:00:00Z,6.433
66,2022-05-20T09:15:00Z,6.56
67,2022-05-20T09:30:00Z,6.687
68,2022-05-20T09:45:00Z,6.839
69,2022-05-20T10:00:00Z,7.015
70,2022-05-20T10:15:00Z,7.192
71,2022-05-20T10:30:00Z,7.393
72,2022-05-20T10:45:00Z,7.594
73,2022-05-20T11:00:00Z,7.82
74,2022-05-20T11:15:00Z,8.045
75,2022-05-20T11:30:00Z,8.27
76,2022-05-20T11:45:00Z,8.519
77,2022-05-20T12:00:00Z,8.767
78,2022-05-20T12:15:00Z,9.04
79,2022-05-20T12:30:00Z,9.213
80,2022-05-20T12:45:00Z,9.287
81,2022-05-20T13:00:00Z,9.435
82,2022-05-20T13:15:00Z,9.336
83,2022-05-20T13:30:00Z,9.139
84,2022-05-20T13:45:00Z,9.163
85,2022-05-20T14:00:00Z,9.188
86,2022-05-20T14:15:00Z,9.089
87,2022-05-20T14:30:00Z,9.139
88,2022-05-20T14:45:00Z,9.213
89,2022-05-20T15:00:00Z,9.163
90,2022-05-20T15:15:00Z,9.287
91,2022-05-20T15:30:00Z,9.558
92,2022-05-20T15:45:00Z,9.632
93,2022-05-20T16:00:00Z,9.583
94,2022-05-20T16:15:00Z,9.485
95,2022-05-20T16:30:00Z,9.336
96,2022-05-20T16:45:00Z,9.188
97,2022-05-20T17:00:00Z,9.114
98,2022-05-20T17:15:00Z,9.015
99,2022-05-20T17:30:00Z,8.891
100,2022-05-20T17:45:00Z,8.792
101,2022-05-20T18:00:00Z,8.717
102,2022-05-20T18:15:00Z,8.668
103,2022-05-20T18:30:00Z,8.668
104,2022-05-20T18:45:00Z,8.643
105,2022-05-20T19:00:00Z,8.593
106,2022-05-20T19:15:00Z,8.568
107,2022-05-20T19:30:00Z,8.543
108,2022-05-20T19:45:00Z,8.494
109,2022-05-20T20:00:00Z,8.419
110,2022-05-20T20:15:00Z,8.344
111,2022-05-20T20:30:00Z,8.245
112,2022-05-20T20:45:00Z,8.145
113,2022-05-20T21:00:00Z,8.045
114,2022-05-20T21:15:00Z,7.945
115,2022-05-20T21:30:00Z,7.845
116,2022-05-20T21:45:00Z,7.745
117,2022-05-20T22:00:00Z,7.645
118,2022-05-20T22:15:00Z,7.594
119,2022-05-20T22:30:00Z,7.519
120,2022-05-20T22:45:00Z,7.494
121,2022-05-20T23:00:00Z,7.444
122,2022-05-20T23:15:00Z,7.419
123,2022-05-20T23:30:00Z,7.393
124,2022-05-20T23:45:00Z,7.343
125,2022-05-21T00:00:00Z,7.293
126,2022-05-21T00:15:00Z,7.242
127,2022-05-21T00:30:00Z,7.192
128,2022-05-21T00:45:00Z,7.167
129,2022-05-21T01:00:00Z,7.116
130,2022-05-21T01:15:00Z,7.066
131,2022-05-21T01:30:00Z,7.041
132,2022-05-21T01:45:00Z,6.99
133,2022-05-21T02:00:00Z,6.94
134,2022-05-21T02:15:00Z,6.914
135,2022-05-21T02:30:00Z,6.864
136,2022-05-21T02:45:00Z,6.839
137,2022-05-21T03:00:00Z,6.788
138,2022-05-21T03:15:00Z,6.737
139,2022-05-21T03:30:00Z,6.712
140,2022-05-21T03:45:00Z,6.687
141,2022-05-21T04:00:00Z,6.636
142,2022-05-21T04:15:00Z,6.611
143,2022-05-21T04:30:00Z,6.56
144,2022-05-21T04:45:00Z,6.535
145,2022-05-21T05:00:00Z,6.484
146,2022-05-21T05:15:00Z,6.458
147,2022-05-21T05:30:00Z,6.433
148,2022-05-21T05:45:00Z,6.382
149,2022-05-21T06:00:00Z,6.331
150,2022-05-21T06:15:00Z,6.306
151,2022-05-21T06:30:00Z,6.281
152,2022-05-21T06:45:00Z,6.281
153,2022-05-21T07:00:00Z,6.281
154,2022-05-21T07:15:00Z,6.281
155,2022-05-21T07:30:00Z,6.306
156,2022-05-21T07:45:00Z,6.357
157,2022-05-21T08:00:00Z,6.433
158,2022-05-21T08:15:00Z,6.484
