row.num,datetime,temperature
522,2022-04-19T10:15:00Z,2.182
523,2022-04-19T10:30:00Z,2.262
524,2022-04-19T10:45:00Z,2.396
525,2022-04-19T11:00:00Z,2.53
526,2022-04-19T11:15:00Z,2.69
527,2022-04-19T11:30:00Z,2.93
528,2022-04-19T11:45:00Z,3.221
529,2022-04-19T12:00:00Z,3.142
530,2022-04-19T12:15:00Z,3.248
531,2022-04-19T12:30:00Z,3.301
532,2022-04-19T12:45:00Z,3.591
533,2022-04-19T13:00:00Z,4.037
534,2022-04-19T13:15:00Z,4.194
535,2022-04-19T13:30:00Z,4.194
536,2022-04-19T13:45:00Z,4.584
537,2022-04-19T14:00:00Z,4.662
538,2022-04-19T14:15:00Z,4.584
539,2022-04-19T14:30:00Z,4.766
540,2022-04-19T14:45:00Z,4.869
541,2022-04-19T15:00:00Z,4.844
542,2022-04-19T15:15:00Z,4.714
543,2022-04-19T15:30:00Z,4.61
544,2022-04-19T15:45:00Z,4.61
545,2022-04-19T16:00:00Z,4.584
546,2022-04-19T16:15:00Z,4.584
547,2022-04-19T16:30:00Z,4.532
548,2022-04-19T16:45:00Z,4.454
549,2022-04-19T17:00:00Z,4.376
550,2022-04-19T17:15:00Z,4.246
551,2022-04-19T17:30:00Z,4.141
552,2022-04-19T17:45:00Z,3.958
553,2022-04-19T18:00:00Z,3.854
554,2022-04-19T18:15:00Z,3.775
555,2022-04-19T18:30:00Z,3.696
556,2022-04-19T18:45:00Z,3.643
557,2022-04-19T19:00:00Z,3.564
558,2022-04-19T19:15:00Z,3.485
559,2022-04-19T19:30:00Z,3.433
560,2022-04-19T19:45:00Z,3.38
561,2022-04-19T20:00:00Z,3.327
562,2022-04-19T20:15:00Z,3.274
563,2022-04-19T20:30:00Z,3.221
564,2022-04-19T20:45:00Z,3.195
565,2022-04-19T21:00:00Z,3.142
566,2022-04-19T21:15:00Z,3.116
567,2022-04-19T21:30:00Z,3.063
568,2022-04-19T21:45:00Z,3.036
569,2022-04-19T22:00:00Z,3.009
570,2022-04-19T22:15:00Z,2.983
571,2022-04-19T22:30:00Z,2.93
572,2022-04-19T22:45:00Z,2.903
573,2022-04-19T23:00:00Z,2.877
574,2022-04-19T23:15:00Z,2.85
575,2022-04-19T23:30:00Z,2.823
576,2022-04-19T23:45:00Z,2.797
577,2022-04-20T00:00:00Z,2.77
578,2022-04-20T00:15:00Z,2.744
579,2022-04-20T00:30:00Z,2.744
580,2022-04-20T00:45:00Z,2.69
581,2022-04-20T01:00:00Z,2.69
582,2022-04-20T01:15:00Z,2.664
583,2022-04-20T01:30:00Z,2.637
584,2022-04-20T01:45:00Z,2.61
585,2022-04-20T02:00:00Z,2.61
586,2022-04-20T02:15:00Z,2.584
587,2022-04-20T02:30:00Z,2.584
588,2022-04-20T02:45:00Z,2.557
589,2022-04-20T03:00:00Z,2.53
590,2022-04-20T03:15:00Z,2.53
591,2022-04-20T03:30:00Z,2.503
592,2022-04-20T03:45:00Z,2.503
593,2022-04-20T04:00:00Z,2.477
594,2022-04-20T04:15:00Z,2.45
595,2022-04-20T04:30:00Z,2.45
