row.num,datetime,temperature
1,2022-05-19T17:00:00Z,9.41
2,2022-05-19T17:15:00Z,9.558
3,2022-05-19T17:30:00Z,9.682
4,2022-05-19T17:45:00Z,9.632
5,2022-05-19T18:00:00Z,9.583
6,2022-05-19T18:15:00Z,9.558
7,2022-05-19T18:30:00Z,9.534
8,2022-05-19T18:45:00Z,9.509
9,2022-05-19T19:00:00Z,9.435
10,2022-05-19T19:15:00Z,9.312
11,2022-05-19T19:30:00Z,9.163
12,2022-05-19T19:45:00Z,9.015
13,2022-05-19T20:00:00Z,8.866
14,2022-05-19T20:15:00Z,8.717
15,2022-05-19T20:30:00Z,8.593
16,2022-05-19T20:45:00Z,8.444
17,2022-05-19T21:00:00Z,8.319
18,2022-05-19T21:15:00Z,8.195
19,2022-05-19T21:30:00Z,8.07
20,2022-05-19T21:45:00Z,7.97
21,2022-05-19T22:00:00Z,7.845
22,2022-05-19T22:15:00Z,7.745
23,2022-05-19T22:30:00Z,7.645
24,2022-05-19T22:45:00Z,7.544
25,2022-05-19T23:00:00Z,7.444
26,2022-05-19T23:15:00Z,7.368
27,2022-05-19T23:30:00Z,7.293
28,2022-05-19T23:45:00Z,7.242
29,2022-05-20T00:00:00Z,7.192
30,2022-05-20T00:15:00Z,7.142
31,2022-05-20T00:30:00Z,7.091
32,2022-05-20T00:45:00Z,7.066
33,2022-05-20T01:00:00Z,7.041
34,2022-05-20T01:15:00Z,6.99
35,2022-05-20T01:30:00Z,6.965
36,2022-05-20T01:45:00Z,6.94
37,2022-05-20T02:00:00Z,6.914
38,2022-05-20T02:15:00Z,6.889
39,2022-05-20T02:30:00Z,6.864
40,2022-05-20T02:45:00Z,6.864
41,2022-05-20T03:00:00Z,6.839
42,2022-05-20T03:15:00Z,6.839
43,2022-05-20T03:30:00Z,6.813
44,2022-05-20T03:45:00Z,6.813
45,2022-05-20T04:00:00Z,6.788
46,2022-05-20T04:15:00Z,6.788
47,2022-05-20T04:30:00Z,6.788
48,2022-05-20T04:45:00Z,6.763
49,2022-05-20T05:00:00Z,6.763
50,2022-05-20T05:15:00Z,6.737
51,2022-05-20T05:30:00Z,6.737
52,2022-05-20T05:45:00Z,6.737
53,2022-05-20T06:00:00Z,6.687
54,2022-05-20T06:15:00Z,6.661
55,2022-05-20T06:30:00Z,6.611
56,2022-05-20T06:45:00Z,6.585
57,2022-05-20T07:00:00Z,6.56
58,2022-05-20T07:15:00Z,6.56
59,2022-05-20T07:30:00Z,6.585
60,2022-05-20T07:45:00Z,6.636
61,2022-05-20T08:00:00Z,6.687
62,2022-05-20T08:15:00Z,6.763
63,2022-05-20T08:30:00Z,6.839
64,2022-05-20T08:45:00Z,6.94
65,2022-05-20T09:00:00Z,7.041
66,2022-05-20T09:15:00Z,7.167
67,2022-05-20T09:30:00Z,7.293
68,2022-05-20T09:45:00Z,7.444
69,2022-05-20T10:00:00Z,7.619
70,2022-05-20T10:15:00Z,7.795
71,2022-05-20T10:30:00Z,7.995
72,2022-05-20T10:45:00Z,8.195
73,2022-05-20T11:00:00Z,8.394
74,2022-05-20T11:15:00Z,8.618
75,2022-05-20T11:30:00Z,8.841
76,2022-05-20T11:45:00Z,9.064
77,2022-05-20T12:00:00Z,9.287
78,2022-05-20T12:15:00Z,9.509
79,2022-05-20T12:30:00Z,9.731
80,2022-05-20T12:45:00Z,9.977
81,2022-05-20T13:00:00Z,10.247
82,2022-05-20T13:15:00Z,10.443
83,2022-05-20T13:30:00Z,10.663
84,2022-05-20T13:45:00Z,10.761
85,2022-05-20T14:00:00Z,10.785
86,2022-05-20T14:15:00Z,10.736
87,2022-05-20T14:30:00Z,10.541
88,2022-05-20T14:45:00Z,10.296
89,2022-05-20T15:00:00Z,10.124
90,2022-05-20T15:15:00Z,9.952
91,2022-05-20T15:30:00Z,9.805
92,2022-05-20T15:45:00Z,9.756
93,2022-05-20T16:00:00Z,9.78
94,2022-05-20T16:15:00Z,9.731
95,2022-05-20T16:30:00Z,9.657
96,2022-05-20T16:45:00Z,9.632
97,2022-05-20T17:00:00Z,9.682
98,2022-05-20T17:15:00Z,9.78
99,2022-05-20T17:30:00Z,9.829
100,2022-05-20T17:45:00Z,9.829
101,2022-05-20T18:00:00Z,9.829
102,2022-05-20T18:15:00Z,9.829
103,2022-05-20T18:30:00Z,9.829
104,2022-05-20T18:45:00Z,9.756
105,2022-05-20T19:00:00Z,9.632
106,2022-05-20T19:15:00Z,9.485
107,2022-05-20T19:30:00Z,9.361
108,2022-05-20T19:45:00Z,9.238
109,2022-05-20T20:00:00Z,9.089
110,2022-05-20T20:15:00Z,8.941
111,2022-05-20T20:30:00Z,8.841
112,2022-05-20T20:45:00Z,8.717
113,2022-05-20T21:00:00Z,8.618
114,2022-05-20T21:15:00Z,8.494
115,2022-05-20T21:30:00Z,8.419
116,2022-05-20T21:45:00Z,8.319
117,2022-05-20T22:00:00Z,8.245
118,2022-05-20T22:15:00Z,8.17
119,2022-05-20T22:30:00Z,8.095
120,2022-05-20T22:45:00Z,8.045
121,2022-05-20T23:00:00Z,7.995
122,2022-05-20T23:15:00Z,7.945
123,2022-05-20T23:30:00Z,7.895
124,2022-05-20T23:45:00Z,7.845
125,2022-05-21T00:00:00Z,7.82
126,2022-05-21T00:15:00Z,7.745
127,2022-05-21T00:30:00Z,7.695
128,2022-05-21T00:45:00Z,7.645
129,2022-05-21T01:00:00Z,7.594
130,2022-05-21T01:15:00Z,7.544
131,2022-05-21T01:30:00Z,7.519
132,2022-05-21T01:45:00Z,7.494
133,2022-05-21T02:00:00Z,7.444
134,2022-05-21T02:15:00Z,7.419
135,2022-05-21T02:30:00Z,7.393
136,2022-05-21T02:45:00Z,7.368
137,2022-05-21T03:00:00Z,7.343
138,2022-05-21T03:15:00Z,7.318
139,2022-05-21T03:30:00Z,7.268
140,2022-05-21T03:45:00Z,7.242
141,2022-05-21T04:00:00Z,7.192
142,2022-05-21T04:15:00Z,7.142
143,2022-05-21T04:30:00Z,7.091
144,2022-05-21T04:45:00Z,7.066
145,2022-05-21T05:00:00Z,7.015
146,2022-05-21T05:15:00Z,6.965
147,2022-05-21T05:30:00Z,6.94
148,2022-05-21T05:45:00Z,6.889
149,2022-05-21T06:00:00Z,6.864
150,2022-05-21T06:15:00Z,6.839
151,2022-05-21T06:30:00Z,6.813
152,2022-05-21T06:45:00Z,6.788
153,2022-05-21T07:00:00Z,6.788
154,2022-05-21T07:15:00Z,6.788
155,2022-05-21T07:30:00Z,6.839
156,2022-05-21T07:45:00Z,6.889
157,2022-05-21T08:00:00Z,6.94
158,2022-05-21T08:15:00Z,7.015
159,2022-05-21T08:30:00Z,7.116
160,2022-05-21T08:45:00Z,7.217
161,2022-05-21T09:00:00Z,7.343
162,2022-05-21T09:15:00Z,7.494
163,2022-05-21T09:30:00Z,7.645
164,2022-05-21T09:45:00Z,7.795
165,2022-05-21T10:00:00Z,7.995
166,2022-05-21T10:15:00Z,8.195
167,2022-05-21T10:30:00Z,8.394
168,2022-05-21T10:45:00Z,8.618
169,2022-05-21T11:00:00Z,8.891
170,2022-05-21T11:15:00Z,9.114
171,2022-05-21T11:30:00Z,9.361
172,2022-05-21T11:45:00Z,9.46
173,2022-05-21T12:00:00Z,9.632
174,2022-05-21T12:15:00Z,9.854
175,2022-05-21T12:30:00Z,10.075
176,2022-05-21T12:45:00Z,10.345
177,2022-05-21T13:00:00Z,10.247
178,2022-05-21T13:15:00Z,10.173
179,2022-05-21T13:30:00Z,10.124
180,2022-05-21T13:45:00Z,9.952
181,2022-05-21T14:00:00Z,9.854
182,2022-05-21T14:15:00Z,9.879
183,2022-05-21T14:30:00Z,9.928
184,2022-05-21T14:45:00Z,10.026
185,2022-05-21T15:00:00Z,10.1
186,2022-05-21T15:15:00Z,10.149
187,2022-05-21T15:30:00Z,10.173
188,2022-05-21T15:45:00Z,10.369
189,2022-05-21T16:00:00Z,10.59
190,2022-05-21T16:15:00Z,10.81
191,2022-05-21T16:30:00Z,10.956
192,2022-05-21T16:45:00Z,10.98
193,2022-05-21T17:00:00Z,11.005
194,2022-05-21T17:15:00Z,11.078
195,2022-05-21T17:30:00Z,11.151
196,2022-05-21T17:45:00Z,11.151
197,2022-05-21T18:00:00Z,11.102
198,2022-05-21T18:15:00Z,11.053
199,2022-05-21T18:30:00Z,11.005
200,2022-05-21T18:45:00Z,10.98
201,2022-05-21T19:00:00Z,10.883
202,2022-05-21T19:15:00Z,10.712
203,2022-05-21T19:30:00Z,10.541
204,2022-05-21T19:45:00Z,10.345
205,2022-05-21T20:00:00Z,10.149
206,2022-05-21T20:15:00Z,10.001
207,2022-05-21T20:30:00Z,9.854
208,2022-05-21T20:45:00Z,9.706
209,2022-05-21T21:00:00Z,9.583
210,2022-05-21T21:15:00Z,9.46
211,2022-05-21T21:30:00Z,9.361
212,2022-05-21T21:45:00Z,9.238
213,2022-05-21T22:00:00Z,9.114
214,2022-05-21T22:15:00Z,8.99
215,2022-05-21T22:30:00Z,8.866
216,2022-05-21T22:45:00Z,8.742
217,2022-05-21T23:00:00Z,8.618
218,2022-05-21T23:15:00Z,8.494
219,2022-05-21T23:30:00Z,8.394
220,2022-05-21T23:45:00Z,8.319
221,2022-05-22T00:00:00Z,8.22
222,2022-05-22T00:15:00Z,8.12
223,2022-05-22T00:30:00Z,8.045
224,2022-05-22T00:45:00Z,7.945
225,2022-05-22T01:00:00Z,7.845
226,2022-05-22T01:15:00Z,7.77
227,2022-05-22T01:30:00Z,7.695
228,2022-05-22T01:45:00Z,7.619
229,2022-05-22T02:00:00Z,7.544
230,2022-05-22T02:15:00Z,7.469
231,2022-05-22T02:30:00Z,7.419
232,2022-05-22T02:45:00Z,7.343
233,2022-05-22T03:00:00Z,7.293
234,2022-05-22T03:15:00Z,7.242
235,2022-05-22T03:30:00Z,7.167
236,2022-05-22T03:45:00Z,7.116
237,2022-05-22T04:00:00Z,7.066
238,2022-05-22T04:15:00Z,7.041
239,2022-05-22T04:30:00Z,6.99
240,2022-05-22T04:45:00Z,6.94
241,2022-05-22T05:00:00Z,6.914
242,2022-05-22T05:15:00Z,6.889
243,2022-05-22T05:30:00Z,6.839
244,2022-05-22T05:45:00Z,6.813
245,2022-05-22T06:00:00Z,6.788
246,2022-05-22T06:15:00Z,6.763
247,2022-05-22T06:30:00Z,6.737
248,2022-05-22T06:45:00Z,6.737
249,2022-05-22T07:00:00Z,6.763
250,2022-05-22T07:15:00Z,6.788
251,2022-05-22T07:30:00Z,6.839
252,2022-05-22T07:45:00Z,6.914
253,2022-05-22T08:00:00Z,6.99
254,2022-05-22T08:15:00Z,7.091
255,2022-05-22T08:30:00Z,7.192
256,2022-05-22T08:45:00Z,7.318
257,2022-05-22T09:00:00Z,7.444
258,2022-05-22T09:15:00Z,7.594
259,2022-05-22T09:30:00Z,7.745
260,2022-05-22T09:45:00Z,7.945
261,2022-05-22T10:00:00Z,8.12
262,2022-05-22T10:15:00Z,8.319
263,2022-05-22T10:30:00Z,8.543
264,2022-05-22T10:45:00Z,8.767
265,2022-05-22T11:00:00Z,8.99
266,2022-05-22T11:15:00Z,9.238
267,2022-05-22T11:30:00Z,9.485
268,2022-05-22T11:45:00Z,9.682
269,2022-05-22T12:00:00Z,9.879
270,2022-05-22T12:15:00Z,10.1
271,2022-05-22T12:30:00Z,10.296
272,2022-05-22T12:45:00Z,10.516
273,2022-05-22T13:00:00Z,10.712
274,2022-05-22T13:15:00Z,10.883
275,2022-05-22T13:30:00Z,11.053
276,2022-05-22T13:45:00Z,11.2
277,2022-05-22T14:00:00Z,11.321
278,2022-05-22T14:15:00Z,11.419
279,2022-05-22T14:30:00Z,11.467
280,2022-05-22T14:45:00Z,11.516
281,2022-05-22T15:00:00Z,11.565
282,2022-05-22T15:15:00Z,11.589
283,2022-05-22T15:30:00Z,11.637
284,2022-05-22T15:45:00Z,11.637
285,2022-05-22T16:00:00Z,11.637
286,2022-05-22T16:15:00Z,11.613
287,2022-05-22T16:30:00Z,11.589
288,2022-05-22T16:45:00Z,11.54
289,2022-05-22T17:00:00Z,11.443
290,2022-05-22T17:15:00Z,11.37
291,2022-05-22T17:30:00Z,11.273
292,2022-05-22T17:45:00Z,11.175
293,2022-05-22T18:00:00Z,11.102
294,2022-05-22T18:15:00Z,11.005
295,2022-05-22T18:30:00Z,10.883
296,2022-05-22T18:45:00Z,10.761
297,2022-05-22T19:00:00Z,10.638
298,2022-05-22T19:15:00Z,10.492
299,2022-05-22T19:30:00Z,10.345
300,2022-05-22T19:45:00Z,10.198
301,2022-05-22T20:00:00Z,10.051
302,2022-05-22T20:15:00Z,9.903
303,2022-05-22T20:30:00Z,9.756
304,2022-05-22T20:45:00Z,9.632
305,2022-05-22T21:00:00Z,9.509
306,2022-05-22T21:15:00Z,9.386
307,2022-05-22T21:30:00Z,9.287
308,2022-05-22T21:45:00Z,9.188
309,2022-05-22T22:00:00Z,9.089
310,2022-05-22T22:15:00Z,9.015
311,2022-05-22T22:30:00Z,8.916
312,2022-05-22T22:45:00Z,8.841
313,2022-05-22T23:00:00Z,8.767
314,2022-05-22T23:15:00Z,8.693
315,2022-05-22T23:30:00Z,8.643
316,2022-05-22T23:45:00Z,8.568
317,2022-05-23T00:00:00Z,8.494
318,2022-05-23T00:15:00Z,8.444
319,2022-05-23T00:30:00Z,8.394
320,2022-05-23T00:45:00Z,8.344
321,2022-05-23T01:00:00Z,8.295
322,2022-05-23T01:15:00Z,8.245
323,2022-05-23T01:30:00Z,8.22
324,2022-05-23T01:45:00Z,8.17
325,2022-05-23T02:00:00Z,8.145
326,2022-05-23T02:15:00Z,8.095
327,2022-05-23T02:30:00Z,8.045
328,2022-05-23T02:45:00Z,8.02
329,2022-05-23T03:00:00Z,7.995
330,2022-05-23T03:15:00Z,7.97
331,2022-05-23T03:30:00Z,7.945
332,2022-05-23T03:45:00Z,7.92
333,2022-05-23T04:00:00Z,7.87
334,2022-05-23T04:15:00Z,7.845
