row.num,datetime,temperature
1,2022-05-20T17:00:00Z,7.87
2,2022-05-20T17:15:00Z,7.845
3,2022-05-20T17:30:00Z,7.845
4,2022-05-20T17:45:00Z,7.845
5,2022-05-20T18:00:00Z,7.82
6,2022-05-20T18:15:00Z,7.82
7,2022-05-20T18:30:00Z,7.82
8,2022-05-20T18:45:00Z,7.82
9,2022-05-20T19:00:00Z,7.82
10,2022-05-20T19:15:00Z,7.82
11,2022-05-20T19:30:00Z,7.795
12,2022-05-20T19:45:00Z,7.77
13,2022-05-20T20:00:00Z,7.77
14,2022-05-20T20:15:00Z,7.72
15,2022-05-20T20:30:00Z,7.695
16,2022-05-20T20:45:00Z,7.67
17,2022-05-20T21:00:00Z,7.645
18,2022-05-20T21:15:00Z,7.619
19,2022-05-20T21:30:00Z,7.569
20,2022-05-20T21:45:00Z,7.544
21,2022-05-20T22:00:00Z,7.519
22,2022-05-20T22:15:00Z,7.494
23,2022-05-20T22:30:00Z,7.469
24,2022-05-20T22:45:00Z,7.444
25,2022-05-20T23:00:00Z,7.419
26,2022-05-20T23:15:00Z,7.393
27,2022-05-20T23:30:00Z,7.393
28,2022-05-20T23:45:00Z,7.368
29,2022-05-21T00:00:00Z,7.368
30,2022-05-21T00:15:00Z,7.343
31,2022-05-21T00:30:00Z,7.343
32,2022-05-21T00:45:00Z,7.318
33,2022-05-21T01:00:00Z,7.293
34,2022-05-21T01:15:00Z,7.293
35,2022-05-21T01:30:00Z,7.268
36,2022-05-21T01:45:00Z,7.242
37,2022-05-21T02:00:00Z,7.217
38,2022-05-21T02:15:00Z,7.217
39,2022-05-21T02:30:00Z,7.192
40,2022-05-21T02:45:00Z,7.167
41,2022-05-21T03:00:00Z,7.167
42,2022-05-21T03:15:00Z,7.142
43,2022-05-21T03:30:00Z,7.116
44,2022-05-21T03:45:00Z,7.116
45,2022-05-21T04:00:00Z,7.091
46,2022-05-21T04:15:00Z,7.066
47,2022-05-21T04:30:00Z,7.041
48,2022-05-21T04:45:00Z,7.015
49,2022-05-21T05:00:00Z,6.99
50,2022-05-21T05:15:00Z,6.94
51,2022-05-21T05:30:00Z,6.914
52,2022-05-21T05:45:00Z,6.889
53,2022-05-21T06:00:00Z,6.889
54,2022-05-21T06:15:00Z,6.889
55,2022-05-21T06:30:00Z,6.889
56,2022-05-21T06:45:00Z,6.889
57,2022-05-21T07:00:00Z,6.889
58,2022-05-21T07:15:00Z,6.914
59,2022-05-21T07:30:00Z,6.914
60,2022-05-21T07:45:00Z,6.94
61,2022-05-21T08:00:00Z,6.965
62,2022-05-21T08:15:00Z,6.965
63,2022-05-21T08:30:00Z,6.99
64,2022-05-21T08:45:00Z,7.015
65,2022-05-21T09:00:00Z,7.041
66,2022-05-21T09:15:00Z,7.066
67,2022-05-21T09:30:00Z,7.091
68,2022-05-21T09:45:00Z,7.142
69,2022-05-21T10:00:00Z,7.192
70,2022-05-21T10:15:00Z,7.268
71,2022-05-21T10:30:00Z,7.343
72,2022-05-21T10:45:00Z,7.444
73,2022-05-21T11:00:00Z,7.544
74,2022-05-21T11:15:00Z,7.645
75,2022-05-21T11:30:00Z,7.77
76,2022-05-21T11:45:00Z,7.845
77,2022-05-21T12:00:00Z,7.92
78,2022-05-21T12:15:00Z,8.095
79,2022-05-21T12:30:00Z,8.145
80,2022-05-21T12:45:00Z,8.22
81,2022-05-21T13:00:00Z,8.319
82,2022-05-21T13:15:00Z,8.369
83,2022-05-21T13:30:00Z,8.319
84,2022-05-21T13:45:00Z,8.444
85,2022-05-21T14:00:00Z,8.444
86,2022-05-21T14:15:00Z,8.394
87,2022-05-21T14:30:00Z,8.369
88,2022-05-21T14:45:00Z,8.469
89,2022-05-21T15:00:00Z,8.494
90,2022-05-21T15:15:00Z,8.394
91,2022-05-21T15:30:00Z,8.369
92,2022-05-21T15:45:00Z,8.319
93,2022-05-21T16:00:00Z,8.344
94,2022-05-21T16:15:00Z,8.344
95,2022-05-21T16:30:00Z,8.369
96,2022-05-21T16:45:00Z,8.394
97,2022-05-21T17:00:00Z,8.394
98,2022-05-21T17:15:00Z,8.419
99,2022-05-21T17:30:00Z,8.419
100,2022-05-21T17:45:00Z,8.419
101,2022-05-21T18:00:00Z,8.394
102,2022-05-21T18:15:00Z,8.369
103,2022-05-21T18:30:00Z,8.344
104,2022-05-21T18:45:00Z,8.319
105,2022-05-21T19:00:00Z,8.295
106,2022-05-21T19:15:00Z,8.27
107,2022-05-21T19:30:00Z,8.245
108,2022-05-21T19:45:00Z,8.195
109,2022-05-21T20:00:00Z,8.17
110,2022-05-21T20:15:00Z,8.145
111,2022-05-21T20:30:00Z,8.12
112,2022-05-21T20:45:00Z,8.07
113,2022-05-21T21:00:00Z,8.02
114,2022-05-21T21:15:00Z,7.995
115,2022-05-21T21:30:00Z,7.97
116,2022-05-21T21:45:00Z,7.945
117,2022-05-21T22:00:00Z,7.92
118,2022-05-21T22:15:00Z,7.92
119,2022-05-21T22:30:00Z,7.895
120,2022-05-21T22:45:00Z,7.87
121,2022-05-21T23:00:00Z,7.87
122,2022-05-21T23:15:00Z,7.845
123,2022-05-21T23:30:00Z,7.82
124,2022-05-21T23:45:00Z,7.795
125,2022-05-22T00:00:00Z,7.77
126,2022-05-22T00:15:00Z,7.745
127,2022-05-22T00:30:00Z,7.695
128,2022-05-22T00:45:00Z,7.67
129,2022-05-22T01:00:00Z,7.645
130,2022-05-22T01:15:00Z,7.619
131,2022-05-22T01:30:00Z,7.594
132,2022-05-22T01:45:00Z,7.569
133,2022-05-22T02:00:00Z,7.544
134,2022-05-22T02:15:00Z,7.519
135,2022-05-22T02:30:00Z,7.469
136,2022-05-22T02:45:00Z,7.444
137,2022-05-22T03:00:00Z,7.419
138,2022-05-22T03:15:00Z,7.393
139,2022-05-22T03:30:00Z,7.368
140,2022-05-22T03:45:00Z,7.343
141,2022-05-22T04:00:00Z,7.318
142,2022-05-22T04:15:00Z,7.293
143,2022-05-22T04:30:00Z,7.293
144,2022-05-22T04:45:00Z,7.268
145,2022-05-22T05:00:00Z,7.242
146,2022-05-22T05:15:00Z,7.217
147,2022-05-22T05:30:00Z,7.217
148,2022-05-22T05:45:00Z,7.217
149,2022-05-22T06:00:00Z,7.217
150,2022-05-22T06:15:00Z,7.217
151,2022-05-22T06:30:00Z,7.217
152,2022-05-22T06:45:00Z,7.242
153,2022-05-22T07:00:00Z,7.242
154,2022-05-22T07:15:00Z,7.242
155,2022-05-22T07:30:00Z,7.242
156,2022-05-22T07:45:00Z,7.268
157,2022-05-22T08:00:00Z,7.268
158,2022-05-22T08:15:00Z,7.293
159,2022-05-22T08:30:00Z,7.318
160,2022-05-22T08:45:00Z,7.343
161,2022-05-22T09:00:00Z,7.393
162,2022-05-22T09:15:00Z,7.419
163,2022-05-22T09:30:00Z,7.469
164,2022-05-22T09:45:00Z,7.544
165,2022-05-22T10:00:00Z,7.619
166,2022-05-22T10:15:00Z,7.72
167,2022-05-22T10:30:00Z,7.795
168,2022-05-22T10:45:00Z,7.92
169,2022-05-22T11:00:00Z,8.02
170,2022-05-22T11:15:00Z,8.12
171,2022-05-22T11:30:00Z,8.245
172,2022-05-22T11:45:00Z,8.369
173,2022-05-22T12:00:00Z,8.469
174,2022-05-22T12:15:00Z,8.593
175,2022-05-22T12:30:00Z,8.668
176,2022-05-22T12:45:00Z,8.742
177,2022-05-22T13:00:00Z,8.866
178,2022-05-22T13:15:00Z,8.891
179,2022-05-22T13:30:00Z,8.866
180,2022-05-22T13:45:00Z,8.866
181,2022-05-22T14:00:00Z,8.866
182,2022-05-22T14:15:00Z,8.866
183,2022-05-22T14:30:00Z,8.891
184,2022-05-22T14:45:00Z,8.916
185,2022-05-22T15:00:00Z,8.941
186,2022-05-22T15:15:00Z,8.965
187,2022-05-22T15:30:00Z,9.015
188,2022-05-22T15:45:00Z,9.015
189,2022-05-22T16:00:00Z,9.015
190,2022-05-22T16:15:00Z,9.04
191,2022-05-22T16:30:00Z,9.015
192,2022-05-22T16:45:00Z,9.015
193,2022-05-22T17:00:00Z,9.015
194,2022-05-22T17:15:00Z,8.965
195,2022-05-22T17:30:00Z,8.965
196,2022-05-22T17:45:00Z,8.941
197,2022-05-22T18:00:00Z,8.916
198,2022-05-22T18:15:00Z,8.891
199,2022-05-22T18:30:00Z,8.866
200,2022-05-22T18:45:00Z,8.841
201,2022-05-22T19:00:00Z,8.817
202,2022-05-22T19:15:00Z,8.767
203,2022-05-22T19:30:00Z,8.742
204,2022-05-22T19:45:00Z,8.717
205,2022-05-22T20:00:00Z,8.668
206,2022-05-22T20:15:00Z,8.643
207,2022-05-22T20:30:00Z,8.593
208,2022-05-22T20:45:00Z,8.568
209,2022-05-22T21:00:00Z,8.543
210,2022-05-22T21:15:00Z,8.519
211,2022-05-22T21:30:00Z,8.469
212,2022-05-22T21:45:00Z,8.444
213,2022-05-22T22:00:00Z,8.419
214,2022-05-22T22:15:00Z,8.394
215,2022-05-22T22:30:00Z,8.369
216,2022-05-22T22:45:00Z,8.344
217,2022-05-22T23:00:00Z,8.319
218,2022-05-22T23:15:00Z,8.295
219,2022-05-22T23:30:00Z,8.27
220,2022-05-22T23:45:00Z,8.245
221,2022-05-23T00:00:00Z,8.22
222,2022-05-23T00:15:00Z,8.22
223,2022-05-23T00:30:00Z,8.195
224,2022-05-23T00:45:00Z,8.195
225,2022-05-23T01:00:00Z,8.17
226,2022-05-23T01:15:00Z,8.17
227,2022-05-23T01:30:00Z,8.145
228,2022-05-23T01:45:00Z,8.145
229,2022-05-23T02:00:00Z,8.12
230,2022-05-23T02:15:00Z,8.12
231,2022-05-23T02:30:00Z,8.12
232,2022-05-23T02:45:00Z,8.095
233,2022-05-23T03:00:00Z,8.095
