row.num,datetime,temperature
1,2022-05-11T17:00:00Z,8.618
2,2022-05-11T17:15:00Z,8.593
3,2022-05-11T17:30:00Z,8.568
4,2022-05-11T17:45:00Z,8.568
5,2022-05-11T18:00:00Z,8.568
6,2022-05-11T18:15:00Z,8.543
7,2022-05-11T18:30:00Z,8.494
8,2022-05-11T18:45:00Z,8.444
9,2022-05-11T19:00:00Z,8.394
10,2022-05-11T19:15:00Z,8.344
11,2022-05-11T19:30:00Z,8.319
12,2022-05-11T19:45:00Z,8.27
13,2022-05-11T20:00:00Z,8.245
14,2022-05-11T20:15:00Z,8.195
15,2022-05-11T20:30:00Z,8.17
16,2022-05-11T20:45:00Z,8.12
17,2022-05-11T21:00:00Z,8.07
18,2022-05-11T21:15:00Z,8.045
19,2022-05-11T21:30:00Z,7.995
20,2022-05-11T21:45:00Z,7.97
21,2022-05-11T22:00:00Z,7.92
22,2022-05-11T22:15:00Z,7.895
23,2022-05-11T22:30:00Z,7.845
24,2022-05-11T22:45:00Z,7.82
25,2022-05-11T23:00:00Z,7.795
26,2022-05-11T23:15:00Z,7.77
27,2022-05-11T23:30:00Z,7.745
28,2022-05-11T23:45:00Z,7.695
29,2022-05-12T00:00:00Z,7.67
30,2022-05-12T00:15:00Z,7.645
31,2022-05-12T00:30:00Z,7.619
32,2022-05-12T00:45:00Z,7.594
33,2022-05-12T01:00:00Z,7.569
34,2022-05-12T01:15:00Z,7.544
35,2022-05-12T01:30:00Z,7.544
36,2022-05-12T01:45:00Z,7.519
37,2022-05-12T02:00:00Z,7.494
38,2022-05-12T02:15:00Z,7.469
39,2022-05-12T02:30:00Z,7.444
40,2022-05-12T02:45:00Z,7.419
41,2022-05-12T03:00:00Z,7.393
42,2022-05-12T03:15:00Z,7.368
43,2022-05-12T03:30:00Z,7.368
44,2022-05-12T03:45:00Z,7.343
45,2022-05-12T04:00:00Z,7.343
46,2022-05-12T04:15:00Z,7.343
47,2022-05-12T04:30:00Z,7.318
48,2022-05-12T04:45:00Z,7.318
49,2022-05-12T05:00:00Z,7.318
50,2022-05-12T05:15:00Z,7.318
51,2022-05-12T05:30:00Z,7.293
52,2022-05-12T05:45:00Z,7.293
53,2022-05-12T06:00:00Z,7.293
54,2022-05-12T06:15:00Z,7.293
55,2022-05-12T06:30:00Z,7.293
56,2022-05-12T06:45:00Z,7.293
57,2022-05-12T07:00:00Z,7.293
58,2022-05-12T07:15:00Z,7.293
59,2022-05-12T07:30:00Z,7.293
60,2022-05-12T07:45:00Z,7.293
61,2022-05-12T08:00:00Z,7.293
62,2022-05-12T08:15:00Z,7.293
63,2022-05-12T08:30:00Z,7.268
64,2022-05-12T08:45:00Z,7.268
65,2022-05-12T09:00:00Z,7.268
66,2022-05-12T09:15:00Z,7.268
67,2022-05-12T09:30:00Z,7.268
68,2022-05-12T09:45:00Z,7.242
69,2022-05-12T10:00:00Z,7.242
70,2022-05-12T10:15:00Z,7.242
71,2022-05-12T10:30:00Z,7.242
72,2022-05-12T10:45:00Z,7.242
73,2022-05-12T11:00:00Z,7.242
74,2022-05-12T11:15:00Z,7.242
75,2022-05-12T11:30:00Z,7.217
76,2022-05-12T11:45:00Z,7.217
77,2022-05-12T12:00:00Z,7.217
78,2022-05-12T12:15:00Z,7.217
79,2022-05-12T12:30:00Z,7.217
80,2022-05-12T12:45:00Z,7.242
81,2022-05-12T13:00:00Z,7.242
82,2022-05-12T13:15:00Z,7.268
83,2022-05-12T13:30:00Z,7.293
84,2022-05-12T13:45:00Z,7.293
85,2022-05-12T14:00:00Z,7.368
86,2022-05-12T14:15:00Z,7.368
87,2022-05-12T14:30:00Z,7.393
88,2022-05-12T14:45:00Z,7.393
89,2022-05-12T15:00:00Z,7.393
90,2022-05-12T15:15:00Z,7.419
91,2022-05-12T15:30:00Z,7.419
92,2022-05-12T15:45:00Z,7.444
93,2022-05-12T16:00:00Z,7.469
94,2022-05-12T16:15:00Z,7.444
95,2022-05-12T16:30:00Z,7.469
96,2022-05-12T16:45:00Z,7.494
97,2022-05-12T17:00:00Z,7.519
98,2022-05-12T17:15:00Z,7.519
99,2022-05-12T17:30:00Z,7.519
100,2022-05-12T17:45:00Z,7.519
101,2022-05-12T18:00:00Z,7.469
102,2022-05-12T18:15:00Z,7.469
103,2022-05-12T18:30:00Z,7.444
104,2022-05-12T18:45:00Z,7.444
105,2022-05-12T19:00:00Z,7.419
106,2022-05-12T19:15:00Z,7.419
107,2022-05-12T19:30:00Z,7.393
108,2022-05-12T19:45:00Z,7.393
109,2022-05-12T20:00:00Z,7.393
110,2022-05-12T20:15:00Z,7.368
111,2022-05-12T20:30:00Z,7.343
112,2022-05-12T20:45:00Z,7.343
113,2022-05-12T21:00:00Z,7.318
114,2022-05-12T21:15:00Z,7.318
115,2022-05-12T21:30:00Z,7.318
116,2022-05-12T21:45:00Z,7.293
117,2022-05-12T22:00:00Z,7.293
118,2022-05-12T22:15:00Z,7.293
119,2022-05-12T22:30:00Z,7.268
120,2022-05-12T22:45:00Z,7.242
121,2022-05-12T23:00:00Z,7.242
122,2022-05-12T23:15:00Z,7.242
123,2022-05-12T23:30:00Z,7.217
124,2022-05-12T23:45:00Z,7.192
125,2022-05-13T00:00:00Z,7.192
126,2022-05-13T00:15:00Z,7.167
127,2022-05-13T00:30:00Z,7.167
128,2022-05-13T00:45:00Z,7.167
129,2022-05-13T01:00:00Z,7.142
130,2022-05-13T01:15:00Z,7.142
131,2022-05-13T01:30:00Z,7.142
132,2022-05-13T01:45:00Z,7.116
133,2022-05-13T02:00:00Z,7.091
134,2022-05-13T02:15:00Z,7.091
135,2022-05-13T02:30:00Z,7.091
136,2022-05-13T02:45:00Z,7.066
137,2022-05-13T03:00:00Z,7.041
138,2022-05-13T03:15:00Z,7.015
139,2022-05-13T03:30:00Z,6.99
140,2022-05-13T03:45:00Z,6.99
