row.num,datetime,temperature
1,2022-05-19T17:00:00Z,7.645
2,2022-05-19T17:15:00Z,7.645
3,2022-05-19T17:30:00Z,7.645
4,2022-05-19T17:45:00Z,7.594
5,2022-05-19T18:00:00Z,7.569
6,2022-05-19T18:15:00Z,7.519
7,2022-05-19T18:30:00Z,7.494
8,2022-05-19T18:45:00Z,7.444
9,2022-05-19T19:00:00Z,7.393
10,2022-05-19T19:15:00Z,7.343
11,2022-05-19T19:30:00Z,7.318
12,2022-05-19T19:45:00Z,7.268
13,2022-05-19T20:00:00Z,7.242
14,2022-05-19T20:15:00Z,7.217
15,2022-05-19T20:30:00Z,7.192
16,2022-05-19T20:45:00Z,7.142
17,2022-05-19T21:00:00Z,7.116
18,2022-05-19T21:15:00Z,7.091
19,2022-05-19T21:30:00Z,7.066
20,2022-05-19T21:45:00Z,7.041
21,2022-05-19T22:00:00Z,7.015
22,2022-05-19T22:15:00Z,6.99
23,2022-05-19T22:30:00Z,6.94
24,2022-05-19T22:45:00Z,6.914
25,2022-05-19T23:00:00Z,6.889
26,2022-05-19T23:15:00Z,6.864
27,2022-05-19T23:30:00Z,6.839
28,2022-05-19T23:45:00Z,6.813
29,2022-05-20T00:00:00Z,6.788
30,2022-05-20T00:15:00Z,6.763
31,2022-05-20T00:30:00Z,6.737
32,2022-05-20T00:45:00Z,6.712
33,2022-05-20T01:00:00Z,6.687
34,2022-05-20T01:15:00Z,6.661
35,2022-05-20T01:30:00Z,6.661
36,2022-05-20T01:45:00Z,6.636
37,2022-05-20T02:00:00Z,6.636
38,2022-05-20T02:15:00Z,6.611
39,2022-05-20T02:30:00Z,6.585
40,2022-05-20T02:45:00Z,6.585
41,2022-05-20T03:00:00Z,6.56
42,2022-05-20T03:15:00Z,6.535
43,2022-05-20T03:30:00Z,6.535
44,2022-05-20T03:45:00Z,6.509
45,2022-05-20T04:00:00Z,6.484
46,2022-05-20T04:15:00Z,6.458
47,2022-05-20T04:30:00Z,6.433
48,2022-05-20T04:45:00Z,6.433
49,2022-05-20T05:00:00Z,6.408
50,2022-05-20T05:15:00Z,6.382
51,2022-05-20T05:30:00Z,6.382
