row.num,datetime,temperature
1,2022-05-06T17:00:00Z,8.568
2,2022-05-06T17:15:00Z,8.543
3,2022-05-06T17:30:00Z,8.519
4,2022-05-06T17:45:00Z,8.469
5,2022-05-06T18:00:00Z,8.444
6,2022-05-06T18:15:00Z,8.394
7,2022-05-06T18:30:00Z,8.369
8,2022-05-06T18:45:00Z,8.369
9,2022-05-06T19:00:00Z,8.344
10,2022-05-06T19:15:00Z,8.319
11,2022-05-06T19:30:00Z,8.27
12,2022-05-06T19:45:00Z,8.22
13,2022-05-06T20:00:00Z,8.17
14,2022-05-06T20:15:00Z,8.095
15,2022-05-06T20:30:00Z,8.045
16,2022-05-06T20:45:00Z,7.995
17,2022-05-06T21:00:00Z,7.945
18,2022-05-06T21:15:00Z,7.895
19,2022-05-06T21:30:00Z,7.845
20,2022-05-06T21:45:00Z,7.795
21,2022-05-06T22:00:00Z,7.745
22,2022-05-06T22:15:00Z,7.72
23,2022-05-06T22:30:00Z,7.67
24,2022-05-06T22:45:00Z,7.619
25,2022-05-06T23:00:00Z,7.569
26,2022-05-06T23:15:00Z,7.544
27,2022-05-06T23:30:00Z,7.494
28,2022-05-06T23:45:00Z,7.469
29,2022-05-07T00:00:00Z,7.444
30,2022-05-07T00:15:00Z,7.393
31,2022-05-07T00:30:00Z,7.393
32,2022-05-07T00:45:00Z,7.343
33,2022-05-07T01:00:00Z,7.343
34,2022-05-07T01:15:00Z,7.293
35,2022-05-07T01:30:00Z,7.268
36,2022-05-07T01:45:00Z,7.242
37,2022-05-07T02:00:00Z,7.217
38,2022-05-07T02:15:00Z,7.192
39,2022-05-07T02:30:00Z,7.167
40,2022-05-07T02:45:00Z,7.142
41,2022-05-07T03:00:00Z,7.116
42,2022-05-07T03:15:00Z,7.091
43,2022-05-07T03:30:00Z,7.066
44,2022-05-07T03:45:00Z,7.041
45,2022-05-07T04:00:00Z,7.015
46,2022-05-07T04:15:00Z,7.015
47,2022-05-07T04:30:00Z,7.015
