row.num,datetime,temperature
1,2022-05-06T17:00:00Z,7.494
2,2022-05-06T17:15:00Z,7.494
3,2022-05-06T17:30:00Z,7.494
4,2022-05-06T17:45:00Z,7.469
5,2022-05-06T18:00:00Z,7.444
6,2022-05-06T18:15:00Z,7.444
7,2022-05-06T18:30:00Z,7.444
8,2022-05-06T18:45:00Z,7.444
9,2022-05-06T19:00:00Z,7.444
10,2022-05-06T19:15:00Z,7.444
11,2022-05-06T19:30:00Z,7.444
12,2022-05-06T19:45:00Z,7.419
13,2022-05-06T20:00:00Z,7.419
14,2022-05-06T20:15:00Z,7.393
15,2022-05-06T20:30:00Z,7.393
16,2022-05-06T20:45:00Z,7.368
17,2022-05-06T21:00:00Z,7.343
18,2022-05-06T21:15:00Z,7.343
19,2022-05-06T21:30:00Z,7.343
20,2022-05-06T21:45:00Z,7.318
21,2022-05-06T22:00:00Z,7.318
22,2022-05-06T22:15:00Z,7.293
23,2022-05-06T22:30:00Z,7.293
24,2022-05-06T22:45:00Z,7.268
25,2022-05-06T23:00:00Z,7.242
26,2022-05-06T23:15:00Z,7.242
27,2022-05-06T23:30:00Z,7.217
28,2022-05-06T23:45:00Z,7.192
29,2022-05-07T00:00:00Z,7.192
30,2022-05-07T00:15:00Z,7.167
31,2022-05-07T00:30:00Z,7.167
32,2022-05-07T00:45:00Z,7.142
33,2022-05-07T01:00:00Z,7.142
34,2022-05-07T01:15:00Z,7.116
35,2022-05-07T01:30:00Z,7.091
36,2022-05-07T01:45:00Z,7.066
37,2022-05-07T02:00:00Z,7.041
38,2022-05-07T02:15:00Z,7.015
39,2022-05-07T02:30:00Z,6.99
40,2022-05-07T02:45:00Z,6.965
41,2022-05-07T03:00:00Z,6.914
42,2022-05-07T03:15:00Z,6.889
43,2022-05-07T03:30:00Z,6.839
44,2022-05-07T03:45:00Z,6.788
45,2022-05-07T04:00:00Z,6.763
46,2022-05-07T04:15:00Z,6.737
47,2022-05-07T04:30:00Z,6.712
48,2022-05-07T04:45:00Z,6.687
49,2022-05-07T05:00:00Z,6.661
50,2022-05-07T05:15:00Z,6.661
51,2022-05-07T05:30:00Z,6.661
52,2022-05-07T05:45:00Z,6.687
53,2022-05-07T06:00:00Z,6.687
54,2022-05-07T06:15:00Z,6.687
55,2022-05-07T06:30:00Z,6.687
56,2022-05-07T06:45:00Z,6.712
57,2022-05-07T07:00:00Z,6.712
58,2022-05-07T07:15:00Z,6.712
59,2022-05-07T07:30:00Z,6.737
60,2022-05-07T07:45:00Z,6.737
61,2022-05-07T08:00:00Z,6.737
62,2022-05-07T08:15:00Z,6.737
63,2022-05-07T08:30:00Z,6.763
64,2022-05-07T08:45:00Z,6.763
65,2022-05-07T09:00:00Z,6.763
66,2022-05-07T09:15:00Z,6.788
67,2022-05-07T09:30:00Z,6.788
68,2022-05-07T09:45:00Z,6.788
69,2022-05-07T10:00:00Z,6.813
70,2022-05-07T10:15:00Z,6.788
71,2022-05-07T10:30:00Z,6.813
72,2022-05-07T10:45:00Z,6.839
73,2022-05-07T11:00:00Z,6.839
74,2022-05-07T11:15:00Z,6.737
75,2022-05-07T11:30:00Z,6.737
76,2022-05-07T11:45:00Z,6.763
77,2022-05-07T12:00:00Z,6.788
78,2022-05-07T12:15:00Z,6.839
79,2022-05-07T12:30:00Z,6.94
80,2022-05-07T12:45:00Z,6.965
81,2022-05-07T13:00:00Z,7.116
82,2022-05-07T13:15:00Z,7.167
83,2022-05-07T13:30:00Z,7.091
84,2022-05-07T13:45:00Z,7.116
85,2022-05-07T14:00:00Z,7.091
86,2022-05-07T14:15:00Z,7.066
87,2022-05-07T14:30:00Z,7.091
88,2022-05-07T14:45:00Z,7.066
89,2022-05-07T15:00:00Z,7.066
90,2022-05-07T15:15:00Z,7.091
91,2022-05-07T15:30:00Z,7.066
92,2022-05-07T15:45:00Z,7.066
93,2022-05-07T16:00:00Z,7.091
94,2022-05-07T16:15:00Z,7.142
95,2022-05-07T16:30:00Z,7.066
96,2022-05-07T16:45:00Z,7.041
97,2022-05-07T17:00:00Z,7.015
98,2022-05-07T17:15:00Z,6.99
99,2022-05-07T17:30:00Z,6.965
100,2022-05-07T17:45:00Z,6.94
101,2022-05-07T18:00:00Z,6.889
102,2022-05-07T18:15:00Z,6.813
103,2022-05-07T18:30:00Z,6.763
104,2022-05-07T18:45:00Z,6.737
105,2022-05-07T19:00:00Z,6.661
106,2022-05-07T19:15:00Z,6.636
107,2022-05-07T19:30:00Z,6.585
108,2022-05-07T19:45:00Z,6.585
109,2022-05-07T20:00:00Z,6.509
110,2022-05-07T20:15:00Z,6.484
111,2022-05-07T20:30:00Z,6.433
112,2022-05-07T20:45:00Z,6.382
113,2022-05-07T21:00:00Z,6.357
114,2022-05-07T21:15:00Z,6.331
115,2022-05-07T21:30:00Z,6.306
116,2022-05-07T21:45:00Z,6.281
117,2022-05-07T22:00:00Z,6.281
118,2022-05-07T22:15:00Z,6.23
119,2022-05-07T22:30:00Z,6.23
120,2022-05-07T22:45:00Z,6.179
121,2022-05-07T23:00:00Z,6.179
122,2022-05-07T23:15:00Z,6.153
123,2022-05-07T23:30:00Z,6.128
124,2022-05-07T23:45:00Z,6.102
125,2022-05-08T00:00:00Z,6.077
126,2022-05-08T00:15:00Z,6.077
127,2022-05-08T00:30:00Z,6.051
128,2022-05-08T00:45:00Z,6.026
129,2022-05-08T01:00:00Z,6.026
130,2022-05-08T01:15:00Z,6.026
131,2022-05-08T01:30:00Z,6
132,2022-05-08T01:45:00Z,5.975
133,2022-05-08T02:00:00Z,5.975
134,2022-05-08T02:15:00Z,5.949
135,2022-05-08T02:30:00Z,5.924
136,2022-05-08T02:45:00Z,5.924
137,2022-05-08T03:00:00Z,5.924
138,2022-05-08T03:15:00Z,5.898
139,2022-05-08T03:30:00Z,5.898
140,2022-05-08T03:45:00Z,5.898
141,2022-05-08T04:00:00Z,5.872
142,2022-05-08T04:15:00Z,5.872
143,2022-05-08T04:30:00Z,5.847
144,2022-05-08T04:45:00Z,5.847
145,2022-05-08T05:00:00Z,5.847
146,2022-05-08T05:15:00Z,5.821
147,2022-05-08T05:30:00Z,5.821
148,2022-05-08T05:45:00Z,5.821
149,2022-05-08T06:00:00Z,5.796
150,2022-05-08T06:15:00Z,5.77
151,2022-05-08T06:30:00Z,5.77
152,2022-05-08T06:45:00Z,5.745
153,2022-05-08T07:00:00Z,5.719
154,2022-05-08T07:15:00Z,5.719
155,2022-05-08T07:30:00Z,5.719
156,2022-05-08T07:45:00Z,5.719
157,2022-05-08T08:00:00Z,5.745
158,2022-05-08T08:15:00Z,5.745
159,2022-05-08T08:30:00Z,5.77
160,2022-05-08T08:45:00Z,5.77
161,2022-05-08T09:00:00Z,5.821
162,2022-05-08T09:15:00Z,5.847
163,2022-05-08T09:30:00Z,5.872
164,2022-05-08T09:45:00Z,5.898
165,2022-05-08T10:00:00Z,5.898
166,2022-05-08T10:15:00Z,5.949
167,2022-05-08T10:30:00Z,5.975
168,2022-05-08T10:45:00Z,5.975
169,2022-05-08T11:00:00Z,6.051
170,2022-05-08T11:15:00Z,6.102
171,2022-05-08T11:30:00Z,6.153
172,2022-05-08T11:45:00Z,6.204
173,2022-05-08T12:00:00Z,6.255
174,2022-05-08T12:15:00Z,6.255
175,2022-05-08T12:30:00Z,6.331
176,2022-05-08T12:45:00Z,6.509
177,2022-05-08T13:00:00Z,6.509
178,2022-05-08T13:15:00Z,6.687
179,2022-05-08T13:30:00Z,6.712
180,2022-05-08T13:45:00Z,6.813
181,2022-05-08T14:00:00Z,6.889
182,2022-05-08T14:15:00Z,6.94
183,2022-05-08T14:30:00Z,6.889
184,2022-05-08T14:45:00Z,6.813
185,2022-05-08T15:00:00Z,6.737
186,2022-05-08T15:15:00Z,6.712
187,2022-05-08T15:30:00Z,6.661
188,2022-05-08T15:45:00Z,6.611
189,2022-05-08T16:00:00Z,6.585
190,2022-05-08T16:15:00Z,6.585
191,2022-05-08T16:30:00Z,6.56
192,2022-05-08T16:45:00Z,6.585
193,2022-05-08T17:00:00Z,6.585
194,2022-05-08T17:15:00Z,6.56
195,2022-05-08T17:30:00Z,6.585
196,2022-05-08T17:45:00Z,6.56
197,2022-05-08T18:00:00Z,6.56
198,2022-05-08T18:15:00Z,6.535
199,2022-05-08T18:30:00Z,6.357
200,2022-05-08T18:45:00Z,6.179
201,2022-05-08T19:00:00Z,6
202,2022-05-08T19:15:00Z,5.898
